,Unnamed: 0,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,0,3,29,22.047257617728533,3.8475,26.288815507942545,6474,20.82605816322728,6584,26.288815507942545,0,barabasialbert,0.15,0.2684210526315789
1,1,4,82,75.4538382417262,7.358343749999999,85.6496320588079,6661,72.23795670825098,6568,85.6496320588079,0,barabasialbert,0.15,0.2684210526315789
2,2,5,246,259.24350317999404,14.128019999999998,287.0478625475914,5489,260.5520385796908,5434,287.0478625475914,0,barabasialbert,0.15,0.2684210526315789
3,3,6,764,869.830175143401,26.4900375,976.378248994318,4874,950.597190718642,4827,976.378248994318,0,barabasialbert,0.15,0.2684210526315789
4,4,7,2124,2801.7687746724287,47.6820675,2759.155688246548,3551,2934.138026184674,3711,2759.155688246548,0,barabasialbert,0.15,0.2684210526315789
5,5,8,5142,8554.611107404435,81.35752767187498,6800.106483904397,2391,7085.989921578071,2344,6800.106483904397,0,barabasialbert,0.15,0.2684210526315789
6,6,9,10786,24493.202328568488,130.17204427499996,14433.205926166953,1354,15090.183759854655,1366,14433.205926166953,0,barabasialbert,0.15,0.2684210526315789
7,7,10,19675,65087.46239839068,193.3054857483749,25635.47644873226,688,28164.19268263311,709,25635.47644873226,0,barabasialbert,0.15,0.2684210526315789
8,8,11,31446,158825.86518267586,263.5983896568749,43064.11305334541,329,42085.12729223743,291,43064.11305334541,0,barabasialbert,0.15,0.2684210526315789
9,9,12,44197,351715.69881900446,326.2030072003827,53975.56433112732,120,54868.807830668586,116,53975.56433112732,0,barabasialbert,0.15,0.2684210526315789
10,10,13,54512,697166.0167683586,361.3325618219623,59462.92138027214,44,62031.7771142754,42,59462.92138027214,0,barabasialbert,0.15,0.2684210526315789
11,11,14,58037,1216371.2345195313,352.29924777641327,70199.75326560576,17,30109.24220936004,7,70199.75326560576,0,barabasialbert,0.15,0.2684210526315789
12,12,15,52038,1828398.024098832,295.9313681321871,82379.47873325435,6,11589.31154324126,1,82379.47873325435,0,barabasialbert,0.15,0.2684210526315789
13,13,16,38199,2300533.698084879,208.07674321794408,31861.901094478097,1,0.0,0,31861.901094478097,0,barabasialbert,0.15,0.2684210526315789
14,14,17,20653,2324749.8422752465,117.50216087601544,155390.1595095963,1,0.0,0,155390.1595095963,0,barabasialbert,0.15,0.2684210526315789
15,15,18,6575,1768033.432677753,49.93841837230657,0.0,0,0.0,0,1768033.432677753,0,barabasialbert,0.15,0.2684210526315789
16,16,19,872,899199.2749020373,14.19302416897134,0.0,0,0.0,0,899199.2749020373,0,barabasialbert,0.15,0.2684210526315789
17,17,20,10,229295.8151000195,2.022505944078416,0.0,0,0.0,0,229295.8151000195,0,barabasialbert,0.15,0.2684210526315789
0,0,3,35,22.047257617728533,3.8475,30.81270525523946,7861,24.570096086723584,7982,30.81270525523946,1,barabasialbert,0.15,0.2684210526315789
1,1,4,100,75.4538382417262,7.358343749999999,102.16330269520525,7021,90.00548115194478,7162,102.16330269520525,1,barabasialbert,0.15,0.2684210526315789
2,2,5,282,259.24350317999404,14.128019999999998,310.468608497,5647,293.73558068811,5751,310.468608497,1,barabasialbert,0.15,0.2684210526315789
3,3,6,783,869.830175143401,26.4900375,927.853048677253,4574,903.3404846007828,4553,927.853048677253,1,barabasialbert,0.15,0.2684210526315789
4,4,7,1946,2801.7687746724287,47.6820675,2480.419884367041,3222,2453.831994278226,3117,2480.419884367041,1,barabasialbert,0.15,0.2684210526315789
5,5,8,4257,8554.611107404435,81.35752767187498,5737.828218412955,1921,5675.19888961765,1833,5737.828218412955,1,barabasialbert,0.15,0.2684210526315789
6,6,9,8301,24493.202328568488,130.17204427499996,11249.526222214052,1021,11494.988661719695,922,11249.526222214052,1,barabasialbert,0.15,0.2684210526315789
7,7,10,14357,65087.46239839068,193.3054857483749,17947.591038650484,445,20074.77115012871,424,17947.591038650484,1,barabasialbert,0.15,0.2684210526315789
8,8,11,21684,158825.86518267586,263.5983896568749,25491.112097635865,196,28032.518522735576,176,25491.112097635865,1,barabasialbert,0.15,0.2684210526315789
9,9,12,27737,351715.69881900446,326.2030072003827,29111.111394262167,69,27216.54655516002,52,29111.111394262167,1,barabasialbert,0.15,0.2684210526315789
