,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,28,22.047257617728533,3.8474999999999997,25.18176771366311,6357,20.261221559784452,6524,25.18176771366311,5,barabasialbert,0.15,0.26842105263157895
1,4,84,75.4538382417262,7.3583437499999995,87.22174489564217,6289,76.40098414631393,6291,87.22174489564217,5,barabasialbert,0.15,0.26842105263157895
2,5,272,259.24350317999404,14.128019999999998,310.60688434010575,5843,292.7116456793128,5843,310.60688434010575,5,barabasialbert,0.15,0.26842105263157895
3,6,828,869.830175143401,26.490037499999996,996.7239064265451,5203,975.2849455452017,5226,996.7239064265451,5,barabasialbert,0.15,0.26842105263157895
4,7,2174,2801.7687746724287,47.682067499999995,2650.015760565311,3649,2779.8021711580773,3752,2650.015760565311,5,barabasialbert,0.15,0.26842105263157895
5,8,4925,8554.611107404435,81.35752767187498,6045.306648554693,2262,6129.80000036309,2177,6045.306648554693,5,barabasialbert,0.15,0.26842105263157895
6,9,9721,24493.202328568488,130.17204427499996,11884.04559967053,1272,12803.033494461024,1258,11884.04559967053,5,barabasialbert,0.15,0.26842105263157895
7,10,16796,65087.46239839068,193.3054857483749,21783.113534156422,664,21847.39862270148,576,21783.113534156422,5,barabasialbert,0.15,0.26842105263157895
8,11,25472,158825.86518267586,263.5983896568749,31561.596270408165,284,29592.83098325295,227,31561.596270408165,5,barabasialbert,0.15,0.26842105263157895
9,12,33815,351715.69881900446,326.2030072003827,46834.89645707012,130,35883.972131371534,89,46834.89645707012,5,barabasialbert,0.15,0.26842105263157895
10,13,38982,697166.0167683586,361.3325618219623,48983.843783251534,38,36831.62342881568,26,48983.843783251534,5,barabasialbert,0.15,0.26842105263157895
11,14,37978,1216371.2345195313,352.29924777641327,24484.633284956028,6,32999.02767305626,9,24484.633284956028,5,barabasialbert,0.15,0.26842105263157895
12,15,30319,1828398.0240988322,295.9313681321871,39128.07438700931,3,10849.12176895691,1,39128.07438700931,5,barabasialbert,0.15,0.26842105263157895
13,16,18586,2300533.698084879,208.07674321794406,0.0,0,18000.356037990994,1,2300533.698084879,5,barabasialbert,0.15,0.26842105263157895
14,17,8157,2324749.8422752465,117.50216087601545,0.0,0,0.0,0,2324749.8422752465,5,barabasialbert,0.15,0.26842105263157895
15,18,2210,1768033.432677753,49.93841837230657,0.0,0,0.0,0,1768033.432677753,5,barabasialbert,0.15,0.26842105263157895
16,19,195,899199.2749020373,14.193024168971341,0.0,0,0.0,0,899199.2749020373,5,barabasialbert,0.15,0.26842105263157895
17,20,0,229295.8151000195,2.022505944078416,0.0,0,0.0,0,229295.8151000195,5,barabasialbert,0.15,0.26842105263157895
