,Unnamed: 0,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,0,3,34,27.65235457063713,0.0,32.36236301068828,6968,,7013,32.36236301068828,0,config,0.0,0.2894736842105263
1,1,4,119,102.05901917189097,0.0,129.23384268742902,7187,,7120,129.23384268742902,0,config,0.0,0.2894736842105263
2,2,5,407,378.1555236684802,0.0,485.7770101765042,6451,,6412,485.7770101765042,0,config,0.0,0.2894736842105263
3,3,6,1293,1368.3259080109483,0.0,1653.2538207088433,5235,,5203,1653.2538207088433,0,config,0.0,0.2894736842105263
4,4,7,3878,4753.132101511715,0.0,5079.621883160353,3890,,3860,5079.621883160353,0,config,0.0,0.2894736842105263
5,5,8,10763,15650.938268464562,0.0,14832.972539500635,2686,,2786,14832.972539500635,0,config,0.0,0.2894736842105263
6,6,9,27198,48325.70412718882,0.0,39311.839835796985,1757,,1774,39311.839835796985,0,config,0.0,0.2894736842105263
7,7,10,61335,138491.29419607535,0.0,90562.86187957133,1008,,994,90562.86187957133,0,config,0.0,0.2894736842105263
8,8,11,122568,364450.7742001983,0.0,170375.8723350082,502,,509,170375.8723350082,0,config,0.0,0.2894736842105263
9,9,12,214122,870365.9936491578,0.0,268198.5627828269,190,,212,268198.5627828269,0,config,0.0,0.2894736842105263
10,10,13,322015,1860539.4520111557,0.0,464109.3773943058,94,,82,464109.3773943058,0,config,0.0,0.2894736842105263
11,11,14,408200,3500751.863652569,0.0,533641.0824080282,24,,25,533641.0824080282,0,config,0.0,0.2894736842105263
12,12,15,424725,5674903.021078901,0.0,421658.67969019833,7,,9,421658.67969019833,0,config,0.0,0.2894736842105263
13,13,16,351596,7700320.711167917,0.0,144983.8726638105,1,,1,144983.8726638105,0,config,0.0,0.2894736842105263
14,14,17,219390,8391680.775018906,0.0,0.0,0,0.0,0,8391680.775018906,0,config,0.0,0.2894736842105263
15,15,18,93858,6882650.460212875,0.0,0.0,0,0.0,0,6882650.460212875,0,config,0.0,0.2894736842105263
16,16,19,23869,3774971.7205599705,0.0,0.0,0,0.0,0,3774971.7205599705,0,config,0.0,0.2894736842105263
17,17,20,2816,1038117.223153992,0.0,0.0,0,0.0,0,1038117.223153992,0,config,0.0,0.2894736842105263
0,0,3,40,37.72537396121884,0.0,34.59868685942596,5782,,5971,34.59868685942596,1,config,0.0,0.3210526315789473
1,1,4,199,154.4258399912524,0.0,194.8898492322209,8339,,8516,194.8898492322209,1,config,0.0,0.3210526315789473
2,2,5,793,634.6089256061571,0.0,841.0063905832744,8314,,8433,841.0063905832744,1,config,0.0,0.3210526315789473
3,3,6,2927,2546.785819866815,0.0,3257.61131374068,6755,,6863,3257.61131374068,1,config,0.0,0.3210526315789473
4,4,7,10128,9811.827474434253,0.0,12100.503385744125,5216,,5146,12100.503385744125,1,config,0.0,0.3210526315789473
5,5,8,31865,35832.53573064772,0.0,38093.95688503749,3472,,3282,38093.95688503749,1,config,0.0,0.3210526315789473
6,6,9,90240,122710.7188530252,0.0,110658.48476121596,2091,,1985,110658.48476121596,1,config,0.0,0.3210526315789473
7,7,10,225903,390026.3321860101,0.0,297911.84306375164,1154,,1037,297911.84306375164,1,config,0.0,0.3210526315789473
8,8,11,494390,1138354.366667302,0.0,559813.7676349862,523,,477,559813.7676349862,1,config,0.0,0.3210526315789473
9,9,12,933169,3015141.236975368,0.0,1328348.52357731,247,,198,1328348.52357731,1,config,0.0,0.3210526315789473
10,10,13,1489382,7148448.212035527,0.0,1817615.3555957288,74,,63,1817615.3555957288,1,config,0.0,0.3210526315789473
11,11,14,1960060,14917682.716168877,0.0,2330483.111309136,29,,22,2330483.111309136,1,config,0.0,0.3210526315789473
12,12,15,2064610,26820423.241280463,0.0,2180644.8960652547,4,,5,2180644.8960652547,1,config,0.0,0.3210526315789473
13,13,16,1665337,40362972.47659806,0.0,0.0,0,,2,40362972.47659806,1,config,0.0,0.3210526315789473
14,14,17,964377,48785462.70855692,0.0,0.0,0,0.0,0,48785462.70855692,1,config,0.0,0.3210526315789473
15,15,18,358689,44377653.35857327,0.0,0.0,0,0.0,0,44377653.35857327,1,config,0.0,0.3210526315789473
16,16,19,71212,26995381.378234595,0.0,0.0,0,0.0,0,26995381.378234595,1,config,0.0,0.3210526315789473
17,17,20,4929,8233591.320361552,0.0,0.0,0,0.0,0,8233591.320361552,1,config,0.0,0.3210526315789473
0,0,3,56,41.55905817174514,0.0,49.82098019273827,7913,,8137,49.82098019273827,2,config,0.0,0.331578947368421
1,1,4,235,175.69638671818043,0.0,226.5647542239468,8404,,8580,226.5647542239468,2,config,0.0,0.331578947368421
2,2,5,925,745.6924539449511,0.0,963.369174898824,7971,,7971,963.369174898824,2,config,0.0,0.331578947368421
3,3,6,3463,3090.698986745521,0.0,3887.696486880101,6709,,6674,3887.696486880101,2,config,0.0,0.331578947368421
4,4,7,12097,12297.728599892702,0.0,14239.005047302482,5147,,5023,14239.005047302482,2,config,0.0,0.331578947368421
5,5,8,38808,46383.472409990034,0.0,44542.32503853813,3441,,3389,44542.32503853813,2,config,0.0,0.331578947368421
6,6,9,113319,164051.01820796475,0.0,137355.3047271891,2211,,2141,137355.3047271891,2,config,0.0,0.331578947368421
7,7,10,297635,538519.0529279348,0.0,377468.102991364,1186,,1166,377468.102991364,2,config,0.0,0.331578947368421
8,8,11,693288,1623287.0973425785,0.0,902384.168536635,642,,549,902384.168536635,2,config,0.0,0.331578947368421
9,9,12,1410615,4440544.572862132,0.0,1704162.414537442,255,,240,1704162.414537442,2,config,0.0,0.331578947368421
10,10,13,2460676,10873041.93387456,0.0,2677902.833025136,91,,93,2677902.833025136,2,config,0.0,0.331578947368421
11,11,14,3586880,23434266.694324385,0.0,2261805.594676489,20,,30,2261805.594676489,2,config,0.0,0.331578947368421
12,12,15,4216901,43513733.10398759,0.0,3810852.799154265,7,,7,3810852.799154265,2,config,0.0,0.331578947368421
13,13,16,3816434,67632364.77511229,0.0,4018724.967155676,3,0.0,0,4018724.967155676,2,config,0.0,0.331578947368421
14,14,17,2490400,84425292.49945906,0.0,0.0,0,0.0,0,84425292.49945906,2,config,0.0,0.331578947368421
15,15,18,1065857,79315340.5850181,0.0,0.0,0,0.0,0,79315340.5850181,2,config,0.0,0.331578947368421
16,16,19,273763,49830247.21518588,0.0,0.0,0,0.0,0,49830247.21518588,2,config,0.0,0.331578947368421
17,17,20,32245,15696527.872783553,0.0,0.0,0,0.0,0,15696527.872783553,2,config,0.0,0.331578947368421
0,0,3,36,26.171301939058168,0.0,32.92465042053917,6925,,6934,32.92465042053917,3,config,0.0,0.2842105263157894
1,1,4,121,94.83653360548185,0.0,120.82018761166424,6869,,6892,120.82018761166424,3,config,0.0,0.2842105263157894
2,2,5,398,345.0053264637319,0.0,442.0615853586317,6077,,5904,442.0615853586317,3,config,0.0,0.2842105263157894
3,3,6,1215,1225.6768177000995,0.0,1446.307065270703,5087,,5038,1446.307065270703,3,config,0.0,0.2842105263157894
4,4,7,3437,4180.203041419288,0.0,4250.474658993985,3785,,3844,4250.474658993985,3,config,0.0,0.2842105263157894
5,5,8,9001,13514.156411535778,0.0,11506.929946499957,2708,,2734,11506.929946499957,3,config,0.0,0.2842105263157894
6,6,9,21628,40969.23206865583,0.0,29930.83601177192,1713,,1751,29930.83601177192,3,config,0.0,0.2842105263157894
7,7,10,47228,115274.4813889653,0.0,68533.31279821829,984,,1019,68533.31279821829,3,config,0.0,0.2842105263157894
8,8,11,93016,297838.3729667046,0.0,133124.10245123802,502,,541,133124.10245123802,3,config,0.0,0.2842105263157894
9,9,12,162502,698352.6060877205,0.0,208569.48405772704,216,,223,208569.48405772704,3,config,0.0,0.2842105263157894
10,10,13,245909,1465692.2712383573,0.0,264996.0947371275,90,,83,264996.0947371275,3,config,0.0,0.2842105263157894
11,11,14,314472,2707673.6168666496,0.0,403954.8019866926,32,,33,403954.8019866926,3,config,0.0,0.2842105263157894
12,12,15,332279,4309476.324949867,0.0,274424.8511447435,8,,4,274424.8511447435,3,config,0.0,0.2842105263157894
13,13,16,283310,5741243.130278607,0.0,330256.6388289405,3,0.0,0,330256.6388289405,3,config,0.0,0.2842105263157894
14,14,17,189121,6142952.401932775,0.0,0.0,0,0.0,0,6142952.401932775,3,config,0.0,0.2842105263157894
15,15,18,94175,4946693.249977445,0.0,645811.4432746138,1,0.0,0,645811.4432746138,3,config,0.0,0.2842105263157894
16,16,19,30863,2663814.869239932,0.0,0.0,0,0.0,0,2663814.869239932,3,config,0.0,0.2842105263157894
17,17,20,4113,719230.0146947816,0.0,0.0,0,0.0,0,719230.0146947816,3,config,0.0,0.2842105263157894
0,0,3,27,30.78,0.0,27.123844243424905,5615,,5630,27.123844243424905,4,config,0.0,0.3
1,1,4,94,117.7335,0.0,104.43509913732694,6178,,6040,104.43509913732694,4,config,0.0,0.3
2,2,5,378,452.0966399999999,0.0,459.13616616961474,6988,,6890,459.13616616961474,4,config,0.0,0.3
3,3,6,1226,1695.3623999999998,0.0,1610.3359803277417,5863,,5695,1610.3359803277417,4,config,0.0,0.3
4,4,7,3922,6103.304639999999,0.0,5421.306637795728,4712,,4585,5421.306637795728,4,config,0.0,0.3
5,5,8,11942,20827.527083999998,0.0,16882.52429251616,3506,,3551,16882.52429251616,4,config,0.0,0.3
6,6,9,33179,66648.08666879998,0.0,47333.59918166191,2313,,2471,47333.59918166191,4,config,0.0,0.3
7,7,10,85345,197944.8174063359,0.0,122602.54205094432,1364,,1536,122602.54205094432,4,config,0.0,0.3
8,8,11,202557,539849.5020172797,0.0,319895.9303560252,807,,865,319895.9303560252,4,config,0.0,0.3
