,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,49,41.55905817174514,0.0,44.23003622960206,7222,,7256,44.23003622960206,49,config,0.0,0.33157894736842103
1,4,207,175.69638671818043,0.0,203.372560337487,7892,,7901,203.372560337487,49,config,0.0,0.33157894736842103
2,5,867,745.6924539449511,0.0,911.6198498041316,8212,,8198,911.6198498041316,49,config,0.0,0.33157894736842103
3,6,3207,3090.698986745521,0.0,3628.344337676975,6850,,6744,3628.344337676975,49,config,0.0,0.33157894736842103
4,7,11152,12297.728599892702,0.0,12939.59345975154,5247,,5286,12939.59345975154,49,config,0.0,0.33157894736842103
5,8,35669,46383.472409990034,0.0,43413.850911611844,3702,,3611,43413.850911611844,49,config,0.0,0.33157894736842103
6,9,104096,164051.01820796475,0.0,124616.85014069332,2305,,2322,124616.85014069332,49,config,0.0,0.33157894736842103
7,10,276694,538519.0529279348,0.0,351810.56959918555,1371,,1381,351810.56959918555,49,config,0.0,0.33157894736842103
8,11,666579,1623287.0973425785,0.0,835229.6162439703,703,,725,835229.6162439703,49,config,0.0,0.33157894736842103
9,12,1445295,4440544.5728621315,0.0,1865015.3913075365,318,,346,1865015.3913075365,49,config,0.0,0.33157894736842103
10,13,2781299,10873041.93387456,0.0,2940967.9041560534,112,,163,2940967.9041560534,49,config,0.0,0.33157894736842103
11,14,4649824,23434266.694324385,0.0,5656459.172433295,52,,50,5656459.172433295,49,config,0.0,0.33157894736842103
12,15,6580385,43513733.10398759,0.0,6221294.646315373,13,,11,6221294.646315373,49,config,0.0,0.33157894736842103
13,16,7639256,67632364.77511229,0.0,1830247.0557640158,1,,4,1830247.0557640158,49,config,0.0,0.33157894736842103
14,17,6969808,84425292.49945906,0.0,0.0,0,,1,84425292.49945906,49,config,0.0,0.33157894736842103
15,18,4657811,79315340.5850181,0.0,0.0,0,,1,79315340.5850181,49,config,0.0,0.33157894736842103
16,19,1999820,49830247.21518588,0.0,0.0,0,0.0,0,49830247.21518588,49,config,0.0,0.33157894736842103
17,20,403931,15696527.872783553,0.0,0.0,0,0.0,0,15696527.872783553,49,config,0.0,0.33157894736842103
