,Unnamed: 0,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,0,3,22,25.074992347719625,27.5,22.4000496871566,5173,22.616740086297707,5108,22.4000496871566,0,er,0.5,0.4848484848484848
1,1,4,64,82.06361131980967,92.8125,70.767507349749,4932,69.86034482458571,4813,70.767507349749,0,er,0.5,0.4848484848484848
2,2,5,188,254.64587270147004,297.0,222.36960132896877,4372,223.34073096365057,4388,222.36960132896877,0,er,0.5,0.4848484848484848
3,3,6,489,720.2105490546628,866.25,603.8338963413025,3157,620.4797469433759,3185,603.8338963413025,0,er,0.5,0.4848484848484848
4,4,7,1128,1795.8496807596784,2227.5,1423.6454916699877,1869,1489.701689150992,1957,1423.6454916699877,0,er,0.5,0.4848484848484848
5,5,8,2239,3809.378110702348,4872.65625,3002.658699482487,986,3003.0264005250315,987,3002.658699482487,0,er,0.5,0.4848484848484848
6,6,9,3733,6567.008729560952,8662.5,4478.929590298822,369,5050.747437280807,412,4478.929590298822,0,er,0.5,0.4848484848484848
7,7,10,4910,8596.811427788882,11694.375,5841.068950362535,110,6120.946011469572,121,5841.068950362535,0,er,0.5,0.4848484848484848
8,8,11,4370,7578.456355075599,10631.25,6546.560888773606,31,5336.641251551923,26,6546.560888773606,0,er,0.5,0.4848484848484848
9,9,12,1992,3368.202824478044,4872.65625,897.8450801040993,1,2659.567244647268,3,897.8450801040993,0,er,0.5,0.4848484848484848
0,0,3,8,10.578512396694215,27.5,7.828359030850363,3170,9.34566358653646,3176,7.828359030850363,1,er,0.5,0.3636363636363636
1,1,4,28,25.96543951915853,92.8125,33.540480409537324,4785,37.57687195767242,4769,33.540480409537324,1,er,0.5,0.3636363636363636
2,2,5,30,60.42865924458712,297.0,42.877842364588005,1824,45.233109823007375,1759,42.877842364588005,1,er,0.5,0.3636363636363636
3,3,6,82,128.18200445821512,866.25,117.23306384273631,2000,117.40503091628656,1962,117.23306384273631,1,er,0.5,0.3636363636363636
4,4,7,99,239.7169953504283,2227.5,136.07315381281225,762,143.8021961509474,838,136.07315381281225,1,er,0.5,0.3636363636363636
5,5,8,130,381.36794714840863,4872.65625,160.20163769047682,351,159.81815894291108,364,160.20163769047682,1,er,0.5,0.3636363636363636
6,6,9,98,493.081790252488,8662.5,111.16679775918134,85,101.607030524539,98,111.16679775918134,1,er,0.5,0.3636363636363636
7,7,10,45,484.11666679335184,11694.375,46.92748936484876,20,73.91988195045691,27,46.92748936484876,1,er,0.5,0.3636363636363636
8,8,11,19,320.0771350699847,10631.25,19.942441666856325,3,32.670425057850025,7,19.942441666856325,1,er,0.5,0.3636363636363636
9,9,12,0,106.69237835666156,4872.65625,0.0,0,0.0,0,106.69237835666156,1,er,0.5,0.3636363636363636
0,0,3,34,30.07652280379553,27.5,32.92722657756307,6689,31.66689315807704,6576,32.92722657756307,2,er,0.5,0.5151515151515151
1,1,4,110,104.58427247683444,92.8125,113.4013874593787,6022,108.36434475622038,5880,113.4013874593787,2,er,0.5,0.5151515151515151
2,2,5,327,344.8111771357451,297.0,353.1809756757187,4582,350.40406040339883,4600,353.1809756757187,2,er,0.5,0.5151515151515151
3,3,6,852,1036.17500199883,866.25,951.3559604649028,3006,968.0611849444974,3073,951.3559604649028,2,er,0.5,0.5151515151515151
4,4,7,1912,2745.19091438651,2227.5,2215.4745987104275,1661,2225.456287433346,1716,2215.4745987104275,2,er,0.5,0.5151515151515151
5,5,8,3549,6187.07800780293,4872.65625,4030.7183106606,738,4375.2521609660425,781,4030.7183106606,2,er,0.5,0.5151515151515151
6,6,9,5198,11332.560391396612,8662.5,5791.181201431753,249,6893.857575978414,294,5791.181201431753,2,er,0.5,0.5151515151515151
7,7,10,5331,15762.561271669832,11694.375,3928.389428885901,49,6961.869075183638,71,3928.389428885901,2,er,0.5,0.5151515151515151
8,8,11,3063,14763.831494126014,10631.25,778.9246079094339,4,3615.051097307352,8,778.9246079094339,2,er,0.5,0.5151515151515151
9,9,12,530,6971.809316670618,4872.65625,0.0,0,763.9587706483806,1,6971.809316670618,2,er,0.5,0.5151515151515151
