,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,32,38.76109580655034,27.5,32.83335568846944,5954,29.931960415815333,5862,32.83335568846944,41,er,0.5,0.5606060606060606
1,4,134,146.6755102679689,92.8125,144.15682915352266,6706,138.286448319735,6781,144.15682915352266,41,er,0.5,0.5606060606060606
2,5,466,526.253951991743,297.0,527.7451622387946,5723,508.52828571229463,5715,527.7451622387946,41,er,0.5,0.5606060606060606
3,6,1435,1720.9567369426943,866.25,1648.6578759871168,3864,1604.6000146389788,3835,1648.6578759871168,41,er,0.5,0.5606060606060606
4,7,3888,4961.719423393222,2227.5,4547.998916576117,2238,4548.1955305454785,2246,4547.998916576117,41,er,0.5,0.5606060606060606
5,8,8806,12169.368661542088,4872.65625,10223.807512231971,1046,10107.071775525434,1030,10223.807512231971,41,er,0.5,0.5606060606060606
6,9,15670,24256.78871256874,8662.5,17385.187888978235,360,19331.720359601655,397,17385.187888978235,41,er,0.5,0.5606060606060606
7,10,20376,36715.95746038813,11694.375,20969.98859716092,93,27039.588882504526,117,20969.98859716092,41,er,0.5,0.5606060606060606
8,11,17397,37423.97867863253,10631.25,16100.822279361439,15,18451.375969940516,15,16100.822279361439,41,er,0.5,0.5606060606060606
9,12,7362,19231.766820963934,4872.65625,4832.484303255005,1,9897.160044504206,2,4832.484303255005,41,er,0.5,0.5606060606060606
