,Unnamed: 0,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,0,3,161700.0,161700.0,161700.0,161377.77777768488,145240,162015.55555546845,145814,161377.77777768488,0,full,1,1.0
1,1,4,11763675.0,11763675.0,11763675.0,11752874.999943344,188046,11787749.999943022,188604,11752874.999943344,0,full,1,1.0
2,2,5,903450240.0,903450240.0,903450240.0,903160000.0040996,225790,905972000.004058,226493,903160000.0040996,0,full,1,1.0
3,3,6,71523144000.0,71523144000.0,71523144000.0,71670833333.6671,258015,71670833333.6671,258015,71670833333.6671,0,full,1,1.0
4,4,7,5762721888000.0,5762721888000.0,5762721888000.0,5794469387799.435,283929,5779326530656.29,283187,5794469387799.435,0,full,1,1.0
5,5,8,468941493636000.0,468941493636000.0,468941493636000.0,473493749998475.6,303036,471037499998490.56,301464,473493749998475.6,0,full,1,1.0
6,6,9,3.8348993257344e+16,3.8348993257344e+16,3.8348993257344e+16,3.88595061726518e+16,314762,3.848320987636306e+16,311714,3.88595061726518e+16,0,full,1,1.0
7,7,10,3.1407825477764736e+18,3.1407825477764736e+18,3.1407825477764736e+18,3.1876599999831905e+18,318766,3.14921999998356e+18,314922,3.1876599999831905e+18,0,full,1,1.0
8,8,11,2.5697311754534784e+20,2.5697311754534784e+20,2.5697311754534784e+20,2.612842975216093e+20,316154,2.574165289265487e+20,311474,2.612842975216093e+20,0,full,1,1.0
9,9,12,2.096472350640796e+22,2.096472350640796e+22,2.096472350640796e+22,2.1304236111151394e+22,306781,2.10043750000395e+22,302463,2.1304236111151394e+22,0,full,1,1.0
10,10,13,1.7029806171359082e+24,1.7029806171359082e+24,1.7029806171359082e+24,1.728662721892401e+24,292144,1.7006863905314818e+24,287416,1.728662721892401e+24,0,full,1,1.0
11,11,14,1.3757650557005089e+26,1.3757650557005089e+26,1.3757650557005089e+26,1.3909336734620482e+26,272623,1.3699438775440825e+26,268509,1.3909336734620482e+26,0,full,1,1.0
12,12,15,1.1042807513756083e+28,1.1042807513756083e+28,1.1042807513756083e+28,1.1125644444407952e+28,250327,1.098128888885298e+28,247079,1.1125644444407952e+28,0,full,1,1.0
13,13,16,8.799737237524379e+29,8.799737237524379e+29,8.799737237524379e+29,8.826249999979611e+29,225952,8.753671874979751e+29,224094,8.826249999979611e+29,0,full,1,1.0
14,14,17,6.956968733666333e+31,6.956968733666333e+31,6.956968733666333e+31,6.947474048462989e+31,200782,6.926505190331383e+31,200176,6.947474048462989e+31,0,full,1,1.0
15,15,18,5.453490490668443e+33,5.453490490668443e+33,5.453490490668443e+33,5.442006172832989e+33,176321,5.433024691351511e+33,176030,5.442006172832989e+33,0,full,1,1.0
16,16,19,4.236501033803484e+35,4.236501033803484e+35,4.236501033803484e+35,4.2138227146873526e+35,152119,4.21132963989514e+35,152029,4.2138227146873526e+35,0,full,1,1.0
17,17,20,3.259987545511781e+37,3.259987545511781e+37,3.259987545511781e+37,3.2092000000103936e+37,128368,3.234500000010387e+37,129380,3.2092000000103936e+37,0,full,1,1.0
18,18,21,2.483800034675643e+39,2.483800034675643e+39,2.483800034675643e+39,2.4141496598617406e+39,106464,2.4648979591814287e+39,108702,2.4141496598617406e+39,0,full,1,1.0
19,19,22,1.873011026148587e+41,1.873011026148587e+41,1.873011026148587e+41,1.8036570247951605e+41,87297,1.856818181820115e+41,89870,1.8036570247951605e+41,0,full,1,1.0
20,20,23,1.397429096030859e+43,1.397429096030859e+43,1.397429096030859e+43,1.3358034026467838e+43,70664,1.3785444234408557e+43,72925,1.3358034026467838e+43,0,full,1,1.0
21,21,24,1.0311862204461046e+45,1.0311862204461046e+45,1.0311862204461046e+45,9.776909722221483e+44,56315,1.0169097222223043e+45,58574,9.776909722221483e+44,0,full,1,1.0
22,22,25,7.523534664374778e+46,7.523534664374778e+46,7.523534664374778e+46,7.094240000002379e+46,44339,7.441440000002453e+46,46509,7.094240000002379e+46,0,full,1,1.0
23,23,26,5.425625959885658e+48,5.425625959885658e+48,5.425625959885658e+48,5.02662721893291e+48,33980,5.4202662721871504e+48,36641,5.02662721893291e+48,0,full,1,1.0
24,24,27,3.866260869192595e+50,3.866260869192595e+50,3.866260869192595e+50,3.5263374485608383e+50,25707,3.946776406037063e+50,28772,3.5263374485608383e+50,0,full,1,1.0
25,25,28,2.7215714904209297e+52,2.7215714904209297e+52,2.7215714904209297e+52,2.4363520408164047e+52,19101,2.8301020408158586e+52,22188,2.4363520408164047e+52,0,full,1,1.0
26,26,29,1.8919614223064117e+54,1.8919614223064117e+54,1.8919614223064117e+54,1.6803804994058775e+54,14132,1.9617122473252232e+54,16498,1.6803804994058775e+54,0,full,1,1.0
27,27,30,1.298516189509634e+56,1.298516189509634e+56,1.298516189509634e+56,1.1292222222222193e+56,10163,1.3264444444442745e+56,11938,1.1292222222222193e+56,0,full,1,1.0
28,28,31,8.79639999345236e+57,8.79639999345236e+57,8.79639999345236e+57,7.473465140477897e+57,7182,8.977107180019443e+57,8627,7.473465140477897e+57,0,full,1,1.0
29,29,32,5.879843620623312e+59,5.879843620623312e+59,5.879843620623312e+59,4.9902343750002055e+59,5110,5.973632812499746e+59,6117,4.9902343750002055e+59,0,full,1,1.0
30,30,33,3.8771332480231296e+61,3.8771332480231296e+61,3.8771332480231296e+61,3.2993572084478754e+61,3593,4.051423324150277e+61,4412,3.2993572084478754e+61,0,full,1,1.0
31,31,34,2.5212769445232764e+63,2.5212769445232764e+63,2.5212769445232764e+63,2.141003460207653e+63,2475,2.745674740484324e+63,3174,2.141003460207653e+63,0,full,1,1.0
32,32,35,1.6164987038600663e+65,1.6164987038600663e+65,1.6164987038600663e+65,1.3828571428570894e+65,1694,1.8653061224488984e+65,2285,1.3828571428570894e+65,0,full,1,1.0
33,33,36,1.021537375356014e+67,1.021537375356014e+67,1.021537375356014e+67,9.07407407407396e+66,1176,1.2523148148147583e+67,1623,9.07407407407396e+66,0,full,1,1.0
34,34,37,6.361140845460152e+68,6.361140845460152e+68,6.361140845460152e+68,5.931336742147378e+68,812,8.151935719502802e+68,1116,5.931336742147378e+68,0,full,1,1.0
35,35,38,3.902057713359899e+70,3.902057713359899e+70,3.902057713359899e+70,3.642659279778294e+70,526,5.401662049861269e+70,780,3.642659279778294e+70,0,full,1,1.0
36,36,39,2.357243069916903e+72,2.357243069916903e+72,2.357243069916903e+72,2.393162393162318e+72,364,3.5174227481918575e+72,535,2.393162393162318e+72,0,full,1,1.0
37,37,40,1.401970315833078e+74,1.401970315833078e+74,1.401970315833078e+74,1.6124999999998902e+74,258,2.206249999999905e+74,353,1.6124999999998902e+74,0,full,1,1.0
38,38,41,8.206655507315578e+75,8.206655507315578e+75,8.206655507315578e+75,1.0053539559785419e+76,169,1.3206424747173912e+76,222,1.0053539559785419e+76,0,full,1,1.0
39,39,42,4.726642779094378e+77,4.726642779094378e+77,4.726642779094378e+77,7.086167800453205e+77,125,7.766439909296848e+77,137,7.086167800453205e+77,0,full,1,1.0
40,40,43,2.6776980953195124e+79,2.6776980953195124e+79,2.6776980953195124e+79,4.705246078961366e+79,87,4.2184964845862244e+79,78,4.705246078961366e+79,0,full,1,1.0
41,41,44,1.4915995526427555e+81,1.4915995526427555e+81,1.4915995526427555e+81,2.892561983470865e+81,56,2.0661157024793087e+81,40,2.892561983470865e+81,0,full,1,1.0
42,42,45,8.167336217137222e+82,8.167336217137222e+82,8.167336217137222e+82,1.6296296296295135e+83,33,7.407407407407356e+82,15,1.6296296296295135e+83,0,full,1,1.0
43,43,46,4.394381986394483e+84,4.394381986394483e+84,4.394381986394483e+84,7.561436672967445e+84,16,2.36294896030243e+84,5,7.561436672967445e+84,0,full,1,1.0
44,44,47,2.3224776285540205e+86,2.3224776285540205e+86,2.3224776285540205e+86,2.716161158895194e+86,6,4.526935264825575e+85,1,2.716161158895194e+86,0,full,1,1.0
45,45,48,1.205269119318347e+88,1.205269119318347e+88,1.205269119318347e+88,4.340277777777301e+87,1,0.0,0,4.340277777777301e+87,0,full,1,1.0
46,46,49,6.139493309833865e+89,6.139493309833865e+89,6.139493309833865e+89,0.0,0,0.0,0,6.139493309833865e+89,0,full,1,1.0
47,47,50,3.068518756254966e+91,3.068518756254966e+91,3.068518756254966e+91,0.0,0,0.0,0,3.068518756254966e+91,0,full,1,1.0
48,48,51,1.504175860909297e+93,1.504175860909297e+93,1.504175860909297e+93,0.0,0,0.0,0,1.504175860909297e+93,0,full,1,1.0
49,49,52,7.228722070023719e+94,7.228722070023719e+94,7.228722070023719e+94,0.0,0,0.0,0,7.228722070023719e+94,0,full,1,1.0
50,50,53,3.4043189220338106e+96,3.4043189220338106e+96,3.4043189220338106e+96,0.0,0,0.0,0,3.4043189220338106e+96,0,full,1,1.0
51,51,54,1.570399710145597e+98,1.570399710145597e+98,1.570399710145597e+98,0.0,0,0.0,0,1.570399710145597e+98,0,full,1,1.0
52,52,55,7.09249614545757e+99,7.09249614545757e+99,7.09249614545757e+99,0.0,0,0.0,0,7.09249614545757e+99,0,full,1,1.0
53,53,56,3.134629992858479e+101,3.134629992858479e+101,3.134629992858479e+101,0.0,0,0.0,0,3.134629992858479e+101,0,full,1,1.0
54,54,57,1.355040053053209e+103,1.355040053053209e+103,1.355040053053209e+103,0.0,0,0.0,0,1.355040053053209e+103,0,full,1,1.0
55,55,58,5.726212362126579e+104,5.726212362126579e+104,5.726212362126579e+104,0.0,0,0.0,0,5.726212362126579e+104,0,full,1,1.0
56,56,59,2.364246324430567e+106,2.364246324430567e+106,2.364246324430567e+106,0.0,0,0.0,0,2.364246324430567e+106,0,full,1,1.0
57,57,60,9.531853097995905e+107,9.531853097995905e+107,9.531853097995905e+107,0.0,0,0.0,0,9.531853097995905e+107,0,full,1,1.0
58,58,61,3.750237284457405e+109,3.750237284457405e+109,3.750237284457405e+109,0.0,0,0.0,0,3.750237284457405e+109,0,full,1,1.0
59,59,62,1.4390023386651881e+111,1.4390023386651881e+111,1.4390023386651881e+111,0.0,0,0.0,0,1.4390023386651881e+111,0,full,1,1.0
60,60,63,5.381411920468545e+112,5.381411920468545e+112,5.381411920468545e+112,0.0,0,0.0,0,5.381411920468545e+112,0,full,1,1.0
61,61,64,1.9600111229081527e+114,1.9600111229081527e+114,1.9600111229081527e+114,0.0,0,0.0,0,1.9600111229081527e+114,0,full,1,1.0
62,62,65,6.947485580277514e+115,6.947485580277514e+115,6.947485580277514e+115,0.0,0,0.0,0,6.947485580277514e+115,0,full,1,1.0
63,63,66,2.394777226535052e+117,2.394777226535052e+117,2.394777226535052e+117,0.0,0,0.0,0,2.394777226535052e+117,0,full,1,1.0
64,64,67,8.020716561708444e+118,8.020716561708444e+118,8.020716561708444e+118,0.0,0,0.0,0,8.020716561708444e+118,0,full,1,1.0
65,65,68,2.607912399696672e+120,2.607912399696672e+120,2.607912399696672e+120,0.0,0,0.0,0,2.607912399696672e+120,0,full,1,1.0
66,66,69,8.224373017014432e+121,8.224373017014432e+121,8.224373017014432e+121,0.0,0,0.0,0,8.224373017014432e+121,0,full,1,1.0
67,67,70,2.51313341191341e+123,2.51313341191341e+123,2.51313341191341e+123,0.0,0,0.0,0,2.51313341191341e+123,0,full,1,1.0
68,68,71,7.433211500025578e+124,7.433211500025578e+124,7.433211500025578e+124,0.0,0,0.0,0,7.433211500025578e+124,0,full,1,1.0
69,69,72,2.1256920109100925e+126,2.1256920109100925e+126,2.1256920109100925e+126,0.0,0,0.0,0,2.1256920109100925e+126,0,full,1,1.0
70,70,73,5.870404238348966e+127,5.870404238348966e+127,5.870404238348966e+127,0.0,0,0.0,0,5.870404238348966e+127,0,full,1,1.0
71,71,74,1.563590101862948e+129,1.563590101862948e+129,1.563590101862948e+129,0.0,0,0.0,0,1.563590101862948e+129,0,full,1,1.0
72,72,75,4.011129807979083e+130,4.011129807979083e+130,4.011129807979083e+130,0.0,0,0.0,0,4.011129807979083e+130,0,full,1,1.0
73,73,76,9.895879460474711e+131,9.895879460474711e+131,9.895879460474711e+131,0.0,0,0.0,0,9.895879460474711e+131,0,full,1,1.0
74,74,77,2.3441667708968663e+133,2.3441667708968663e+133,2.3441667708968663e+133,0.0,0,0.0,0,2.3441667708968663e+133,0,full,1,1.0
75,75,78,5.322460706741474e+134,5.322460706741474e+134,5.322460706741474e+134,0.0,0,0.0,0,5.322460706741474e+134,0,full,1,1.0
76,76,79,1.1561193130086546e+136,1.1561193130086546e+136,1.1561193130086546e+136,0.0,0,0.0,0,1.1561193130086546e+136,0,full,1,1.0
77,77,80,2.3975024253516974e+137,2.3975024253516974e+137,2.3975024253516974e+137,0.0,0,0.0,0,2.3975024253516974e+137,0,full,1,1.0
78,78,81,4.7358072599539695e+138,4.7358072599539695e+138,4.7358072599539695e+138,0.0,0,0.0,0,4.7358072599539695e+138,0,full,1,1.0
79,79,82,8.888301674474585e+139,8.888301674474585e+139,8.888301674474585e+139,0.0,0,0.0,0,8.888301674474585e+139,0,full,1,1.0
80,80,83,1.5806184664487336e+141,1.5806184664487336e+141,1.5806184664487336e+141,0.0,0,0.0,0,1.5806184664487336e+141,0,full,1,1.0
81,81,84,2.655062685903765e+142,2.655062685903765e+142,2.655062685903765e+142,0.0,0,0.0,0,2.655062685903765e+142,0,full,1,1.0
82,82,85,4.198122646887836e+143,4.198122646887836e+143,4.198122646887836e+143,0.0,0,0.0,0,4.198122646887836e+143,0,full,1,1.0
83,83,86,6.223960900909292e+144,6.223960900909292e+144,6.223960900909292e+144,0.0,0,0.0,0,6.223960900909292e+144,0,full,1,1.0
84,84,87,8.613389568614698e+145,8.613389568614698e+145,8.613389568614698e+145,0.0,0,0.0,0,8.613389568614698e+145,0,full,1,1.0
85,85,88,1.1070163184208207e+147,1.1070163184208207e+147,1.1070163184208207e+147,0.0,0,0.0,0,1.1070163184208207e+147,0,full,1,1.0
86,86,89,1.3134935193847044e+148,1.3134935193847044e+148,1.3134935193847044e+148,0.0,0,0.0,0,1.3134935193847044e+148,0,full,1,1.0
87,87,90,1.4287890616418065e+149,1.4287890616418065e+149,1.4287890616418065e+149,0.0,0,0.0,0,1.4287890616418065e+149,0,full,1,1.0
88,88,91,1.4130880829424456e+150,1.4130880829424456e+150,1.4130880829424456e+150,0.0,0,0.0,0,1.4130880829424456e+150,0,full,1,1.0
89,89,92,1.2579555868802857e+151,1.2579555868802857e+151,1.2579555868802857e+151,0.0,0,0.0,0,1.2579555868802857e+151,0,full,1,1.0
90,90,93,9.955433461762263e+151,9.955433461762263e+151,9.955433461762263e+151,0.0,0,0.0,0,9.955433461762263e+151,0,full,1,1.0
