,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,161700.0,161700.0,161700.0,161562.22222213092,145406,161617.777777687,145456,161562.22222213092,31,full,1,1.0
1,4,11763675.0,11763675.0,11763675.0,11764499.999943245,188232,11752499.99994334,188040,11764499.999943245,31,full,1,1.0
2,5,903450240.0,903450240.0,903450240.0,903348000.0040956,225837,903352000.0040962,225838,903348000.0040956,31,full,1,1.0
3,6,71523144000.0,71523144000.0,71523144000.0,71498055555.88672,257393,71522777778.10963,257482,71498055555.88672,31,full,1,1.0
4,7,5762721888000.0,5762721888000.0,5762721888000.0,5771448979635.7705,282801,5765897959227.519,282529,5771448979635.7705,31,full,1,1.0
5,8,468941493636000.0,468941493636000.0,468941493636000.0,469956249998497.4,300772,469634374998499.3,300566,469956249998497.4,31,full,1,1.0
6,9,3.8348993257344e+16,3.8348993257344e+16,3.8348993257344e+16,3.842506172821622e+16,311243,3.8380493826982584e+16,310882,3.842506172821622e+16,31,full,1,1.0
7,10,3.1407825477764736e+18,3.1407825477764736e+18,3.1407825477764736e+18,3.141899999983616e+18,314190,3.14946999998356e+18,314947,3.141899999983616e+18,31,full,1,1.0
8,11,2.5697311754534784e+20,2.5697311754534784e+20,2.5697311754534784e+20,2.566322314058837e+20,310525,2.5814380165382583e+20,312354,2.566322314058837e+20,31,full,1,1.0
9,12,2.096472350640796e+22,2.096472350640796e+22,2.096472350640796e+22,2.0961041666706126e+22,301839,2.1080763888928622e+22,303563,2.0961041666706126e+22,31,full,1,1.0
10,13,1.7029806171359082e+24,1.7029806171359082e+24,1.7029806171359082e+24,1.7051597633125328e+24,288172,1.7115147928983403e+24,289246,1.7051597633125328e+24,31,full,1,1.0
11,14,1.3757650557005087e+26,1.3757650557005087e+26,1.3757650557005087e+26,1.3794234693806442e+26,270367,1.3816377550948918e+26,270801,1.3794234693806442e+26,31,full,1,1.0
12,15,1.1042807513756085e+28,1.1042807513756085e+28,1.1042807513756085e+28,1.1093022222185886e+28,249593,1.1043199999963847e+28,248472,1.1093022222185886e+28,31,full,1,1.0
13,16,8.799737237524379e+29,8.799737237524379e+29,8.799737237524379e+29,8.86093749997952e+29,226840,8.787031249979707e+29,224948,8.86093749997952e+29,31,full,1,1.0
14,17,6.956968733666333e+31,6.956968733666333e+31,6.956968733666333e+31,7.007889273377432e+31,202528,6.943667820089324e+31,200672,7.007889273377432e+31,31,full,1,1.0
15,18,5.453490490668443e+33,5.453490490668443e+33,5.453490490668443e+33,5.506450617277338e+33,178409,5.446512345672487e+33,176467,5.506450617277338e+33,31,full,1,1.0
16,19,4.236501033803484e+35,4.236501033803484e+35,4.236501033803484e+35,4.279279778398492e+35,154482,4.234958448759135e+35,152882,4.279279778398492e+35,31,full,1,1.0
17,20,3.259987545511781e+37,3.259987545511781e+37,3.259987545511781e+37,3.2841000000107116e+37,131364,3.271775000010477e+37,130871,3.2841000000107116e+37,31,full,1,1.0
18,21,2.483800034675643e+39,2.483800034675643e+39,2.483800034675643e+39,2.5008843537392016e+39,110289,2.4840589569138102e+39,109547,2.5008843537392016e+39,31,full,1,1.0
19,22,1.873011026148587e+41,1.873011026148587e+41,1.873011026148587e+41,1.8831611570267817e+41,91145,1.8647107438036053e+41,90252,1.8831611570267817e+41,31,full,1,1.0
20,23,1.397429096030859e+43,1.397429096030859e+43,1.397429096030859e+43,1.3891682419663911e+43,73487,1.38327032136148e+43,73175,1.3891682419663911e+43,31,full,1,1.0
21,24,1.0311862204461046e+45,1.0311862204461046e+45,1.0311862204461046e+45,1.0075347222222653e+45,58034,1.0174479166667643e+45,58605,1.0075347222222653e+45,31,full,1,1.0
22,25,7.523534664374779e+46,7.523534664374779e+46,7.523534664374779e+46,7.236160000002434e+46,45226,7.403200000002541e+46,46270,7.236160000002434e+46,31,full,1,1.0
23,26,5.4256259598856575e+48,5.4256259598856575e+48,5.4256259598856575e+48,5.163461538459492e+48,34905,5.3534023668617185e+48,36189,5.163461538459492e+48,31,full,1,1.0
24,27,3.866260869192595e+50,3.866260869192595e+50,3.866260869192595e+50,3.6491083676281426e+50,26602,3.822222222223541e+50,27864,3.6491083676281426e+50,31,full,1,1.0
25,28,2.72157149042093e+52,2.72157149042093e+52,2.72157149042093e+52,2.562499999999922e+52,20090,2.6534438775508465e+52,20803,2.562499999999922e+52,31,full,1,1.0
26,29,1.891961422306412e+54,1.891961422306412e+54,1.891961422306412e+54,1.7813317479196285e+54,14981,1.8187871581455595e+54,15296,1.7813317479196285e+54,31,full,1,1.0
27,30,1.298516189509634e+56,1.298516189509634e+56,1.298516189509634e+56,1.2167777777777131e+56,10951,1.2471111111110047e+56,11224,1.2167777777777131e+56,31,full,1,1.0
28,31,8.79639999345236e+57,8.79639999345236e+57,8.79639999345236e+57,8.196670135274801e+57,7877,8.291363163370334e+57,7968,8.196670135274801e+57,31,full,1,1.0
29,32,5.879843620623312e+59,5.879843620623312e+59,5.879843620623312e+59,5.519531249999946e+59,5652,5.505859374999935e+59,5638,5.519531249999946e+59,31,full,1,1.0
30,33,3.8771332480231296e+61,3.8771332480231296e+61,3.8771332480231296e+61,3.6400367309454894e+61,3964,3.6354453627177747e+61,3959,3.6400367309454894e+61,31,full,1,1.0
31,34,2.5212769445232764e+63,2.5212769445232764e+63,2.5212769445232764e+63,2.351211072664358e+63,2718,2.3849480968857986e+63,2757,2.351211072664358e+63,31,full,1,1.0
32,35,1.6164987038600663e+65,1.6164987038600663e+65,1.6164987038600663e+65,1.4857142857142134e+65,1820,1.5199999999999516e+65,1862,1.4857142857142134e+65,31,full,1,1.0
33,36,1.021537375356014e+67,1.021537375356014e+67,1.021537375356014e+67,9.205246913579906e+66,1193,9.776234567900863e+66,1267,9.205246913579906e+66,31,full,1,1.0
34,37,6.361140845460152e+68,6.361140845460152e+68,6.361140845460152e+68,5.573411249086575e+68,763,6.150474799123201e+68,842,5.573411249086575e+68,31,full,1,1.0
35,38,3.902057713359899e+70,3.902057713359899e+70,3.902057713359899e+70,3.545706371190943e+70,512,3.524930747922255e+70,509,3.545706371190943e+70,31,full,1,1.0
36,39,2.3572430699169028e+72,2.3572430699169028e+72,2.3572430699169028e+72,2.261669953977539e+72,344,2.0052596975672995e+72,305,2.261669953977539e+72,31,full,1,1.0
37,40,1.401970315833078e+74,1.401970315833078e+74,1.401970315833078e+74,1.2687499999999282e+74,203,1.3249999999999048e+74,212,1.2687499999999282e+74,31,full,1,1.0
38,41,8.206655507315578e+75,8.206655507315578e+75,8.206655507315578e+75,7.555026769779486e+75,127,9.577632361688927e+75,161,7.555026769779486e+75,31,full,1,1.0
39,42,4.726642779094378e+77,4.726642779094378e+77,4.726642779094378e+77,4.1383219954647027e+77,73,6.68934240362769e+77,118,4.1383219954647027e+77,31,full,1,1.0
40,43,2.6776980953195124e+79,2.6776980953195124e+79,2.6776980953195124e+79,1.7847485127094776e+79,33,3.893996755002513e+79,72,1.7847485127094776e+79,31,full,1,1.0
41,44,1.4915995526427557e+81,1.4915995526427557e+81,1.4915995526427557e+81,7.231404958677162e+80,14,2.1694214876031137e+81,42,7.231404958677162e+80,31,full,1,1.0
42,45,8.167336217137222e+82,8.167336217137222e+82,8.167336217137222e+82,1.481481481481406e+82,3,1.3333333333332751e+83,27,1.481481481481406e+82,31,full,1,1.0
43,46,4.394381986394483e+84,4.394381986394483e+84,4.394381986394483e+84,4.7258979206046525e+83,1,6.616257088846683e+84,14,4.7258979206046525e+83,31,full,1,1.0
44,47,2.3224776285540205e+86,2.3224776285540205e+86,2.3224776285540205e+86,0.0,0,1.8107741059301583e+86,4,2.3224776285540205e+86,31,full,1,1.0
45,48,1.205269119318347e+88,1.205269119318347e+88,1.205269119318347e+88,0.0,0,8.680555555555288e+87,2,1.205269119318347e+88,31,full,1,1.0
46,49,6.139493309833865e+89,6.139493309833865e+89,6.139493309833865e+89,0.0,0,0.0,0,6.139493309833865e+89,31,full,1,1.0
47,50,3.068518756254966e+91,3.068518756254966e+91,3.068518756254966e+91,0.0,0,0.0,0,3.068518756254966e+91,31,full,1,1.0
48,51,1.504175860909297e+93,1.504175860909297e+93,1.504175860909297e+93,0.0,0,0.0,0,1.504175860909297e+93,31,full,1,1.0
49,52,7.228722070023719e+94,7.228722070023719e+94,7.228722070023719e+94,0.0,0,0.0,0,7.228722070023719e+94,31,full,1,1.0
50,53,3.404318922033811e+96,3.404318922033811e+96,3.404318922033811e+96,0.0,0,0.0,0,3.404318922033811e+96,31,full,1,1.0
51,54,1.570399710145597e+98,1.570399710145597e+98,1.570399710145597e+98,0.0,0,0.0,0,1.570399710145597e+98,31,full,1,1.0
52,55,7.09249614545757e+99,7.09249614545757e+99,7.09249614545757e+99,0.0,0,0.0,0,7.09249614545757e+99,31,full,1,1.0
53,56,3.134629992858479e+101,3.134629992858479e+101,3.134629992858479e+101,0.0,0,0.0,0,3.134629992858479e+101,31,full,1,1.0
54,57,1.3550400530532093e+103,1.3550400530532093e+103,1.3550400530532093e+103,0.0,0,0.0,0,1.3550400530532093e+103,31,full,1,1.0
55,58,5.726212362126579e+104,5.726212362126579e+104,5.726212362126579e+104,0.0,0,0.0,0,5.726212362126579e+104,31,full,1,1.0
56,59,2.364246324430567e+106,2.364246324430567e+106,2.364246324430567e+106,0.0,0,0.0,0,2.364246324430567e+106,31,full,1,1.0
57,60,9.531853097995904e+107,9.531853097995904e+107,9.531853097995904e+107,0.0,0,0.0,0,9.531853097995904e+107,31,full,1,1.0
58,61,3.7502372844574045e+109,3.7502372844574045e+109,3.7502372844574045e+109,0.0,0,0.0,0,3.7502372844574045e+109,31,full,1,1.0
