,Unnamed: 0,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,0,3,0.0,20831.20769989457,0.0,0.0,0,0.0,0,20831.20769989457,0,fullbip,0.0,0.5050505050505051
1,1,4,1500625.0,765389.0707915808,0.0,1521596.8837914092,187182,,188225,1521596.8837914092,0,fullbip,0.0,0.5050505050505051
2,2,5,0.0,29687818.50343101,0.0,0.0,0,0.0,0,29687818.50343101,0,fullbip,0.0,0.5050505050505051
3,3,6,2304960000.0,1187012945.2129407,0.0,2352181479.762089,255412,,258510,2352181479.762089,0,fullbip,0.0,0.5050505050505051
4,4,7,0.0,48302691277.06339,0.0,0.0,0,0.0,0,48302691277.06339,0,fullbip,0.0,0.5050505050505051
5,5,8,3818742480000.0,1985167425591.4312,0.0,3928330603859.9775,297605,,301440,3928330603859.9775,0,fullbip,0.0,0.5050505050505051
6,6,9,0.0,81991202313989.53,0.0,0.0,0,0.0,0,81991202313989.53,0,fullbip,0.0,0.5050505050505051
7,7,10,6464367270144000.0,3391454277533203.5,0.0,6686071206561585.0,310715,,314687,6686071206561585.0,0,fullbip,0.0,0.5050505050505051
8,8,11,0.0,1.401427387410415e+17,0.0,0.0,0,0.0,0,1.401427387410415e+17,0,fullbip,0.0,0.5050505050505051
9,9,12,1.0908619768368e+19,5.774399883311431e+18,0.0,1.1347477862640925e+19,298223,,302212,1.1347477862640925e+19,0,fullbip,0.0,0.5050505050505051
10,10,13,0.0,2.3689845675123825e+20,0.0,0.0,0,0.0,0,2.3689845675123825e+20,0,fullbip,0.0,0.5050505050505051
11,11,14,1.8102075318480384e+22,9.665662142339485e+21,0.0,1.896400531832046e+22,266500,,269103,1.896400531832046e+22,0,fullbip,0.0,0.5050505050505051
12,12,15,0.0,3.918335764099912e+23,0.0,0.0,0,0.0,0,3.918335764099912e+23,0,fullbip,0.0,0.5050505050505051
13,13,16,2.928689510588645e+25,1.5769817232409683e+25,0.0,3.1033851300262604e+25,223850,,223601,3.1033851300262604e+25,0,fullbip,0.0,0.5050505050505051
14,14,17,0.0,6.296682816505828e+26,0.0,0.0,0,0.0,0,6.296682816505828e+26,0,fullbip,0.0,0.5050505050505051
15,15,18,4.592185152602996e+28,2.492878634705309e+28,0.0,4.931720532049727e+28,176982,,175369,4.931720532049727e+28,0,fullbip,0.0,0.5050505050505051
16,16,19,0.0,9.78067215530313e+29,0.0,0.0,0,0.0,0,9.78067215530313e+29,0,fullbip,0.0,0.5050505050505051
17,17,20,6.947516917373072e+31,3.801124860356444e+31,0.0,7.653876442362945e+31,133340,,130049,7.653876442362945e+31,0,fullbip,0.0,0.5050505050505051
18,18,21,0.0,1.4626743089394688e+33,0.0,0.0,0,0.0,0,1.4626743089394688e+33,0,fullbip,0.0,0.5050505050505051
