,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,0.0,20831.207699894574,0.0,0.0,0,0.0,0,20831.207699894574,33,fullbip,0.0,0.5050505050505051
1,4,1500625.0,765389.0707915808,0.0,1527945.6094501014,187963,,188450,1527945.6094501014,33,fullbip,0.0,0.5050505050505051
2,5,0.0,29687818.503431015,0.0,0.0,0,0.0,0,29687818.503431015,33,fullbip,0.0,0.5050505050505051
3,6,2304960000.0,1187012945.2129407,0.0,2367459810.752626,257071,,259123,2367459810.752626,33,fullbip,0.0,0.5050505050505051
4,7,0.0,48302691277.06339,0.0,0.0,0,0.0,0,48302691277.06339,33,fullbip,0.0,0.5050505050505051
5,8,3818742480000.0,1985167425591.4312,0.0,3961699733298.109,300133,,301791,3961699733298.109,33,fullbip,0.0,0.5050505050505051
6,9,0.0,81991202313989.53,0.0,0.0,0,0.0,0,81991202313989.53,33,fullbip,0.0,0.5050505050505051
7,10,6464367270144000.0,3391454277533203.5,0.0,6744773239779890.0,313443,,315926,6744773239779890.0,33,fullbip,0.0,0.5050505050505051
8,11,0.0,1.401427387410415e+17,0.0,0.0,0,0.0,0,1.401427387410415e+17,33,fullbip,0.0,0.5050505050505051
9,12,1.0908619768367999e+19,5.774399883311431e+18,0.0,1.1446028167828793e+19,300813,,302085,1.1446028167828793e+19,33,fullbip,0.0,0.5050505050505051
10,13,0.0,2.3689845675123822e+20,0.0,0.0,0,0.0,0,2.3689845675123822e+20,33,fullbip,0.0,0.5050505050505051
11,14,1.8102075318480384e+22,9.665662142339483e+21,0.0,1.904854279793834e+22,267688,,268230,1.904854279793834e+22,33,fullbip,0.0,0.5050505050505051
12,15,0.0,3.918335764099912e+23,0.0,0.0,0,0.0,0,3.918335764099912e+23,33,fullbip,0.0,0.5050505050505051
13,16,2.9286895105886452e+25,1.5769817232409683e+25,0.0,3.1203681400074197e+25,225075,,223058,3.1203681400074197e+25,33,fullbip,0.0,0.5050505050505051
14,17,0.0,6.296682816505828e+26,0.0,0.0,0,0.0,0,6.296682816505828e+26,33,fullbip,0.0,0.5050505050505051
15,18,4.592185152602996e+28,2.4928786347053095e+28,0.0,4.921828222160129e+28,176627,,175365,4.921828222160129e+28,33,fullbip,0.0,0.5050505050505051
16,19,0.0,9.78067215530313e+29,0.0,0.0,0,0.0,0,9.78067215530313e+29,33,fullbip,0.0,0.5050505050505051
17,20,6.947516917373072e+31,3.801124860356444e+31,0.0,7.515654344918759e+31,130932,,130822,7.515654344918759e+31,33,fullbip,0.0,0.5050505050505051
18,21,0.0,1.4626743089394688e+33,0.0,0.0,0,0.0,0,1.4626743089394688e+33,33,fullbip,0.0,0.5050505050505051
19,22,1.0105479152542649e+35,5.570653531980209e+34,0.0,1.1248779027998861e+35,93267,,91860,1.1248779027998861e+35,33,fullbip,0.0,0.5050505050505051
20,23,0.0,2.0990868381374698e+36,0.0,0.0,0,0.0,0,2.0990868381374698e+36,33,fullbip,0.0,0.5050505050505051
21,24,1.408956430843259e+38,7.822985669910477e+37,0.0,1.593449147286261e+38,61861,,60906,1.593449147286261e+38,33,fullbip,0.0,0.5050505050505051
22,25,0.0,2.882651689276104e+39,0.0,0.0,0,0.0,0,2.882651689276104e+39,33,fullbip,0.0,0.5050505050505051
23,26,1.878030541050153e+41,1.0499168448703757e+41,0.0,2.1637675607063228e+41,38798,,37472,2.1637675607063228e+41,33,fullbip,0.0,0.5050505050505051
24,27,0.0,3.778600840872808e+42,0.0,0.0,0,0.0,0,3.778600840872808e+42,33,fullbip,0.0,0.5050505050505051
25,28,2.387379252790684e+44,1.343366208037573e+44,0.0,2.7848431388823886e+44,22797,,22061,2.7848431388823886e+44,33,fullbip,0.0,0.5050505050505051
26,29,0.0,4.716520855805899e+45,0.0,0.0,0,0.0,0,4.716520855805899e+45,33,fullbip,0.0,0.5050505050505051
27,30,2.8877739441756117e+47,1.6349017579300248e+47,0.0,3.3711956948346124e+47,12474,,12317,3.3711956948346124e+47,33,fullbip,0.0,0.5050505050505051
28,31,0.0,5.593505525664796e+48,0.0,0.0,0,0.0,0,5.593505525664796e+48,33,fullbip,0.0,0.5050505050505051
29,32,3.3164278890141787e+50,1.888337802935133e+50,0.0,3.8773921352972646e+50,6429,,6458,3.8773921352972646e+50,33,fullbip,0.0,0.5050505050505051
30,33,0.0,6.288679306989363e+51,0.0,0.0,0,0.0,0,6.288679306989363e+51,33,fullbip,0.0,0.5050505050505051
31,34,3.6082735432474263e+53,2.065399576315134e+53,0.0,4.1701933960206445e+53,3075,,3140,4.1701933960206445e+53,33,fullbip,0.0,0.5050505050505051
32,35,0.0,6.687960532829957e+54,0.0,0.0,0,0.0,0,6.687960532829957e+54,33,fullbip,0.0,0.5050505050505051
33,36,3.7111093392299786e+56,2.134555304740201e+56,0.0,4.38087400075243e+56,1427,,1261,4.38087400075243e+56,33,fullbip,0.0,0.5050505050505051
34,37,0.0,6.713097764293508e+57,0.0,0.0,0,0.0,0,6.713097764293508e+57,33,fullbip,0.0,0.5050505050505051
35,38,3.6001667021414192e+59,2.079775503531123e+59,0.0,4.236656820535206e+59,606,,437,4.236656820535206e+59,33,fullbip,0.0,0.5050505050505051
36,39,0.0,6.3454430022265284e+60,0.0,0.0,0,0.0,0,6.3454430022265284e+60,33,fullbip,0.0,0.5050505050505051
37,40,3.2867721907200083e+62,1.9060364775627417e+62,0.0,4.625703501956651e+62,289,,156,4.625703501956651e+62,33,fullbip,0.0,0.5050505050505051
38,41,0.0,5.6349932817819414e+63,0.0,0.0,0,0.0,0,5.6349932817819414e+63,33,fullbip,0.0,0.5050505050505051
39,42,2.8172333063314357e+65,1.639135251158071e+65,0.0,5.191719942316326e+65,141,,56,5.191719942316326e+65,33,fullbip,0.0,0.5050505050505051
40,43,0.0,4.689844340875101e+66,0.0,0.0,0,0.0,0,4.689844340875101e+66,33,fullbip,0.0,0.5050505050505051
41,44,2.2615980646872495e+68,1.3194224609142419e+68,0.0,5.359546250726809e+68,63,,20,5.359546250726809e+68,33,fullbip,0.0,0.5050505050505051
42,45,0.0,3.6487732252443226e+69,0.0,0.0,0,0.0,0,3.6487732252443226e+69,33,fullbip,0.0,0.5050505050505051
43,46,1.69600188781416e+71,9.915144633816095e+70,0.0,4.538589352105881e+71,23,,6,4.538589352105881e+71,33,fullbip,0.0,0.5050505050505051
44,47,0.0,2.646595666279731e+72,0.0,0.0,0,0.0,0,2.646595666279731e+72,33,fullbip,0.0,0.5050505050505051
45,48,1.1848693188741674e+74,6.936731696867436e+73,0.0,2.296827111932118e+74,5,0.0,0,2.296827111932118e+74,33,fullbip,0.0,0.5050505050505051
46,49,0.0,1.7845889832386233e+75,0.0,0.0,0,0.0,0,1.7845889832386233e+75,33,fullbip,0.0,0.5050505050505051
47,50,7.689327931765797e+76,4.504735221326586e+76,0.0,0.0,0,0.0,0,4.504735221326586e+76,33,fullbip,0.0,0.5050505050505051
48,51,0.0,1.115254313063623e+78,0.0,0.0,0,0.0,0,1.115254313063623e+78,33,fullbip,0.0,0.5050505050505051
49,52,4.620990343609253e+79,2.7068963950524415e+79,0.0,0.0,0,0.0,0,2.7068963950524415e+79,33,fullbip,0.0,0.5050505050505051
50,53,0.0,6.438358492520388e+80,0.0,0.0,0,0.0,0,6.438358492520388e+80,33,fullbip,0.0,0.5050505050505051
51,54,2.5631093105885993e+82,1.4999954175896264e+82,0.0,0.0,0,0.0,0,1.4999954175896264e+82,33,fullbip,0.0,0.5050505050505051
52,55,0.0,3.4214771508655946e+83,0.0,0.0,0,0.0,0,3.4214771508655946e+83,33,fullbip,0.0,0.5050505050505051
53,56,1.3074603672548915e+85,7.637225783182132e+84,0.0,0.0,0,0.0,0,7.637225783182132e+84,33,fullbip,0.0,0.5050505050505051
54,57,0.0,1.6673865257629604e+86,0.0,0.0,0,0.0,0,1.6673865257629604e+86,33,fullbip,0.0,0.5050505050505051
55,58,6.1098975507028585e+87,3.5586593300635807e+87,0.0,0.0,0,0.0,0,3.5586593300635807e+87,33,fullbip,0.0,0.5050505050505051
56,59,0.0,7.420727724734536e+88,0.0,0.0,0,0.0,0,7.420727724734536e+88,33,fullbip,0.0,0.5050505050505051
57,60,2.6046493258646284e+90,1.5110050813243133e+90,0.0,0.0,0,0.0,0,1.5110050813243133e+90,33,fullbip,0.0,0.5050505050505051
58,61,0.0,3.0024939519608812e+91,0.0,0.0,0,0.0,0,3.0024939519608812e+91,33,fullbip,0.0,0.5050505050505051
59,62,1.0082513519475981e+93,5.818616089699361e+92,0.0,0.0,0,0.0,0,5.818616089699361e+92,33,fullbip,0.0,0.5050505050505051
60,63,0.0,1.0989786361497274e+94,0.0,0.0,0,0.0,0,1.0989786361497274e+94,33,fullbip,0.0,0.5050505050505051
61,64,3.526044024889241e+95,2.0215587128038307e+95,0.0,0.0,0,0.0,0,2.0215587128038307e+95,33,fullbip,0.0,0.5050505050505051
62,65,0.0,3.6190141991453194e+96,0.0,0.0,0,0.0,0,3.6190141991453194e+96,33,fullbip,0.0,0.5050505050505051
63,66,1.1078189227288378e+98,6.300319331998472e+97,0.0,0.0,0,0.0,0,6.300319331998472e+97,33,fullbip,0.0,0.5050505050505051
64,67,0.0,1.0657256581489955e+99,0.0,0.0,0,0.0,0,1.0657256581489955e+99,33,fullbip,0.0,0.5050505050505051
65,68,3.10743207825439e+100,1.7500887033329087e+100,0.0,0.0,0,0.0,0,1.7500887033329087e+100,33,fullbip,0.0,0.5050505050505051
66,69,0.0,2.7874345033321693e+101,0.0,0.0,0,0.0,0,2.7874345033321693e+101,33,fullbip,0.0,0.5050505050505051
67,70,7.727739659750346e+102,4.301819915315666e+102,0.0,0.0,0,0.0,0,4.301819915315666e+102,33,fullbip,0.0,0.5050505050505051
