,Unnamed: 0,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,0,3,45,16.083731304870028,0.0,36.82146402740542,10922,,10903,36.82146402740542,0,karate,0.0,0.1390374331550802
1,1,4,154,51.992596651304446,0.0,157.48584065110114,12049,,12338,157.48584065110114,0,karate,0.0,0.1390374331550802
2,2,5,374,173.49401235515495,0.0,465.8686073026932,8020,,8027,465.8686073026932,0,karate,0.0,0.1390374331550802
3,3,6,969,582.9522518528825,0.0,1675.9980523425145,5174,,4961,1675.9980523425145,0,karate,0.0,0.1390374331550802
4,4,7,2746,1945.2524339903675,0.0,5334.951020371602,3491,,3488,5334.951020371602,0,karate,0.0,0.1390374331550802
5,5,8,7507,6389.6861367838665,0.0,16117.599762241183,2495,,2399,16117.599762241183,0,karate,0.0,0.1390374331550802
6,6,9,17625,20532.03958866735,0.0,38831.7754719346,1409,,1434,38831.7754719346,0,karate,0.0,0.1390374331550802
7,7,10,35127,64231.24684155294,0.0,79717.57315048539,773,,780,79717.57315048539,0,karate,0.0,0.1390374331550802
8,8,11,59890,194848.31321890635,0.0,151816.22589792832,404,,386,151816.22589792832,0,karate,0.0,0.1390374331550802
9,9,12,89849,571172.9965926765,0.0,199936.1067024439,174,,164,199936.1067024439,0,karate,0.0,0.1390374331550802
10,10,13,120823,1612723.755085204,0.0,256593.45424100631,69,,79,256593.45424100631,0,karate,0.0,0.1390374331550802
11,11,14,138689,4372464.940257746,0.0,249466.78499986557,17,,27,249466.78499986557,0,karate,0.0,0.1390374331550802
12,12,15,125021,11348144.301275006,0.0,254458.83696063043,3,,12,254458.83696063043,0,karate,0.0,0.1390374331550802
13,13,16,82339,28104862.724748597,0.0,0.0,0,,1,28104862.724748597,0,karate,0.0,0.1390374331550802
14,14,17,37264,66199815.06225778,0.0,0.0,0,,1,66199815.06225778,0,karate,0.0,0.1390374331550802
15,15,18,10751,147779385.13897952,0.0,0.0,0,0.0,0,147779385.13897952,0,karate,0.0,0.1390374331550802
16,16,19,1733,311447237.80486304,0.0,0.0,0,0.0,0,311447237.80486304,0,karate,0.0,0.1390374331550802
17,17,20,120,617065249.2336992,0.0,0.0,0,0.0,0,617065249.2336992,0,karate,0.0,0.1390374331550802
18,18,21,0,1143935577.902045,0.0,0.0,0,0.0,0,1143935577.902045,0,karate,0.0,0.1390374331550802
