,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,45,16.083731304870028,0.0,37.05694671861095,11020,,10977,37.05694671861095,22,karate,0.0,0.13903743315508021
1,4,154,51.992596651304446,0.0,161.58407117381068,12310,,12428,161.58407117381068,22,karate,0.0,0.13903743315508021
2,5,374,173.49401235515495,0.0,469.421632424542,7924,,7985,469.421632424542,22,karate,0.0,0.13903743315508021
3,6,969,582.9522518528825,0.0,1606.4295236660166,5053,,4942,1606.4295236660166,22,karate,0.0,0.13903743315508021
4,7,2746,1945.2524339903673,0.0,5404.597792676497,3559,,3539,5404.597792676497,22,karate,0.0,0.13903743315508021
5,8,7507,6389.6861367838665,0.0,15352.576031837576,2354,,2376,15352.576031837576,22,karate,0.0,0.13903743315508021
6,9,17625,20532.03958866735,0.0,39481.33401916758,1514,,1376,39481.33401916758,22,karate,0.0,0.13903743315508021
7,10,35127,64231.24684155294,0.0,74986.56718123252,764,,797,74986.56718123252,22,karate,0.0,0.13903743315508021
8,11,59890,194848.31321890635,0.0,107277.54813767328,324,,349,107277.54813767328,22,karate,0.0,0.13903743315508021
9,12,89849,571172.9965926765,0.0,127006.60423741299,118,,145,127006.60423741299,22,karate,0.0,0.13903743315508021
10,13,120823,1612723.755085204,0.0,212192.23935538495,48,,68,212192.23935538495,22,karate,0.0,0.13903743315508021
11,14,138689,4372464.940257746,0.0,102618.28075051172,9,,16,102618.28075051172,22,karate,0.0,0.13903743315508021
12,15,125021,11348144.301275006,0.0,155060.62434768703,3,,2,155060.62434768703,22,karate,0.0,0.13903743315508021
13,16,82339,28104862.724748593,0.0,0.0,0,0.0,0,28104862.724748593,22,karate,0.0,0.13903743315508021
14,17,37264,66199815.06225778,0.0,0.0,0,0.0,0,66199815.06225778,22,karate,0.0,0.13903743315508021
15,18,10751,147779385.13897952,0.0,0.0,0,0.0,0,147779385.13897952,22,karate,0.0,0.13903743315508021
16,19,1733,311447237.80486304,0.0,0.0,0,0.0,0,311447237.80486304,22,karate,0.0,0.13903743315508021
17,20,120,617065249.2336992,0.0,0.0,0,0.0,0,617065249.2336992,22,karate,0.0,0.13903743315508021
18,21,0,1143935577.902045,0.0,0.0,0,0.0,0,1143935577.902045,22,karate,0.0,0.13903743315508021
19,22,0,1973664251.8105772,0.0,0.0,0,0.0,0,1973664251.8105772,22,karate,0.0,0.13903743315508021
20,23,0,3149786427.441944,0.0,0.0,0,0.0,0,3149786427.441944,22,karate,0.0,0.13903743315508021
21,24,0,4616598734.338928,0.0,0.0,0,0.0,0,4616598734.338928,22,karate,0.0,0.13903743315508021
22,25,0,6162048364.122976,0.0,0.0,0,0.0,0,6162048364.122976,22,karate,0.0,0.13903743315508021
23,26,0,7414229315.121227,0.0,0.0,0,0.0,0,7414229315.121227,22,karate,0.0,0.13903743315508021
24,27,0,7941404661.551912,0.0,0.0,0,0.0,0,7941404661.551912,22,karate,0.0,0.13903743315508021
25,28,0,7453029508.568772,0.0,0.0,0,0.0,0,7453029508.568772,22,karate,0.0,0.13903743315508021
26,29,0,6003103981.823419,0.0,0.0,0,0.0,0,6003103981.823419,22,karate,0.0,0.13903743315508021
27,30,0,4034171481.546219,0.0,0.0,0,0.0,0,4034171481.546219,22,karate,0.0,0.13903743315508021
28,31,0,2171229087.877213,0.0,0.0,0,0.0,0,2171229087.877213,22,karate,0.0,0.13903743315508021
29,32,0,877344908.838085,0.0,0.0,0,0.0,0,877344908.838085,22,karate,0.0,0.13903743315508021
30,33,0,236574611.61992767,0.0,0.0,0,0.0,0,236574611.61992767,22,karate,0.0,0.13903743315508021
31,34,0,31925293.60960962,0.0,0.0,0,0.0,0,31925293.60960962,22,karate,0.0,0.13903743315508021
