,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,83,35.91836734693877,0.0,73.03743956333734,11674,,11696,73.03743956333734,5,november17,0.0,0.2857142857142857
1,4,318,146.23906705539355,0.0,304.23676965289104,9730,,9705,304.23676965289104,5,november17,0.0,0.2857142857142857
2,5,1260,601.6693044564763,0.0,1328.9693131567894,7766,,7738,1328.9693131567894,5,november17,0.0,0.2857142857142857
3,6,4899,2435.328137085737,0.0,5765.646036771947,6007,,5895,5765.646036771947,5,november17,0.0,0.2857142857142857
4,7,17807,9542.510251437989,0.0,23284.92021322045,4245,,4276,23284.92021322045,5,november17,0.0,0.2857142857142857
5,8,58905,35784.41344289246,0.0,86721.38541976605,2844,,2845,86721.38541976605,5,november17,0.0,0.2857142857142857
6,9,173552,127233.47001917318,0.0,267992.9099079758,1541,,1595,267992.9099079758,5,november17,0.0,0.2857142857142857
7,10,446719,425323.3140640932,0.0,711513.970842421,743,,774,711513.970842421,5,november17,0.0,0.2857142857142857
8,11,983732,1325683.0568231477,0.0,1496152.1549815151,295,,329,1496152.1549815151,5,november17,0.0,0.2857142857142857
9,12,1815071,3819229.758942878,0.0,3018495.863744366,112,,112,3018495.863744366,5,november17,0.0,0.2857142857142857
10,13,2741698,10072693.869739456,0.0,5304241.953690946,35,,27,5304241.953690946,5,november17,0.0,0.2857142857142857
11,14,3275954,24051126.178765636,0.0,4255861.804751798,7,,7,4255861.804751798,5,november17,0.0,0.2857142857142857
12,15,2917036,51309069.1813667,0.0,3465364.0195088414,1,,1,3465364.0195088414,5,november17,0.0,0.2857142857142857
13,16,1724264,96204504.71506256,0.0,0.0,0,0.0,0,96204504.71506256,5,november17,0.0,0.2857142857142857
14,17,533656,155220713.48984882,0.0,0.0,0,0.0,0,155220713.48984882,5,november17,0.0,0.2857142857142857
15,18,51424,209424772.16884363,0.0,0.0,0,0.0,0,209424772.16884363,5,november17,0.0,0.2857142857142857
16,19,0,226745617.98731938,0.0,0.0,0,0.0,0,226745617.98731938,5,november17,0.0,0.2857142857142857
17,20,0,184635717.50396007,0.0,0.0,0,0.0,0,184635717.50396007,5,november17,0.0,0.2857142857142857
18,21,0,100482023.13140684,0.0,0.0,0,0.0,0,100482023.13140684,5,november17,0.0,0.2857142857142857
19,22,0,27404188.126747314,0.0,0.0,0,0.0,0,27404188.126747314,5,november17,0.0,0.2857142857142857
