,Unnamed: 0,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,0,3,6,24.744099722991688,1.1400000000000003,6.239939773442971,1650,4.744050223859457,1590,6.239939773442971,0,sbm,0.1,0.2789473684210526
1,1,4,106,88.004344146377,1.4535000000000002,123.59864858899913,8677,115.79751816553772,8667,123.59864858899913,0,sbm,0.1,0.2789473684210526
2,2,5,174,314.2218266784324,1.8604800000000004,227.16629985978125,4458,239.70688472650855,4413,227.16629985978125,0,sbm,0.1,0.2789473684210526
3,3,6,975,1095.64189565506,2.325600000000001,1314.3548951478226,6654,1519.2666326827075,6566,1314.3548951478226,0,sbm,0.1,0.2789473684210526
4,4,7,2376,3667.51708229799,2.7907200000000008,3537.8539818086037,4193,4379.278151894555,4130,3537.8539818086037,0,sbm,0.1,0.2789473684210526
5,5,8,8163,11637.12821573895,3.1744440000000016,11523.417205519148,3441,15671.87865046959,3550,11523.417205519148,0,sbm,0.1,0.2789473684210526
6,6,9,21695,34625.560445426774,3.3860736000000013,33446.07895429988,2236,49328.22065312659,2331,33446.07895429988,0,sbm,0.1,0.2789473684210526
7,7,10,57273,95621.21876692332,3.352212864000002,85436.51484447077,1358,121274.97611561322,1401,85436.51484447077,0,sbm,0.1,0.2789473684210526
8,8,11,132217,242484.430365882,3.0474662400000017,197001.0376330192,735,332247.7576354765,804,197001.0376330192,0,sbm,0.1,0.2789473684210526
9,9,12,281672,558033.2483025364,2.514159648000001,426809.2389053665,364,543327.5891301,332,426809.2389053665,0,sbm,0.1,0.2789473684210526
10,10,13,508452,1149503.3066248198,1.8566102016000008,616188.9102377935,142,1084201.182448406,148,616188.9102377935,0,sbm,0.1,0.2789473684210526
11,11,14,810524,2084230.9954328963,1.206796631040001,1279725.1192507192,69,1339055.2535070572,53,1279725.1192507192,0,sbm,0.1,0.2789473684210526
12,12,15,1041464,3255788.207602546,0.6758061133824006,1562469.9338283353,21,1721555.0478948825,13,1562469.9338283353,0,sbm,0.1,0.2789473684210526
13,13,16,1064711,4257157.278032933,0.3167841156480002,88681.02847853902,1,489709.3440957245,1,88681.02847853902,0,sbm,0.1,0.2789473684210526
14,14,17,800402,4470674.144609199,0.1192599023616001,970270.0991808652,1,1114559.2250230652,1,970270.0991808652,0,sbm,0.1,0.2789473684210526
