,l,count,est,a_priori,sample_est,sample_occured,sample_est_a_priori,sample_occured_a_priori,combined,run,kind,p,est_p
0,3,38,41.55905817174514,1.1400000000000003,37.93560303485126,6694,26.486667879506918,6618,37.93560303485126,47,sbm,0.1,0.33157894736842103
1,4,153,175.69638671818043,1.4535000000000002,169.720456570129,7525,146.63564233699157,7526,169.720456570129,47,sbm,0.1,0.33157894736842103
2,5,595,745.6924539449511,1.8604800000000004,718.575136288374,7443,695.4839663438232,7336,718.575136288374,47,sbm,0.1,0.33157894736842103
3,6,2328,3090.698986745521,2.325600000000001,2962.668368188521,6617,3299.5922632742336,6714,2962.668368188521,47,sbm,0.1,0.33157894736842103
4,7,8731,12297.728599892702,2.7907200000000008,12424.710513393966,5633,14210.227425017356,5466,12424.710513393966,47,sbm,0.1,0.33157894736842103
5,8,31116,46383.472409990034,3.1744440000000016,45835.849378009014,4170,56675.860078256046,4134,45835.849378009014,47,sbm,0.1,0.33157894736842103
6,9,102648,164051.01820796475,3.3860736000000013,145840.27852524834,2710,200771.12269038984,2809,145840.27852524834,47,sbm,0.1,0.33157894736842103
7,10,311523,538519.0529279348,3.352212864000002,446412.84796090034,1616,646900.7009276702,1714,446412.84796090034,47,sbm,0.1,0.33157894736842103
8,11,858295,1623287.0973425785,3.0474662400000017,1250676.5211036208,889,1719926.288316749,903,1250676.5211036208,47,sbm,0.1,0.33157894736842103
9,12,2112357,4440544.5728621315,2.5141596480000015,3170937.770796873,463,4415772.852657456,459,3170937.770796873,47,sbm,0.1,0.33157894736842103
10,13,4562163,10873041.93387456,1.8566102016000012,5190815.753907661,170,10324209.122057645,216,5190815.753907661,47,sbm,0.1,0.33157894736842103
11,14,8462990,23434266.694324385,1.206796631040001,8102659.175598386,52,20884885.847349536,79,8102659.175598386,47,sbm,0.1,0.33157894736842103
12,15,13127515,43513733.10398759,0.6758061133824006,13220722.088935573,14,18854479.62070449,20,13220722.088935573,47,sbm,0.1,0.33157894736842103
13,16,16457209,67632364.77511229,0.31678411564800024,25963557.93326739,4,21817149.969589274,6,25963557.93326739,47,sbm,0.1,0.33157894736842103
14,17,15896812,84425292.49945906,0.11925990236160011,0.0,0,0.0,0,84425292.49945906,47,sbm,0.1,0.33157894736842103
15,18,11009704,79315340.5850181,0.03379030566912003,0.0,0,0.0,0,79315340.5850181,47,sbm,0.1,0.33157894736842103
16,19,4812555,49830247.21518588,0.006402373705728007,0.0,0,0.0,0,49830247.21518588,47,sbm,0.1,0.33157894736842103
17,20,971668,15696527.872783553,0.0006082255020441607,0.0,0,0.0,0,15696527.872783553,47,sbm,0.1,0.33157894736842103
