,model,n,p,edges,N,N_act,hom1,hom2,orientable,run
0,cellular_er,20,0.5,105,91,113,0,27,False,0
1,cellular_er,20,0.5,100,91,109,0,28,False,1
2,cellular_er,20,0.5,82,91,87,0,24,False,2
3,cellular_er,20,0.5,93,91,94,0,20,False,3
4,cellular_er,20,0.5,98,91,72,7,0,False,4
5,cellular_er,20,0.5,81,91,107,0,45,False,5
6,cellular_er,20,0.5,105,91,105,0,19,False,6
7,cellular_er,20,0.5,100,91,68,13,0,False,7
8,cellular_er,20,0.5,84,91,79,0,14,False,8
9,cellular_er,20,0.5,101,91,72,10,0,False,9
10,cellular_er,20,0.5,97,91,82,0,4,False,10
11,cellular_er,20,0.5,90,91,88,0,17,False,11
12,cellular_er,20,0.5,97,91,97,0,19,False,12
13,cellular_er,20,0.5,92,91,111,0,38,False,13
14,cellular_er,20,0.5,85,91,99,0,33,False,14
15,cellular_er,20,0.5,100,91,94,0,13,False,15
16,cellular_er,20,0.5,95,91,73,3,0,False,16
17,cellular_er,20,0.5,92,91,96,0,23,False,17
18,cellular_er,20,0.5,108,91,91,1,3,False,18
19,cellular_er,20,0.5,110,91,85,6,0,False,19
20,cellular_er,20,0.5,84,91,74,0,9,False,20
21,cellular_er,20,0.5,118,91,80,19,0,False,21
22,cellular_er,20,0.5,97,91,99,0,21,False,22
23,cellular_er,20,0.5,94,91,102,0,27,False,23
24,cellular_er,20,0.5,93,91,106,0,32,False,24
25,cellular_er,20,0.5,86,91,104,0,37,False,25
26,cellular_er,20,0.5,105,91,95,1,10,False,26
27,cellular_er,20,0.5,87,91,97,0,29,False,27
28,cellular_er,20,0.5,111,91,98,1,7,False,28
29,cellular_er,20,0.5,92,91,78,0,5,False,29
30,cellular_er,20,0.5,97,91,85,0,7,False,30
31,cellular_er,20,0.5,96,91,90,0,13,False,31
32,cellular_er,20,0.5,72,91,79,0,26,False,32
33,cellular_er,20,0.5,93,91,113,0,39,False,33
34,cellular_er,20,0.5,106,91,107,0,20,False,34
35,cellular_er,20,0.5,103,91,109,0,25,False,35
36,cellular_er,20,0.5,90,91,106,0,35,False,36
37,cellular_er,20,0.5,96,91,103,0,26,False,37
38,cellular_er,20,0.5,106,91,94,1,8,False,38
39,cellular_er,20,0.5,94,91,95,0,20,False,39
40,cellular_er,20,0.5,91,91,90,0,18,False,40
41,cellular_er,20,0.5,111,91,110,0,18,False,41
42,cellular_er,20,0.5,92,91,104,0,31,False,42
43,cellular_er,20,0.5,95,91,75,1,0,False,43
44,cellular_er,20,0.5,95,91,98,0,22,False,44
45,cellular_er,20,0.5,99,91,75,5,0,False,45
46,cellular_er,20,0.5,100,91,102,0,21,False,46
47,cellular_er,20,0.5,95,91,69,7,0,False,47
48,cellular_er,20,0.5,98,91,90,0,11,False,48
49,cellular_er,20,0.5,92,91,80,0,7,False,49
