,estimated,correct,approx_estimated,approx_estimated2,same_cluster,len
0,2.2497943124152186e-11,3.181984610797093e-11,4.181342777839922e-11,2.2847982160728142e-11,0.0,12
1,4.1002947815229884e-08,5.10365775072685e-08,7.580085653632599e-08,4.108895009396936e-08,0.0,9
2,6.810922192635423e-06,7.873576996324056e-06,1.1485366671204497e-05,6.70362633062749e-06,0.0,7
3,2.7802357134879895e-12,3.780549348921935e-12,4.875468698705967e-12,2.79227566918127e-12,0.0,13
4,4.377877971184877e-10,5.716477841578153e-10,8.37256929839412e-10,4.3395540033582225e-10,0.0,11
5,4.489681540415493e-09,5.553191501940399e-09,9.003639492701878e-09,4.4502478262797015e-09,0.0,10
6,0.0048300167766522325,0.004995660315077163,0.006436832074802871,0.004870578857408876,0.0,4
7,2.4493714293748682e-11,3.202223473604729e-11,4.516182778280854e-11,2.4677638030444908e-11,0.0,12
8,2.3067700157942205e-10,3.27433990919425e-10,4.567420410233969e-10,2.367322003539882e-10,0.0,11
9,0.03909351432880844,0.040680680851047556,0.04855301402508107,0.039763076850144914,0.0,3
10,3.875243592189173e-12,5.352483365064455e-12,6.681116980761424e-12,3.826405529643836e-12,0.0,13
11,5.144036290736195e-07,6.365040583142461e-07,9.002178871451881e-07,5.113822716699127e-07,0.0,8
12,1.4585940556564076e-16,2.0922505009865428e-16,2.2030341594564314e-16,1.4600885011162351e-16,0.0,17
13,4.6698387513575735e-09,6.5310127902245415e-09,9.532671439061907e-09,4.674702385859086e-09,0.0,10
14,1.2477929972504573e-18,1.9240053096560634e-18,1.775640223080744e-18,1.2437225231474165e-18,0.0,19
15,3.4579777246294944e-13,5.027405476515171e-13,5.740267202796677e-13,3.4289852380712234e-13,0.0,14
16,2.508467838355453e-14,3.605197972706186e-14,4.027081133616505e-14,2.498760956873469e-14,0.0,15
17,5.7800708188270194e-08,7.909370951429007e-08,1.100437436520547e-07,5.73025165650029e-08,0.0,9
18,3.5150486957623905e-10,4.896617926272874e-10,6.788773266887211e-10,3.518662809260023e-10,0.0,11
19,5.73461533386283e-10,7.739877288679775e-10,1.0944401020331037e-09,5.67255015389897e-10,0.0,11
20,3.059054727541045e-14,4.534371976520542e-14,4.886638865426201e-14,3.032107375572498e-14,0.0,15
21,1.0200836891011645e-18,1.5844982650465885e-18,1.4563465736522532e-18,1.020077722736691e-18,0.0,19
22,4.300432041878992e-11,5.921651640921876e-11,7.819069445038332e-11,4.272549960279044e-11,0.0,12
23,3.799822127318738e-06,4.749027042047544e-06,6.045122551567753e-06,4.068217135344547e-06,0.0,7
24,9.569746559783568e-06,1.1742211199373464e-05,1.69645940650954e-05,9.171019613112621e-06,0.0,7
25,4.4046908603920694e-15,6.981500247695217e-15,6.703165898991847e-15,4.305121580385581e-15,0.0,16
26,0.0009279013482909663,0.0010927164323329772,0.0014230010134512069,0.0008435656244117235,0.0,5
27,8.369690941126883e-10,1.165601800301673e-09,1.5563742525730247e-09,8.066783179414661e-10,0.0,11
28,2.827568606798417e-16,4.3867542497645486e-16,4.214546593775256e-16,2.79324357844191e-16,0.0,17
29,7.876661838849845e-05,9.590283645796163e-05,0.00012691268913978774,7.532367299874279e-05,0.0,6
30,6.135207681960141e-12,9.362492840600344e-12,1.0413691941136176e-11,5.9641237449235154e-12,0.0,13
31,5.146737883859122e-11,7.290534887499753e-11,9.279423658195878e-11,5.0705268012928956e-11,0.0,12
32,3.090222790548631e-08,3.67573380640529e-08,5.6012510545058756e-08,3.270274015806106e-08,0.0,9
33,0.04569035087719299,0.048038515221264594,0.059699783867135155,0.04498036305555961,1.0,3
34,6.208413596676156e-06,7.771104092947082e-06,1.0449889698657386e-05,6.172184740320654e-06,0.0,7
35,6.797356771421825e-05,8.256069874780519e-05,0.00010828287589684536,6.708981663113468e-05,0.0,6
36,1.7463251692720014e-16,2.592140836293572e-16,2.639587145519449e-16,1.7494194642075378e-16,0.0,17
37,1.705004402871017e-15,2.6290746299708274e-15,2.685873531280631e-15,1.7250075972969344e-15,0.0,16
38,2.317630000840872e-15,3.643036220714078e-15,3.5955914642492484e-15,2.3092757422754128e-15,0.0,16
39,3.8346915475165875e-12,5.6057695913560034e-12,6.6631989211674334e-12,3.816143508711055e-12,0.0,13
40,0.0007193972248285162,0.0008011623399941389,0.0010908871733079425,0.0006982454958365947,0.0,5
41,7.765855374921116e-08,9.78198663015631e-08,1.5402085007267126e-07,7.61678534521111e-08,0.0,9
42,3.0656448294942563e-15,4.605984348863974e-15,4.739015226459593e-15,3.0436419191527862e-15,0.0,16
43,1.6565847308041106e-16,2.555708608835278e-16,2.500045818105157e-16,1.6569367005093235e-16,0.0,17
44,6.095610557332646e-09,8.106563274180152e-09,1.2378174140310636e-08,6.042523728651847e-09,0.0,10
45,1.9544712674770303e-08,2.4535628501558287e-08,3.4412055927036696e-08,2.1273808455529863e-08,0.0,9
