,method,n_clusters,flows,iterations,total_cell_len,cell_candidates,run,approx_error
0,CellCandidateHeuristic.MAX,11.0,1,0,0,1,0,4000992.0441343323
1,CellCandidateHeuristic.MAX,,1,1,4,1,0,3322510.3541343324
2,CellCandidateHeuristic.MAX,,1,2,8,1,0,3029883.451634332
3,CellCandidateHeuristic.MAX,,1,3,12,1,0,2745101.129134332
4,CellCandidateHeuristic.MAX,,1,4,15,1,0,2609972.1658009985
5,CellCandidateHeuristic.MAX,,1,5,18,1,0,2492874.4024676653
6,CellCandidateHeuristic.MAX,,1,6,22,1,0,2356528.8399676653
7,CellCandidateHeuristic.MAX,,1,7,25,1,0,2256427.5066343322
8,CellCandidateHeuristic.MAX,,1,8,30,1,0,2104141.354634332
9,CellCandidateHeuristic.MAX,,1,9,34,1,0,1989577.4339676655
10,CellCandidateHeuristic.MAX,,1,10,38,1,0,1897527.9338009986
11,CellCandidateHeuristic.MAX,,1,11,42,1,0,1809246.7314676654
12,CellCandidateHeuristic.MAX,,1,12,45,1,0,1742349.1310509988
13,CellCandidateHeuristic.MAX,,1,13,49,1,0,1657085.1310509988
14,CellCandidateHeuristic.MAX,,1,14,53,1,0,1578489.0085509988
15,CellCandidateHeuristic.MAX,,1,15,56,1,0,1532831.0052176656
16,CellCandidateHeuristic.MAX,,1,16,59,1,0,1483459.613201538
17,CellCandidateHeuristic.MAX,,1,17,63,1,0,1427445.4130229673
18,CellCandidateHeuristic.MAX,,1,18,67,1,0,1372457.501594396
19,CellCandidateHeuristic.MAX,,1,19,71,1,0,1312530.4615943963
20,CellCandidateHeuristic.MAX,,1,20,75,1,0,1252073.9529612404
21,CellCandidateHeuristic.MAX,,1,21,79,1,0,1202233.3904612404
22,CellCandidateHeuristic.MAX,,1,22,83,1,0,1154425.5679612404
23,CellCandidateHeuristic.MAX,,1,23,87,1,0,1103461.544636486
24,CellCandidateHeuristic.MAX,,1,24,90,1,0,1064087.44422075
25,CellCandidateHeuristic.MAX,,1,25,94,1,0,1019831.4564387089
26,CellCandidateHeuristic.MAX,,1,26,97,1,0,989389.8431055297
27,CellCandidateHeuristic.MAX,,1,27,100,1,0,955527.4909873883
28,CellCandidateHeuristic.MAX,,1,28,103,1,0,927939.6705710633
29,CellCandidateHeuristic.MAX,,1,29,106,1,0,905284.8405721874
30,CellCandidateHeuristic.MAX,,1,30,109,1,0,883643.8272394312
31,CellCandidateHeuristic.MAX,,1,31,113,1,0,854128.587239445
32,CellCandidateHeuristic.MAX,,1,32,116,1,0,832842.8239064717
33,CellCandidateHeuristic.MAX,,1,33,121,1,0,796131.3138109356
34,CellCandidateHeuristic.MAX,,1,34,124,1,0,770014.7928930754
35,CellCandidateHeuristic.MAX,,1,35,127,1,0,749397.5628930752
36,CellCandidateHeuristic.MAX,,1,36,133,1,0,708121.1314876494
37,CellCandidateHeuristic.MAX,,1,37,139,1,0,660470.1278456401
38,CellCandidateHeuristic.MAX,,1,38,142,1,0,640461.7945123061
39,CellCandidateHeuristic.MAX,,1,39,145,1,0,619722.1324144123
40,CellCandidateHeuristic.MAX,,1,40,148,1,0,601796.960029183
41,CellCandidateHeuristic.MAX,,1,41,151,1,0,584452.0291201035
42,CellCandidateHeuristic.MAX,,1,42,158,1,0,548377.7298983283
43,CellCandidateHeuristic.MAX,,1,43,161,1,0,535533.166564995
44,CellCandidateHeuristic.MAX,,1,44,166,1,0,513203.8828477756
45,CellCandidateHeuristic.MAX,,1,45,170,1,0,494352.5928477767
46,CellCandidateHeuristic.MAX,,1,46,175,1,0,472243.16127836885
47,CellCandidateHeuristic.MAX,,1,47,179,1,0,455505.39642989467
48,CellCandidateHeuristic.MAX,,1,48,184,1,0,432780.55289251887
49,CellCandidateHeuristic.MAX,,1,49,188,1,0,408324.99213394825
50,CellCandidateHeuristic.MAX,,1,50,192,1,0,394294.58963394933
51,CellCandidateHeuristic.MAX,,1,51,198,1,0,368428.3701296032
52,CellCandidateHeuristic.MAX,,1,52,204,1,0,341257.6571897002
53,CellCandidateHeuristic.MAX,,1,53,207,1,0,329147.155691152
54,CellCandidateHeuristic.MAX,,1,54,211,1,0,316502.1531911618
55,CellCandidateHeuristic.MAX,,1,55,214,1,0,307193.3695601885
