,method,n_clusters,flows,iterations,total_cell_len,cell_candidates,run,approx_error
0,random,11.0,1,0,0,1,0,4000992.0441343323
1,random,,1,1,20,1,0,3999204.1036343323
2,random,,1,2,30,1,0,3995506.174634332
3,random,,1,3,47,1,0,3989311.4267540923
4,random,,1,4,68,1,0,3948169.986277902
5,random,,1,5,74,1,0,3943768.6370047266
6,random,,1,6,80,1,0,3942003.9020047267
7,random,,1,7,92,1,0,3924592.2011713935
8,random,,1,8,111,1,0,3919926.5271142507
9,random,,1,9,119,1,0,3919877.6916720616
10,random,,1,10,136,1,0,3919876.840570593
11,random,,1,11,142,1,0,3919385.4255705927
12,random,,1,12,154,1,0,3913238.4512029854
13,random,,1,13,163,1,0,3909878.5736453356
14,random,,1,14,173,1,0,3909496.4902744764
15,random,,1,15,184,1,0,3908474.7820542813
16,random,,1,16,190,1,0,3880239.0220565964
17,random,,1,17,206,1,0,3870140.535106689
18,random,,1,18,227,1,0,3869804.1747248177
19,random,,1,19,244,1,0,3869303.713843679
20,random,,1,20,264,1,0,3866563.2695028605
21,random,,1,21,283,1,0,3860392.687989672
22,random,,1,22,303,1,0,3859362.795613282
23,random,,1,23,323,1,0,3850119.636256529
24,random,,1,24,329,1,0,3828966.3773501916
25,random,,1,25,348,1,0,3824525.2315088557
26,random,,1,26,368,1,0,3824390.8501217864
27,random,,1,27,378,1,0,3798303.956570571
28,random,,1,28,391,1,0,3790148.902957025
29,random,,1,29,400,1,0,3761654.0888327686
30,random,,1,30,404,1,0,3697318.4822640885
31,random,,1,31,411,1,0,3696556.6733308476
32,random,,1,32,414,1,0,3625168.792225928
33,random,,1,33,424,1,0,3619529.3790012854
34,random,,1,34,435,1,0,3618605.833791466
35,random,,1,35,456,1,0,3617080.2837470802
36,random,,1,36,471,1,0,3589974.056566342
37,random,,1,37,490,1,0,3583890.9036098607
38,random,,1,38,496,1,0,3583850.172834457
39,random,,1,39,499,1,0,3501927.805762846
40,random,,1,40,505,1,0,3497213.9242000515
41,random,,1,41,518,1,0,3495561.384552662
42,random,,1,42,527,1,0,3489250.247838976
43,random,,1,43,542,1,0,3475600.564583341
44,random,,1,44,546,1,0,3464851.6645835917
45,random,,1,45,559,1,0,3454210.8869837224
46,random,,1,46,580,1,0,3438890.6333880434
47,random,,1,47,584,1,0,3438109.7350566383
48,random,,1,48,603,1,0,3437984.9832811276
49,random,,1,49,612,1,0,3424181.7380542057
50,random,,1,50,621,1,0,3424110.720762993
51,random,,1,51,630,1,0,3400596.6637079963
52,random,,1,52,651,1,0,3400592.390160732
53,random,,1,53,655,1,0,3383991.2500650054
54,random,,1,54,661,1,0,3374529.458880073
55,random,,1,55,672,1,0,3374525.622866627
56,random,,1,56,691,1,0,3355519.604437855
57,random,,1,57,695,1,0,3299677.707474561
58,random,,1,58,713,1,0,3290211.0331405494
59,random,,1,59,721,1,0,3287075.4594775178
60,random,,1,60,733,1,0,3285716.55249517
61,random,,1,61,748,1,0,3284729.2097849874
62,random,,1,62,766,1,0,3264977.6792463986
63,random,,1,63,771,1,0,3185073.756675767
64,random,,1,64,785,1,0,3177152.730977347
65,random,,1,65,794,1,0,3174196.387479963
66,random,,1,66,806,1,0,3164686.2072342704
67,random,,1,67,813,1,0,3164367.2950303494
68,random,,1,68,816,1,0,3160977.9547726875
69,random,,1,69,832,1,0,3137495.275582659
70,random,,1,70,840,1,0,3130125.378859111
71,random,,1,71,844,1,0,3123037.1418231153
72,random,,1,72,856,1,0,3092492.4969307673
73,random,,1,73,873,1,0,3089472.3361130743
74,random,,1,74,883,1,0,3080333.589676924
75,random,,1,75,902,1,0,3078753.1447683293
76,random,,1,76,908,1,0,3078753.104587633
77,random,,1,77,921,1,0,3077176.4904167512
78,random,,1,78,928,1,0,3053365.6890973933
79,random,,1,79,947,1,0,3053093.3071797313
80,random,,1,80,953,1,0,3051425.7747997902
81,random,,1,81,969,1,0,3045367.9179584463
82,random,,1,82,975,1,0,3044327.4484716747
83,random,,1,83,996,1,0,3004679.371649133
84,random,,1,84,999,1,0,2996633.6276781326
85,random,,1,85,1015,1,0,2996562.46607134
86,random,,1,86,1025,1,0,2994823.0885822563
87,random,,1,87,1032,1,0,2992338.1404804364
88,random,,1,88,1038,1,0,2971853.092692407
89,random,,1,89,1044,1,0,2971618.672665337
90,random,,1,90,1053,1,0,2959908.8438474378
91,random,,1,91,1059,1,0,2953278.205650009
92,random,,1,92,1065,1,0,2826224.994138181
93,random,,1,93,1086,1,0,2822379.1998730255
94,random,,1,94,1106,1,0,2819118.01123086
95,random,,1,95,1121,1,0,2815208.6191407163
96,random,,1,96,1126,1,0,2810503.5628546732
97,random,,1,97,1129,1,0,2808920.638021992
98,random,,1,98,1143,1,0,2794270.0078244396
99,random,,1,99,1155,1,0,2793568.072298079
100,random,,1,100,1166,1,0,2791932.537075916
101,random,,1,101,1186,1,0,2788356.585607187
102,random,,1,102,1203,1,0,2787087.930730941
103,random,,1,103,1208,1,0,2786892.4470197335
104,random,,1,104,1215,1,0,2786487.248494465
105,random,,1,105,1229,1,0,2770986.6401692415
106,random,,1,106,1243,1,0,2770900.1720857937
107,random,,1,107,1251,1,0,2737463.8351304377
108,random,,1,108,1269,1,0,2735737.2254475015
109,random,,1,109,1288,1,0,2731462.8633849057
110,random,,1,110,1307,1,0,2633917.9703108743
111,random,,1,111,1326,1,0,2633782.5032728123
112,random,,1,112,1336,1,0,2633688.4412378394
113,random,,1,113,1357,1,0,2632851.1033603786
114,random,,1,114,1378,1,0,2632375.2083826372
115,random,,1,115,1383,1,0,2631030.25995283
116,random,,1,116,1389,1,0,2627829.944415142
117,random,,1,117,1397,1,0,2590293.543314964
118,random,,1,118,1412,1,0,2589856.9475289583
119,random,,1,119,1424,1,0,2589776.234872903
120,random,,1,120,1439,1,0,2583426.262552318
121,random,,1,121,1447,1,0,2557088.8381043933
122,random,,1,122,1455,1,0,2552657.8978014225
123,random,,1,123,1458,1,0,2548372.313973941
124,random,,1,124,1468,1,0,2542488.2716384814
125,random,,1,125,1471,1,0,2542325.670857697
126,random,,1,126,1491,1,0,2540702.0627249675
127,random,,1,127,1504,1,0,2539349.3850002624
128,random,,1,128,1509,1,0,2538472.0148597946
129,random,,1,129,1528,1,0,2522369.4688117746
130,random,,1,130,1545,1,0,2522311.347575252
131,random,,1,131,1554,1,0,2521822.45610046
132,random,,1,132,1567,1,0,2507469.3971835254
133,random,,1,133,1582,1,0,2496790.645988208
134,random,,1,134,1589,1,0,2496778.3778124033
135,random,,1,135,1594,1,0,2480042.0364675447
136,random,,1,136,1609,1,0,2467915.1309105298
137,random,,1,137,1613,1,0,2467498.133971195
138,random,,1,138,1622,1,0,2467105.8993392214
139,random,,1,139,1631,1,0,2455994.541923862
140,random,,1,140,1645,1,0,2455154.678607087
141,random,,1,141,1655,1,0,2445709.3750975775
142,random,,1,142,1667,1,0,2444658.0696370974
143,random,,1,143,1683,1,0,2438995.6191224977
144,random,,1,144,1687,1,0,2401623.869295964
145,random,,1,145,1702,1,0,2399288.5685322895
146,random,,1,146,1708,1,0,2399232.6612697067
147,random,,1,147,1712,1,0,2398591.692662306
148,random,,1,148,1733,1,0,2380011.1229580827
149,random,,1,149,1743,1,0,2379696.939463144
150,random,,1,150,1753,1,0,2360331.4397794534
151,random,,1,151,1769,1,0,2359343.0827913666
152,random,,1,152,1782,1,0,2359149.373680787
153,random,,1,153,1788,1,0,2359088.0691454653
154,random,,1,154,1791,1,0,2359054.5489426833
155,random,,1,155,1811,1,0,2348385.7501489976
156,random,,1,156,1816,1,0,2332912.8349647084
157,random,,1,157,1836,1,0,2331760.696446534
158,random,,1,158,1856,1,0,2311140.1186327683
159,random,,1,159,1877,1,0,2311091.6773672597
160,random,,1,160,1892,1,0,2290874.3205230483
161,random,,1,161,1907,1,0,2290107.119527589
162,random,,1,162,1912,1,0,2289705.0399996545
163,random,,1,163,1917,1,0,2280807.826604381
164,random,,1,164,1928,1,0,2271745.3447491927
165,random,,1,165,1939,1,0,2263438.068310852
166,random,,1,166,1946,1,0,2257046.724045881
167,random,,1,167,1953,1,0,2245920.632645835
168,random,,1,168,1963,1,0,2236068.536796255
169,random,,1,169,1981,1,0,2232469.294543146
170,random,,1,170,1987,1,0,2211166.9005600493
171,random,,1,171,1991,1,0,2207901.7860328592
172,random,,1,172,2011,1,0,2204430.999334232
173,random,,1,173,2027,1,0,2192853.269020199
174,random,,1,174,2035,1,0,2191658.689023229
175,random,,1,175,2045,1,0,2190228.7778666094
176,random,,1,176,2048,1,0,2184655.5957594723
177,random,,1,177,2067,1,0,2175558.0783544905
178,random,,1,178,2086,1,0,2175557.971924482
179,random,,1,179,2101,1,0,2174773.0141118686
180,random,,1,180,2107,1,0,2174458.5950238705
181,random,,1,181,2115,1,0,2174443.3842683053
182,random,,1,182,2135,1,0,2172923.606067946
183,random,,1,183,2145,1,0,2166875.4515356114
