,method,n_clusters,flows,iterations,total_cell_len,cell_candidates,run,approx_error
0,CellCandidateHeuristic.SIMILARITY,11.0,1,0,0,5,0,4000992.0441343323
1,CellCandidateHeuristic.SIMILARITY,,1,1,4,5,0,3322510.3541343324
2,CellCandidateHeuristic.SIMILARITY,,1,2,8,5,0,3029883.451634332
3,CellCandidateHeuristic.SIMILARITY,,1,3,12,5,0,2745101.129134332
4,CellCandidateHeuristic.SIMILARITY,,1,4,15,5,0,2609972.1658009985
5,CellCandidateHeuristic.SIMILARITY,,1,5,19,5,0,2473626.603300999
6,CellCandidateHeuristic.SIMILARITY,,1,6,22,5,0,2356528.8399676653
7,CellCandidateHeuristic.SIMILARITY,,1,7,27,5,0,2204242.6879676655
8,CellCandidateHeuristic.SIMILARITY,,1,8,31,5,0,2089678.7673009986
9,CellCandidateHeuristic.SIMILARITY,,1,9,34,5,0,1989577.4339676655
10,CellCandidateHeuristic.SIMILARITY,,1,10,39,5,0,1859969.7727834552
11,CellCandidateHeuristic.SIMILARITY,,1,11,43,5,0,1771116.4864676655
12,CellCandidateHeuristic.SIMILARITY,,1,12,47,5,0,1694857.6639676655
13,CellCandidateHeuristic.SIMILARITY,,1,13,51,5,0,1619410.136395665
14,CellCandidateHeuristic.SIMILARITY,,1,14,55,5,0,1540902.7521492527
15,CellCandidateHeuristic.SIMILARITY,,1,15,59,5,0,1459210.5467284878
16,CellCandidateHeuristic.SIMILARITY,,1,16,63,5,0,1396810.5067285243
17,CellCandidateHeuristic.SIMILARITY,,1,17,68,5,0,1325182.8602168458
18,CellCandidateHeuristic.SIMILARITY,,1,18,71,5,0,1269694.860217003
19,CellCandidateHeuristic.SIMILARITY,,1,19,75,5,0,1217162.220217005
20,CellCandidateHeuristic.SIMILARITY,,1,20,79,5,0,1165927.8977170063
21,CellCandidateHeuristic.SIMILARITY,,1,21,85,5,0,1091635.7698142696
22,CellCandidateHeuristic.SIMILARITY,,1,22,89,5,0,1033675.2072989584
23,CellCandidateHeuristic.SIMILARITY,,1,23,93,5,0,999929.5172989583
24,CellCandidateHeuristic.SIMILARITY,,1,24,99,5,0,950865.3443609251
25,CellCandidateHeuristic.SIMILARITY,,1,25,103,5,0,919152.3443592244
26,CellCandidateHeuristic.SIMILARITY,,1,26,107,5,0,887021.7818592279
27,CellCandidateHeuristic.SIMILARITY,,1,27,112,5,0,851489.3318592894
28,CellCandidateHeuristic.SIMILARITY,,1,28,115,5,0,821569.2785275105
29,CellCandidateHeuristic.SIMILARITY,,1,29,120,5,0,786425.3773432241
30,CellCandidateHeuristic.SIMILARITY,,1,30,126,5,0,747479.4506766123
31,CellCandidateHeuristic.SIMILARITY,,1,31,131,5,0,709076.3408967543
32,CellCandidateHeuristic.SIMILARITY,,1,32,135,5,0,684080.7308967551
33,CellCandidateHeuristic.SIMILARITY,,1,33,139,5,0,659416.0283967559
34,CellCandidateHeuristic.SIMILARITY,,1,34,143,5,0,634782.1358892492
35,CellCandidateHeuristic.SIMILARITY,,1,35,147,5,0,607565.5905828823
36,CellCandidateHeuristic.SIMILARITY,,1,36,153,5,0,574273.6378186033
37,CellCandidateHeuristic.SIMILARITY,,1,37,157,5,0,548897.1478185994
38,CellCandidateHeuristic.SIMILARITY,,1,38,161,5,0,526709.5738198189
39,CellCandidateHeuristic.SIMILARITY,,1,39,166,5,0,500000.4329489381
40,CellCandidateHeuristic.SIMILARITY,,1,40,171,5,0,471106.25817459193
41,CellCandidateHeuristic.SIMILARITY,,1,41,175,5,0,453774.53567459213
42,CellCandidateHeuristic.SIMILARITY,,1,42,179,5,0,436247.2635945536
43,CellCandidateHeuristic.SIMILARITY,,1,43,183,5,0,421179.7010945539
44,CellCandidateHeuristic.SIMILARITY,,1,44,187,5,0,406234.6385945543
45,CellCandidateHeuristic.SIMILARITY,,1,45,191,5,0,389133.8885947891
46,CellCandidateHeuristic.SIMILARITY,,1,46,196,5,0,368158.3249710468
47,CellCandidateHeuristic.SIMILARITY,,1,47,199,5,0,355112.77928603557
48,CellCandidateHeuristic.SIMILARITY,,1,48,203,5,0,342629.6023812067
49,CellCandidateHeuristic.SIMILARITY,,1,49,207,5,0,329792.71238121274
50,CellCandidateHeuristic.SIMILARITY,,1,50,212,5,0,305119.45400904986
51,CellCandidateHeuristic.SIMILARITY,,1,51,217,5,0,289400.3882196762
52,CellCandidateHeuristic.SIMILARITY,,1,52,224,5,0,269123.85514156666
53,CellCandidateHeuristic.SIMILARITY,,1,53,230,5,0,252221.0513846981
54,CellCandidateHeuristic.SIMILARITY,,1,54,235,5,0,239552.2075548808
55,CellCandidateHeuristic.SIMILARITY,,1,55,238,5,0,228752.70612628112
56,CellCandidateHeuristic.SIMILARITY,,1,56,243,5,0,219109.19020522933
57,CellCandidateHeuristic.SIMILARITY,,1,57,247,5,0,210385.63020522965
58,CellCandidateHeuristic.SIMILARITY,,1,58,251,5,0,202937.87339364176
59,CellCandidateHeuristic.SIMILARITY,,1,59,255,5,0,194675.21571530914
60,CellCandidateHeuristic.SIMILARITY,,1,60,261,5,0,185610.2064764541
61,CellCandidateHeuristic.SIMILARITY,,1,61,265,5,0,178368.1964764542
62,CellCandidateHeuristic.SIMILARITY,,1,62,270,5,0,170663.91342994012
63,CellCandidateHeuristic.SIMILARITY,,1,63,275,5,0,162901.10654343548
64,CellCandidateHeuristic.SIMILARITY,,1,64,279,5,0,155858.4897030086
65,CellCandidateHeuristic.SIMILARITY,,1,65,283,5,0,149032.97618692953
66,CellCandidateHeuristic.SIMILARITY,,1,66,286,5,0,143120.35224015737
67,CellCandidateHeuristic.SIMILARITY,,1,67,291,5,0,135467.55989368746
68,CellCandidateHeuristic.SIMILARITY,,1,68,297,5,0,128671.10041216228
69,CellCandidateHeuristic.SIMILARITY,,1,69,307,5,0,116839.95984726003
70,CellCandidateHeuristic.SIMILARITY,,1,70,313,5,0,111231.08908702696
71,CellCandidateHeuristic.SIMILARITY,,1,71,319,5,0,105223.91302206923
72,CellCandidateHeuristic.SIMILARITY,,1,72,323,5,0,100734.09929395458
73,CellCandidateHeuristic.SIMILARITY,,1,73,327,5,0,97295.69954603876
74,CellCandidateHeuristic.SIMILARITY,,1,74,331,5,0,93728.5053448008
75,CellCandidateHeuristic.SIMILARITY,,1,75,335,5,0,89928.80761851405
76,CellCandidateHeuristic.SIMILARITY,,1,76,339,5,0,86755.03469383648
77,CellCandidateHeuristic.SIMILARITY,,1,77,344,5,0,82973.72421439766
78,CellCandidateHeuristic.SIMILARITY,,1,78,350,5,0,78423.63743234806
79,CellCandidateHeuristic.SIMILARITY,,1,79,355,5,0,74671.57277631026
80,CellCandidateHeuristic.SIMILARITY,,1,80,359,5,0,70808.95027631104
81,CellCandidateHeuristic.SIMILARITY,,1,81,364,5,0,67278.53376702919
82,CellCandidateHeuristic.SIMILARITY,,1,82,369,5,0,63491.6550780825
83,CellCandidateHeuristic.SIMILARITY,,1,83,376,5,0,58862.87524276548
84,CellCandidateHeuristic.SIMILARITY,,1,84,381,5,0,55541.32417324408
