,method,n_clusters,flows,iterations,total_cell_len,cell_candidates,run,approx_error
0,CellCandidateHeuristic.TRIANGLES,11.0,1,0,0,20,0,4000992.0441343323
1,CellCandidateHeuristic.TRIANGLES,,1,1,3,20,0,3715166.7108009984
2,CellCandidateHeuristic.TRIANGLES,,1,2,6,20,0,3440345.3774676654
3,CellCandidateHeuristic.TRIANGLES,,1,3,9,20,0,3172441.2941343323
4,CellCandidateHeuristic.TRIANGLES,,1,4,12,20,0,2947768.443717665
5,CellCandidateHeuristic.TRIANGLES,,1,5,15,20,0,2758982.4622295704
6,CellCandidateHeuristic.TRIANGLES,,1,6,18,20,0,2623742.355562904
7,CellCandidateHeuristic.TRIANGLES,,1,7,21,20,0,2507315.3555629035
8,CellCandidateHeuristic.TRIANGLES,,1,8,24,20,0,2391831.4654163835
9,CellCandidateHeuristic.TRIANGLES,,1,9,27,20,0,2291730.13208305
10,CellCandidateHeuristic.TRIANGLES,,1,10,30,20,0,2212898.128282112
11,CellCandidateHeuristic.TRIANGLES,,1,11,33,20,0,2140123.597408142
12,CellCandidateHeuristic.TRIANGLES,,1,12,36,20,0,2065904.0130559423
13,CellCandidateHeuristic.TRIANGLES,,1,13,39,20,0,2006430.0930559426
14,CellCandidateHeuristic.TRIANGLES,,1,14,42,20,0,1947040.6230559424
15,CellCandidateHeuristic.TRIANGLES,,1,15,45,20,0,1889215.4094107137
16,CellCandidateHeuristic.TRIANGLES,,1,16,48,20,0,1833727.4094107137
17,CellCandidateHeuristic.TRIANGLES,,1,17,51,20,0,1779947.2756613323
18,CellCandidateHeuristic.TRIANGLES,,1,18,54,20,0,1727885.7406611256
19,CellCandidateHeuristic.TRIANGLES,,1,19,57,20,0,1675897.7042955498
20,CellCandidateHeuristic.TRIANGLES,,1,20,60,20,0,1626899.18429555
21,CellCandidateHeuristic.TRIANGLES,,1,21,63,20,0,1578532.9026288828
22,CellCandidateHeuristic.TRIANGLES,,1,22,66,20,0,1516046.5014731153
23,CellCandidateHeuristic.TRIANGLES,,1,23,69,20,0,1471404.0612362628
24,CellCandidateHeuristic.TRIANGLES,,1,24,72,20,0,1427867.40790293
25,CellCandidateHeuristic.TRIANGLES,,1,25,75,20,0,1385150.2098687887
26,CellCandidateHeuristic.TRIANGLES,,1,26,78,20,0,1342856.2836651134
27,CellCandidateHeuristic.TRIANGLES,,1,27,81,20,0,1300763.5332485563
28,CellCandidateHeuristic.TRIANGLES,,1,28,84,20,0,1263105.182697867
29,CellCandidateHeuristic.TRIANGLES,,1,29,87,20,0,1225919.849364534
30,CellCandidateHeuristic.TRIANGLES,,1,30,90,20,0,1190711.516031201
31,CellCandidateHeuristic.TRIANGLES,,1,31,93,20,0,1156876.1960312012
32,CellCandidateHeuristic.TRIANGLES,,1,32,96,20,0,1123662.8186333133
33,CellCandidateHeuristic.TRIANGLES,,1,33,99,20,0,1089040.94231161
34,CellCandidateHeuristic.TRIANGLES,,1,34,102,20,0,1058599.3289782775
35,CellCandidateHeuristic.TRIANGLES,,1,35,105,20,0,1029456.0364852893
36,CellCandidateHeuristic.TRIANGLES,,1,36,108,20,0,1000641.0964852796
37,CellCandidateHeuristic.TRIANGLES,,1,37,111,20,0,973380.2329000344
38,CellCandidateHeuristic.TRIANGLES,,1,38,114,20,0,946984.9129000541
39,CellCandidateHeuristic.TRIANGLES,,1,39,117,20,0,920597.8444081345
40,CellCandidateHeuristic.TRIANGLES,,1,40,120,20,0,894928.4221625878
41,CellCandidateHeuristic.TRIANGLES,,1,41,123,20,0,870292.0899129787
42,CellCandidateHeuristic.TRIANGLES,,1,42,126,20,0,846189.9063579922
43,CellCandidateHeuristic.TRIANGLES,,1,43,129,20,0,823072.8580290815
44,CellCandidateHeuristic.TRIANGLES,,1,44,132,20,0,800850.4446957475
45,CellCandidateHeuristic.TRIANGLES,,1,45,135,20,0,780842.1113624135
46,CellCandidateHeuristic.TRIANGLES,,1,46,138,20,0,760948.1094660284
47,CellCandidateHeuristic.TRIANGLES,,1,47,141,20,0,741127.8557160472
48,CellCandidateHeuristic.TRIANGLES,,1,48,144,20,0,722034.9650697531
49,CellCandidateHeuristic.TRIANGLES,,1,49,147,20,0,703657.9393451761
50,CellCandidateHeuristic.TRIANGLES,,1,50,150,20,0,684157.944215019
