,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-54,count-135,count-81,count-124,count-76,count-92,count-37,count-69,count-71,count-25,count-108,count-17,count-89,count-110,count-38,count-30,count-90,count-80,count-36,count-45,count-117,count-96,count-52,count-34,count-72,count-6,count-105,count-82,count-137,count-18,count-120,count-10,count-111,count-43,count-20,count-57,count-134,count-40,count-99,count-21,count-94,count-31,count-101,count-66,count-136,count-79,count-87,count-67,count-44,count-70,count-26,count-125,count-50,count-51,count-100,count-68,count-114,count-64,count-39,count-73,count-42,count-95,count-29,count-85,count-47,count-65,count-97,count-119,count-78,count-131,count-55,count-35,count-32,count-11,count-9,count-13,count-133,count-128,count-77,count-123,count-8,count-129,count-127,count-7,count-62,count-5,count-121,count-48,count-12,count-63,count-53,count-59,count-109,count-98,count-116,count-103,count-115,count-33,count-61,count-3,count-27,count-49,count-15,count-60,count-58,count-83,count-41,count-46,count-118,count-14,count-113,count-16,count-104,count-102,count-4,count-24,count-22,count-84,count-112,count-28,count-23,count-91,count-56,count-126,count-86,count-19,count-132,count-75,count-93,count-130,count-74,count-106,count-88,count-122,count-107,count-138,count-139,count-140,count-148,count-141,count-143,count-147,count-145,count-146,count-142,count-144
0,er-approx-est,1000,0.05,1000.0,1000,7.538822174072266,1000,1,3558541,9,15.0,8,5,12,5,6,7,11,12,7,9,7,8,4,7,7,13,9,8,8,9,8,6,8,6,8,8,16.0,5,11,5,9,7,10,11,15.0,9,8,9,3,4,8,7,26.0,3,13,9,9,9,5,10,10,8,9,9,6.0,7,6,12,6,11,8,6,2,5,4,5,7,4.0,10,8,9,8,9,11,13.0,5,5,10,2,13.0,17,10,4,8,10,7,8,8,7,3,7,6,3,5,7,6,2,7,8,5,5,8,7,8,7,10,7.0,5,5,5,10,5,7,5,4,6,8,4,5,5,6,7,4,6,3.0,6,5,2.0,6,5,4,3,,,,,,,,,,,,
1,er-approx-est,1000,0.05,1000.0,1000,7.7011401653289795,2025,184,4000254,9,,8,47,9,15,5,9,5,4,9,6,3,17,6,5,13,6,10,9,27,17,7,6,4,8,13,7,,8,20,6,17,7,6,9,,11,11,11,15,6,12,6,,8,6,10,4,7,5,47,7,7,13,6,27.0,5,6,5,13,22,4,10,4,12,14,34,6,169.0,5,14,4,12,14,13,,100,15,39,9,102.0,125,7,5,4,36,7,11,10,7,4,19,14,21,10,17,2,4,13,6,7,7,7,9,12,7,3,11.0,11,13,10,9,17,5,10,7,7,12,10,7,8,10,54,7,5,,14,14,117.0,13,16,12,32,13.0,,,,,,,,,,,
2,er-approx-est,1000,0.05,1000.0,1000,7.950325012207031,874,0,4141355,8,,8,3,9,11,9,8,5,10,7,14,7,4,13,8,7,8,9,11,5,11,5,14,11,9,3,6,,6,2,7,4,14,13,3,,7,3,8,6,5,2,4,,3,4,14,5,5,10,3,10,9,2,5,,13,5,6,8,7,11,8,7,7,8,3,5,,5,12,7,12,9,9,,2,3,3,12,3.0,13,4,8,6,4,3,4,10,5,12,4,10,5,2,6,9,7,7,13,6,5,6,7,6,9,8,5.0,5,7,12,4,7,9,7,4,6,5,9,6,6,4,3,7,2,,9,7,2.0,6,6,7,4,4.0,,,,,,,,,,,
3,er-approx-est,1000,0.05,1000.0,1000,7.045952081680298,1192,3,3973023,10,23.0,8,6,5,9,5,11,11,8,8,7,7,6,4,9,7,9,9,11,4,8,3,11,19,3,10,10,26.0,4,11,9,11,10,5,11,28.0,14,7,9,3,6,5,13,18.0,8,11,8,7,4,7,16,5,11,7,5,12.0,5,7,11,8,11,4,8,5,6,7,11,6,12.0,5,4,7,6,10,5,16.0,14,10,14,4,5.0,12,6,2,9,13,10,10,6,5,8,6,11,8,7,5,11,11,8,6,9,3,9,4,7,7,11,6.0,9,8,5,5,5,11,10,4,9,11,3,7,7,6,5,10,6,11.0,8,7,7.0,11,10,13,11,10.0,26.0,14.0,,,,,,,,,
4,er-approx-est,1000,0.05,1000.0,1000,6.887142896652222,664,0,2287387,4,3.0,2,2,4,7,6,4,1,8,3,10,3,6,7,3,2,5,2,10,2,4,1,5,5,10,6,5,5.0,4,1,8,7,3,10,5,5.0,7,6,2,5,1,6,7,3.0,4,4,7,4,7,7,3,9,5,3,4,4.0,4,3,5,5,2,4,5,4,3,5,2,3,,5,6,10,4,10,7,6.0,1,1,3,9,2.0,5,10,6,5,5,3,1,5,5,4,6,8,5,4,1,6,3,6,10,5,6,9,3,5,7,2,,8,8,1,7,3,9,3,8,5,5,3,5,6,4,1,6,5,1.0,7,7,3.0,7,3,6,1,8.0,5.0,2.0,2.0,1.0,2.0,2.0,,,,,
5,er-approx-est,1000,0.05,1000.0,1000,7.063752889633179,1489,16,3918647,10,30.0,6,26,8,7,9,5,6,11,21,5,7,20,4,4,11,6,13,6,15,10,4,6,7,5,23,4,12.0,5,17,11,21,6,4,8,7.0,9,18,10,18,5,7,4,23.0,6,7,11,9,8,13,24,6,9,14,4,13.0,6,8,10,8,10,4,4,2,12,10,7,6,12.0,14,8,5,7,4,5,24.0,28,5,33,8,38.0,42,12,10,6,14,9,3,4,6,8,15,13,17,17,18,8,8,7,11,3,10,7,6,8,9,5,12.0,6,14,8,17,12,4,5,5,10,20,6,6,20,5,31,4,7,14.0,10,13,24.0,1,19,7,20,13.0,14.0,10.0,,,,,,,,,
6,er-approx-est,1000,0.05,1000.0,1000,7.049309968948364,1450,149,3127417,4,12.0,10,9,6,10,4,3,3,3,6,14,7,7,5,13,8,6,1,8,13,6,3,10,7,6,12,6,7.0,7,11,4,9,5,8,9,9.0,6,9,3,6,12,9,7,10.0,7,6,6,4,6,6,9,6,6,12,4,10.0,7,8,13,8,8,9,2,6,5,10,9,4,8.0,4,4,5,4,14,7,11.0,10,7,12,11,5.0,8,10,5,5,13,9,4,9,8,7,15,7,10,9,8,10,7,6,10,5,7,6,4,9,6,7,16.0,10,10,6,6,8,6,9,12,8,10,11,9,4,8,2,3,11,7.0,4,9,6.0,6,8,10,6,9.0,13.0,21.0,11.0,34.0,30.0,30.0,89.0,84.0,46.0,33.0,35.0
7,er-approx-est,1000,0.05,1000.0,1000,7.396160125732422,1660,204,4397647,6,,7,82,7,11,16,9,4,5,14,7,7,20,7,3,9,5,8,8,22,9,6,11,11,9,11,7,,6,41,12,7,7,7,10,,8,8,6,9,5,8,15,,9,9,9,10,4,10,59,11,8,10,10,18.0,11,11,9,10,5,14,12,7,11,8,36,11,,5,4,9,9,3,6,,83,7,83,5,,67,7,6,7,45,11,12,8,7,10,17,9,18,4,16,8,12,7,6,9,7,8,8,5,10,7,31.0,4,21,8,11,7,10,9,12,10,12,10,9,9,5,51,6,8,,10,7,,8,5,5,58,7.0,,,,,,,,,,,
8,er-approx-est,1000,0.05,1000.0,1000,7.9863221645355225,1179,0,3665996,4,2.0,10,19,4,5,5,10,10,11,8,8,8,19,2,11,8,9,11,7,15,7,8,4,5,4,11,6,4.0,13,18,5,10,5,4,8,1.0,6,9,6,8,6,7,7,2.0,7,8,12,6,8,2,13,6,10,4,9,15.0,6,6,6,4,4,11,8,4,8,3,36,6,6.0,8,6,10,10,10,11,2.0,8,8,18,9,5.0,9,5,9,10,26,11,6,6,12,4,7,9,23,11,17,10,12,2,8,5,6,7,7,4,10,4,18.0,8,24,11,5,5,10,11,12,10,17,8,7,7,10,9,11,10,6.0,8,8,2.0,9,9,7,14,12.0,8.0,,,,,,,,,,
9,er-approx-est,1000,0.05,1000.0,1000,8.12838077545166,1111,0,4096895,5,,2,17,8,6,9,5,3,4,5,4,5,6,7,7,4,6,9,7,7,5,8,6,6,9,3,7,,7,12,5,8,12,5,8,,10,8,3,8,3,11,13,,9,4,10,9,9,10,22,4,6,2,12,7.0,8,14,8,8,6,8,5,8,11,7,14,8,,8,15,11,5,8,10,,17,10,12,7,54.0,30,8,6,5,13,9,5,7,7,8,7,11,10,8,9,6,5,11,6,5,8,8,5,6,7,6,19.0,8,10,10,4,8,6,12,8,6,9,9,8,7,13,20,5,7,,5,8,32.0,5,8,5,9,5.0,,,,,,,,,,,
