,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-24,count-45,count-15,count-23,count-76,count-69,count-5,count-115,count-49,count-111,count-9,count-18,count-43,count-133,count-94,count-103,count-79,count-20,count-47,count-44,count-27,count-90,count-99,count-75,count-60,count-78,count-89,count-96,count-26,count-118,count-52,count-127,count-114,count-92,count-31,count-87,count-40,count-134,count-50,count-74,count-8,count-64,count-21,count-65,count-7,count-107,count-120,count-34,count-119,count-19,count-126,count-73,count-63,count-122,count-83,count-14,count-105,count-71,count-22,count-67,count-38,count-95,count-80,count-51,count-100,count-128,count-77,count-70,count-36,count-61,count-68,count-17,count-41,count-32,count-39,count-57,count-33,count-48,count-10,count-86,count-4,count-112,count-12,count-6,count-13,count-58,count-129,count-123,count-131,count-25,count-30,count-110,count-81,count-66,count-108,count-3,count-117,count-42,count-132,count-11,count-101,count-91,count-35,count-93,count-16,count-28,count-82,count-62,count-109,count-55,count-85,count-46,count-104,count-53,count-59,count-56,count-102,count-106,count-72,count-125,count-116,count-29,count-37,count-113,count-84,count-54,count-88,count-124,count-121,count-97,count-98,count-130,count-137,count-138,count-139,count-135,count-136,count-140,count-144,count-142,count-141,count-145,count-146,count-143
0,er-approx-est,1000,0.1,1000.0,1000,20.053450107574463,831,0,7197240,9,8,7,7,11,10,9,3,7,6,8,14,9,7.0,2,4,7,9,7,11,8,5,6,5,6,7,5,3,3,6,10,5,4,12,4,7,6,7.0,7,4,10,4,14,5,15,1,4,7,6,10,7,7,8,4,9,6,6,12,7.0,9,5,7,5,8,3,3,9,4,6,4,9,7,11,7,7,7,6,4,10,6,4,4,8,7,7,13,7,2,4,8,7,5,7,8,7,7,4,7,9.0,4,7,5,7,5,4,7,4,5,6,4,5,6,4,6,7,3,4,1,5,5,5,7,6,3,4,4,4,2,3,3,5,2,,,,,,,,,,,,
1,er-approx-est,1000,0.1,1000.0,1000,374.38239312171936,1253,0,7589657,10,5,6,5,8,5,6,12,4,16,9,11,5,13.0,5,10,8,3,11,8,7,10,4,12,9,11,9,10,5,14,9,8,12,3,5,9,5,17.0,8,8,6,7,5,10,10,3,9,4,12,5,9,8,5,10,8,4,12,5,4.0,10,8,9,8,12,10,11,9,15,5,7,15,7,9,8,10,8,8,10,4,8,4,14,9,14,5,11,1,8,10,5,5,15,10,7,9,12,12,11,12.0,6,11,10,6,7,12,5,7,8,9,4,12,9,9,5,11,9,9,12,14,13,19,6,7,17,9,12,9,9,16,8,10,12,16.0,19.0,18.0,18.0,24.0,,,,,,,
2,er-approx-est,1000,0.1,1000.0,1000,10.826657056808472,832,0,5918913,7,6,6,4,8,8,5,3,5,7,8,6,6,1.0,6,11,9,8,5,10,5,6,4,9,5,9,9,8,8,6,14,1,8,4,4,11,7,1.0,4,4,4,6,8,4,5,6,3,9,2,6,4,6,3,6,6,4,8,10,3.0,13,12,2,8,3,8,8,4,7,6,5,6,8,9,4,6,9,4,5,12,9,9,4,13,3,8,12,3,2,1,5,9,13,8,4,4,9,4,6,2.0,9,8,7,8,5,6,12,4,6,7,7,3,5,1,6,5,5,8,9,6,1,6,4,4,7,8,4,4,2,2,7,12,2,1.0,,,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0
3,er-approx-est,1000,0.1,1000.0,1000,10.84526014328003,961,0,7007739,11,9,6,6,9,8,9,3,4,10,5,4,2,4.0,5,4,4,4,12,6,4,7,5,4,13,6,6,7,3,4,13,4,11,10,8,10,8,4.0,8,6,6,8,7,7,8,11,8,10,6,9,1,8,10,1,5,3,10,6,6.0,4,3,2,6,7,3,3,7,5,11,6,6,12,6,5,9,8,6,10,2,3,4,2,5,3,8,7,3,3,2,3,8,10,9,10,9,7,9,5,2.0,8,9,5,9,6,10,9,4,5,4,13,8,8,7,14,10,11,6,6,7,3,11,7,8,5,4,9,6,3,3,6,5,5,3.0,2.0,5.0,8.0,3.0,10.0,26.0,18.0,8.0,,,15.0
4,er-approx-est,1000,0.1,1000.0,1000,11.048997163772583,3475,464,7046859,6,3,10,10,7,8,11,14,14,6,11,8,8,146.0,6,10,4,7,10,12,9,5,10,3,8,7,6,9,4,26,9,36,20,10,12,9,6,159.0,7,8,7,6,7,7,3,13,27,5,25,5,51,4,8,49,9,5,8,14,6.0,9,5,10,7,8,6,58,8,8,8,6,13,10,5,4,10,5,6,6,9,6,6,9,9,8,5,9,75,32,71,10,8,4,3,8,10,9,23,3,104.0,5,7,5,7,5,8,7,3,5,14,2,8,8,14,10,6,9,13,11,2,31,14,7,12,19,7,3,4,33,34,9,10,59,322.0,260.0,,217.0,362.0,187.0,,,190.0,,,
5,er-approx-est,1000,0.1,1000.0,1000,10.745541095733643,1133,0,7358640,5,11,5,8,8,12,10,5,5,3,7,4,6,,4,10,6,11,6,11,9,7,6,8,9,7,5,4,12,9,6,28,6,10,8,6,11,,3,9,7,6,9,4,5,4,13,7,6,9,21,12,9,17,4,7,5,7,10.0,8,9,9,5,4,5,25,10,4,9,7,9,3,8,4,4,9,6,7,6,6,10,5,13,8,6,13,53,21,35,12,5,7,9,4,3,9,12,6,,7,5,9,5,4,5,7,8,5,3,9,6,7,4,9,8,10,13,5,8,28,9,6,6,9,10,4,7,11,12,1,6,37,,,,,,,,,,,,
6,er-approx-est,1000,0.1,1000.0,1000,10.852519989013672,1136,0,7027264,6,9,6,9,9,12,4,6,11,8,11,6,8,21.0,8,9,8,5,8,11,12,5,8,8,7,6,6,7,7,5,6,18,6,9,8,5,15,21.0,7,3,5,5,7,7,7,13,9,5,9,11,22,6,7,5,5,8,5,9,12.0,5,8,10,7,5,5,11,11,6,14,6,8,8,4,6,4,7,4,9,15,9,4,9,8,7,5,13,23,7,19,5,9,8,7,7,6,5,9,6,15.0,6,5,9,10,4,8,4,4,6,7,5,5,7,6,12,9,10,7,9,10,12,9,5,11,3,5,5,8,9,9,8,10,19,17.0,,,14.0,14.0,,,,,,,
7,er-approx-est,1000,0.1,1000.0,1000,10.864624738693237,1548,0,6962794,8,12,9,7,14,9,9,7,9,9,7,10,8,35.0,4,9,7,5,4,9,9,7,11,13,11,11,6,14,7,12,10,36,13,12,7,7,7,37.0,11,13,7,9,12,7,6,7,19,5,9,8,13,7,11,21,14,9,14,8,7.0,10,6,11,10,3,8,26,5,6,10,8,11,12,5,8,5,5,3,3,4,7,8,7,6,3,7,5,32,19,25,11,6,11,8,6,7,8,9,6,27.0,6,5,6,7,2,10,5,9,15,13,5,10,3,8,11,11,14,13,9,13,12,10,9,8,11,9,9,3,17,15,5,6,36,20.0,30.0,24.0,28.0,18.0,13.0,18.0,9.0,19.0,15.0,,14.0
8,er-approx-est,1000,0.1,1000.0,1000,10.886069297790527,1339,0,7364609,5,9,7,9,8,10,6,10,9,12,8,5,4,22.0,8,6,4,3,12,9,11,6,4,7,4,8,8,8,12,11,8,24,3,6,6,7,6,7.0,10,8,4,8,12,11,7,7,13,2,7,7,14,11,13,14,9,10,4,6,,9,9,7,6,8,4,21,10,11,7,7,13,6,9,10,6,6,8,5,8,10,10,11,6,7,8,8,14,14,25,7,14,7,11,7,7,7,8,8,29.0,6,8,11,10,9,7,5,5,7,8,9,9,3,7,4,8,9,4,10,10,14,18,2,6,2,9,7,7,14,9,6,6,25,48.0,63.0,,34.0,43.0,,,,,,,
9,er-approx-est,1000,0.1,1000.0,1000,10.87422800064087,903,0,7098989,4,12,4,9,10,5,8,7,12,3,9,8,9,2.0,8,6,5,9,8,2,10,2,8,7,8,9,3,7,6,4,5,2,2,2,7,5,11,8.0,10,7,4,5,6,4,3,3,4,11,4,10,3,9,4,2,5,12,6,14,6.0,7,7,14,10,1,5,3,9,4,10,6,8,6,11,8,10,4,6,8,7,5,3,10,13,5,6,6,3,3,4,6,5,3,10,14,6,7,3,5,3.0,10,6,3,8,8,7,15,6,6,7,4,6,9,5,6,4,13,7,7,5,3,4,7,6,5,4,5,9,3,3,5,1,3,7.0,4.0,9.0,4.0,3.0,9.0,8.0,3.0,6.0,,,8.0
