,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-131,count-128,count-33,count-120,count-85,count-114,count-87,count-126,count-95,count-104,count-18,count-73,count-123,count-129,count-124,count-111,count-109,count-110,count-62,count-6,count-97,count-35,count-93,count-119,count-106,count-21,count-68,count-67,count-127,count-108,count-28,count-23,count-20,count-81,count-38,count-34,count-98,count-44,count-103,count-86,count-54,count-70,count-125,count-117,count-102,count-107,count-13,count-84,count-76,count-89,count-121,count-122,count-113,count-105,count-88,count-3,count-112,count-75,count-29,count-80,count-56,count-79,count-14,count-45,count-41,count-25,count-22,count-43,count-49,count-59,count-90,count-52,count-83,count-31,count-16,count-65,count-78,count-118,count-12,count-101,count-5,count-116,count-115,count-48,count-15,count-91,count-96,count-94,count-47,count-7,count-99,count-61,count-100,count-40,count-9,count-53,count-11,count-63,count-71,count-51,count-55,count-4,count-36,count-82,count-24,count-92,count-30,count-77,count-27,count-26,count-50,count-10,count-37,count-19,count-42,count-17,count-69,count-58,count-39,count-57,count-74,count-32,count-8,count-72,count-60,count-66,count-46,count-64,count-141,count-143,count-138,count-133,count-134,count-137,count-139,count-140,count-132,count-130,count-136,count-135,count-146,count-142,count-145,count-144,count-150
0,er-approx-est,1000,0.2,1000.0,1000,22.00071692466736,3087,0,14246063,476,212,8,80,12,30,11,148,16,24.0,14,6,87,238.0,88,33,23,33,12,11,19,8,11,56,16.0,10,7,5,141,25,10,6,6,8,11,7,10,4,18,6,8,10,93,50,9,14,5,11,8,7,79,84,31,14,11,8,31,7,7,13,11,11,14,9,8,10,8,5,7,4,6,9,7,4,7,8,9,55,12,11,10,44,42,10,11,7,9,10,9,6,14,9,11,7,8,5,8,4,8,8,9,4,9,4,10,9,8,7,4,11,5,4,7,4,7,7,5,8,9,4.0,10,4,7,6,9,7,4,4,,,,,,,,,,,,,,,,,
1,er-approx-est,1000,0.2,1000.0,1000,22.315169095993042,986,0,13394065,7,2,6,4,3,3,10,9,7,6.0,8,6,8,5.0,8,3,5,9,10,7,5,7,9,3,6.0,6,9,7,7,8,10,10,8,6,6,7,5,9,8,4,5,11,7,5,6,8,8,7,6,2,3,5,8,7,4,7,4,12,6,7,11,8,11,5,6,7,7,7,9,6,5,1,6,4,6,2,11,12,6,6,7,6,3,5,9,3,5,9,7,8,3,6,6,5,13,6,9,8,7,5,10,9,6,12,5,10,14,6,7,11,5,7,8,10,5,10,10,9,6,8.0,3,7,5,3,6,8,6,7,14.0,26.0,9.0,7.0,6.0,9.0,12.0,13.0,9.0,1.0,6.0,1.0,,,,,
2,er-approx-est,1000,0.2,1000.0,1000,22.26141381263733,1326,0,13845506,36,18,6,9,11,6,5,21,4,,4,7,14,24.0,11,7,6,3,10,7,7,9,7,13,5.0,11,9,9,28,7,6,7,3,4,8,7,6,5,5,9,14,4,14,3,6,10,5,12,8,5,13,14,7,4,5,9,5,9,6,4,5,6,3,5,7,6,13,9,7,14,6,5,5,5,4,7,5,8,9,6,7,6,8,7,8,6,7,3,4,6,10,7,5,8,7,9,8,4,5,8,8,2,5,9,6,9,6,7,7,8,5,8,6,3,6,11,7,8,9,8.0,8,1,6,4,5,7,4,4,12.0,14.0,12.0,27.0,26.0,30.0,37.0,27.0,16.0,20.0,18.0,21.0,15.0,21.0,31.0,23.0,
3,er-approx-est,1000,0.2,1000.0,1000,21.57789707183838,863,0,13691962,1,5,8,3,9,3,5,3,3,4.0,12,7,3,4.0,2,4,2,2,6,8,7,8,8,3,,5,11,8,2,11,4,4,7,8,8,4,3,10,13,4,9,11,2,4,9,6,4,6,5,7,5,3,2,7,10,4,6,6,4,5,9,9,6,5,6,6,5,5,14,6,7,5,11,10,8,4,7,5,6,6,10,2,6,6,8,7,5,5,6,9,5,7,5,10,6,6,5,6,9,9,8,6,4,5,8,2,11,5,12,6,7,4,5,5,5,4,8,7,8,7.0,9,7,7,8,12,5,4,4,8.0,15.0,1.0,2.0,2.0,,8.0,8.0,4.0,2.0,5.0,2.0,,14.0,,,
4,er-approx-est,1000,0.2,1000.0,1000,22.796797037124634,3011,0,13921289,110,66,6,35,10,18,10,54,9,12.0,11,8,43,76.0,42,14,16,17,6,6,8,7,7,20,17.0,6,11,6,59,15,8,4,6,4,12,10,9,6,11,13,10,4,49,30,18,12,5,11,6,11,35,28,20,11,7,6,21,7,6,9,2,5,10,9,7,10,15,12,9,10,9,4,13,6,4,3,6,29,6,9,6,19,21,14,5,12,10,8,5,4,10,3,10,6,11,3,5,14,6,4,6,8,10,8,6,9,7,8,10,10,14,10,5,6,3,8,7,5,6,7.0,9,12,10,5,9,6,9,6,,,156.0,89.0,134.0,157.0,194.0,222.0,67.0,63.0,126.0,116.0,,,,,
5,er-approx-est,1000,0.2,1000.0,1000,22.33146905899048,1367,0,15009851,23,22,5,15,10,12,13,23,11,9.0,12,8,12,11.0,17,12,16,13,5,7,14,9,9,10,9.0,11,11,11,19,9,8,8,10,6,6,4,5,11,16,13,8,9,16,12,7,13,13,7,14,10,14,21,16,8,11,10,14,8,10,8,8,13,6,9,4,8,2,7,4,6,7,6,10,4,7,13,9,20,6,10,11,10,12,4,6,9,8,5,7,10,10,12,9,8,9,4,9,12,10,15,9,2,5,9,11,6,6,11,4,6,9,9,5,6,10,9,7,6,5,5.0,8,5,10,8,4,11,11,8,,,,26.0,27.0,,,,18.0,12.0,30.0,26.0,,,,,
6,er-approx-est,1000,0.2,1000.0,1000,21.543543100357056,713,0,10479716,1,2,5,4,6,3,7,4,5,3.0,9,3,3,,4,4,3,5,5,4,2,6,2,5,7.0,5,6,8,3,2,8,3,1,3,6,5,5,10,6,10,8,7,1,4,4,9,3,4,10,4,2,4,5,1,2,5,5,10,5,7,7,10,10,7,8,3,3,10,5,10,4,4,5,5,4,9,6,4,10,5,9,4,2,10,7,4,5,2,13,10,4,6,4,3,7,4,8,9,5,6,5,5,5,5,9,5,5,6,11,5,6,6,7,7,2,7,7,7,7,3.0,4,5,8,4,7,9,5,8,1.0,,,1.0,,,,,3.0,2.0,1.0,,,1.0,,,
7,er-approx-est,1000,0.2,1000.0,1000,21.79503083229065,1334,0,13196358,25,22,10,11,8,10,10,11,8,10.0,7,9,13,18.0,16,8,7,11,4,7,4,11,9,14,14.0,9,4,5,16,5,5,13,6,2,7,7,4,7,11,1,4,10,16,18,7,8,10,10,7,4,13,24,10,8,6,4,8,8,9,7,6,8,9,13,8,6,9,11,9,5,9,8,5,4,7,5,9,11,9,8,10,12,10,3,12,7,10,3,5,11,5,7,10,4,8,13,9,6,8,7,12,5,8,5,2,4,12,9,13,5,12,7,12,7,7,4,6,2,9,8.0,4,9,11,13,6,2,7,9,,,25.0,20.0,16.0,24.0,34.0,28.0,29.0,16.0,20.0,23.0,,,,,
8,er-approx-est,1000,0.2,1000.0,1000,22.342324018478394,960,0,12958993,7,8,8,4,5,6,2,4,3,5.0,2,6,9,4.0,3,3,5,6,3,7,5,5,7,7,6.0,11,6,12,5,5,6,9,9,3,3,5,4,12,7,11,5,4,2,4,8,4,10,5,8,2,2,3,3,10,7,10,4,4,8,4,9,7,9,5,11,6,11,11,9,8,7,5,7,11,5,7,8,5,8,5,4,4,6,6,6,7,5,7,7,2,5,6,7,9,8,9,8,4,8,10,11,5,13,7,5,3,5,4,10,7,6,7,7,7,7,6,7,10,5,7.0,9,8,9,9,7,8,6,7,12.0,,11.0,3.0,9.0,10.0,15.0,13.0,5.0,8.0,13.0,7.0,,25.0,,,
9,er-approx-est,1000,0.2,1000.0,1000,22.016162872314453,1025,0,11008974,5,13,8,9,7,10,5,12,9,9.0,5,3,15,7.0,7,12,16,12,4,3,11,3,14,9,15.0,9,10,3,5,12,3,4,8,7,5,6,5,6,13,6,13,5,13,9,7,11,3,2,7,6,12,11,17,14,3,6,22,6,5,9,3,3,3,4,2,4,8,11,7,4,13,9,3,6,11,6,4,12,7,5,6,15,13,4,3,7,8,5,11,7,16,10,20,8,10,6,4,9,7,5,4,3,4,4,14,6,3,10,7,5,7,3,7,4,12,6,12,5,8,,5,1,7,10,3,4,10,4,1.0,,3.0,8.0,5.0,5.0,2.0,3.0,2.0,9.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0
