,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-62,count-151,count-78,count-32,count-94,count-99,count-65,count-27,count-82,count-111,count-15,count-20,count-72,count-120,count-36,count-106,count-91,count-128,count-50,count-73,count-107,count-85,count-93,count-131,count-8,count-10,count-43,count-132,count-95,count-59,count-92,count-19,count-113,count-122,count-51,count-86,count-44,count-101,count-60,count-61,count-116,count-21,count-9,count-12,count-88,count-18,count-30,count-89,count-103,count-108,count-55,count-26,count-83,count-109,count-68,count-127,count-25,count-114,count-121,count-58,count-13,count-5,count-77,count-66,count-38,count-76,count-34,count-126,count-133,count-71,count-80,count-56,count-81,count-135,count-6,count-75,count-110,count-54,count-118,count-52,count-16,count-24,count-31,count-29,count-129,count-70,count-115,count-47,count-37,count-117,count-17,count-35,count-40,count-125,count-100,count-63,count-11,count-124,count-46,count-7,count-14,count-87,count-144,count-104,count-143,count-97,count-123,count-57,count-41,count-48,count-23,count-42,count-28,count-33,count-74,count-96,count-45,count-112,count-84,count-137,count-79,count-102,count-134,count-3,count-53,count-69,count-98,count-4,count-39,count-130,count-49,count-64,count-119,count-22,count-67,count-145,count-90,count-142,count-136,count-138,count-140,count-153,count-149,count-105,count-139,count-147,count-141,count-146
0,er-approx-est,1000,0.5,1000.0,1000,47.781152963638306,876,0,29233580,6,1.0,14,11,10,4,13,6,8,3,6,8,6,5,4,7,7,6.0,10,8,11,8,9,3.0,11,10,12,3.0,9,6,7,7,8,7,4,9,6,9,9,5,4,5,8,4,8,6,7,10,8,6,10,5,8,6,3,6,9,12,6,9,5,10,10,8,4,5,5,9,4.0,13,6,5,6,4.0,10,8,14,7,6,7,10,7,3,8,3.0,3,7,4,6,4,5,5,9,7,4,6,5,6,8,6,2,3,1.0,6,3.0,6,3,4,1,3,5,5,6,4,9,7,9,10,5,1.0,7,7,4.0,9,3,4,1,6,5,4.0,2,5,7,3,3,1.0,4,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,,
1,er-approx-est,1000,0.5,1000.0,1000,866.8335521221161,1707,0,36616182,6,,3,12,9,9,12,4,10,15,11,9,2,25,5,9,7,,7,13,8,7,7,,3,8,5,,5,10,9,7,8,64,11,9,5,4,13,10,18,6,8,8,4,9,8,6,4,6,14,6,5,2,4,295,9,12,27,6,9,5,10,12,13,9,4,97,,2,9,14,8,,6,12,4,9,23,9,7,4,12,6,,11,14,7,6,17,5,7,4,92,8,11,9,83,11,10,12,7,,9,,10,64,12,8,7,9,3,8,7,7,5,7,8,6,,7,6,,8,9,3,5,6,11,,10,1,18,10,9,,9,,,,,,,9,,,,
2,er-approx-est,1000,0.5,1000.0,1000,43.7763090133667,1345,0,34539288,5,,10,5,2,8,9,6,4,7,8,13,8,13,9,5,4,36.0,4,14,10,13,8,64.0,6,7,7,61.0,8,7,11,4,9,13,9,7,9,1,8,4,18,12,8,7,12,10,7,7,9,11,2,9,7,14,8,20,13,11,18,8,7,6,6,9,6,5,12,21,,7,7,6,6,,8,5,9,8,10,8,9,7,8,5,51.0,4,9,6,17,13,4,9,10,17,8,8,10,25,11,10,11,8,,9,,2,20,14,8,7,6,10,9,11,7,13,10,8,4,,10,7,,7,3,4,9,5,3,50.0,10,4,10,10,6,,6,,,,,,,10,,,,
3,er-approx-est,1000,0.5,1000.0,1000,40.93663215637207,1567,0,33135298,6,,12,8,6,10,5,6,9,9,11,3,4,8,7,12,12,32.0,6,5,7,8,6,28.0,8,8,3,27.0,11,5,11,5,9,9,11,7,9,6,12,3,6,4,3,6,7,6,7,9,2,10,8,7,8,16,10,15,10,10,5,11,8,9,8,10,5,10,5,13,30.0,4,6,6,6,30.0,7,6,10,8,9,7,6,6,9,9,27.0,4,9,9,8,11,5,7,3,16,11,6,8,15,9,7,3,7,,5,,5,12,8,8,8,8,4,8,9,8,8,7,7,9,84.0,12,9,27.0,5,8,6,5,5,4,29.0,7,7,3,6,3,,7,,49.0,123.0,,,,6,132.0,,,
4,er-approx-est,1000,0.5,1000.0,1000,41.15444993972778,1831,0,32929991,4,,7,3,6,8,7,7,11,9,7,6,7,12,9,5,7,16.0,12,8,10,9,12,29.0,8,6,7,28.0,14,4,9,5,9,14,8,8,10,10,5,10,5,12,7,8,7,11,10,9,9,7,8,10,10,13,4,13,6,8,18,6,8,9,7,8,8,10,8,13,34.0,7,11,13,14,39.0,6,6,6,9,19,8,5,5,6,6,25.0,13,7,4,8,6,4,6,7,13,12,5,5,16,5,10,9,7,,13,,12,16,5,8,5,5,8,8,3,7,8,5,11,6,69.0,10,12,38.0,3,11,7,8,8,3,27.0,1,10,10,11,9,,4,169.0,42.0,62.0,70.0,,,9,62.0,,82.0,
5,er-approx-est,1000,0.5,1000.0,1000,40.80244994163513,984,0,32866742,9,,4,3,21,7,10,3,9,12,4,8,5,9,2,6,8,2.0,9,6,13,8,8,2.0,6,1,8,5.0,6,6,8,4,13,4,5,13,6,8,3,5,9,6,7,7,9,9,5,9,9,7,10,6,9,9,7,2,11,11,6,9,3,8,7,5,8,1,10,6,5.0,6,5,10,8,9.0,8,10,12,6,6,8,4,7,6,4,3.0,6,4,9,9,6,5,11,8,4,8,4,11,6,9,8,9,13,1.0,9,1.0,11,1,7,13,7,5,5,10,3,12,9,4,9,7,1.0,6,12,4.0,7,5,11,11,8,10,2.0,5,10,6,5,8,4.0,8,,2.0,4.0,2.0,,,12,2.0,2.0,,2.0
6,er-approx-est,1000,0.5,1000.0,1000,40.72228717803955,945,0,30145955,10,,9,4,6,3,7,5,7,7,11,6,6,3,4,8,7,5.0,9,7,5,8,6,2.0,7,4,9,7.0,8,6,11,4,5,5,7,4,5,6,6,14,5,6,5,13,9,6,7,8,10,5,2,10,5,12,3,7,12,4,3,7,4,9,7,6,6,13,5,6,2.0,7,10,7,9,3.0,5,5,6,4,5,2,8,5,5,3,7.0,5,5,7,11,3,8,5,11,3,2,12,8,2,9,8,4,6,8.0,6,4.0,6,6,5,6,10,10,7,5,7,8,4,5,1,11,1.0,6,5,1.0,5,8,8,8,3,2,4.0,6,6,10,10,10,13.0,4,5.0,6.0,2.0,3.0,,,6,2.0,23.0,3.0,26.0
7,er-approx-est,1000,0.5,1000.0,1000,41.29345631599426,1140,0,34142119,10,,7,8,2,12,7,8,4,11,8,9,8,13,8,14,5,4.0,6,6,6,6,11,5.0,12,5,8,4.0,8,12,6,6,9,15,6,7,7,10,6,9,8,8,6,10,6,7,4,9,11,3,8,2,1,12,13,2,6,9,5,12,4,6,8,9,9,12,4,5,8.0,6,12,7,6,16.0,6,4,12,3,3,9,8,5,9,8,2.0,6,4,1,4,12,6,3,3,7,6,8,8,5,4,9,7,7,,11,,6,4,9,5,8,8,15,4,5,7,7,4,8,7,18.0,6,14,10.0,5,10,7,11,6,5,4.0,9,8,7,5,8,,6,,14.0,39.0,,,,6,103.0,,,
8,er-approx-est,1000,0.5,1000.0,1000,42.62122702598572,1214,0,34240124,9,,10,7,10,13,3,8,6,9,6,11,4,7,4,14,7,13.0,10,8,16,6,4,12.0,5,3,12,18.0,7,10,6,8,17,12,11,6,9,7,14,5,13,6,7,9,7,5,8,10,6,10,6,11,5,3,9,13,8,18,9,8,7,11,7,9,9,8,4,20,13.0,11,7,7,7,13.0,10,7,8,10,13,6,5,3,11,7,14.0,6,11,5,4,9,7,5,7,20,5,12,7,5,9,10,5,7,,10,,11,16,6,7,7,10,7,6,8,8,8,5,8,7,12.0,7,5,24.0,9,9,6,6,11,4,13.0,10,5,9,6,8,,5,,17.0,15.0,13.0,,,7,10.0,,,
9,er-approx-est,1000,0.5,1000.0,1000,46.87700700759888,1112,0,29894270,8,,5,5,7,10,5,12,2,12,11,8,4,17,5,14,11,12.0,4,7,17,3,7,11.0,6,8,9,13.0,8,8,13,11,12,14,11,11,3,10,7,4,14,9,7,7,3,8,8,6,16,8,7,4,3,11,5,6,11,19,20,5,10,9,4,9,4,11,12,7,8.0,5,6,7,7,16.0,9,5,7,4,14,7,3,8,9,6,12.0,9,10,11,4,18,5,4,4,16,7,8,2,11,8,7,5,3,,15,,6,12,9,2,12,6,5,4,8,3,5,8,14,3,,4,10,15.0,6,10,9,5,5,11,9.0,5,3,15,10,4,,6,,13.0,,,,,7,,,,
