,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-14,count-25,count-24,count-15,count-29,count-26,count-32,count-27,count-11,count-10,count-8,count-31,count-22,count-9,count-30,count-20,count-6,count-16,count-5,count-17,count-18,count-19,count-28,count-23,count-7,count-4,count-12,count-3,count-13,count-21,count-33,count-34
0,er-approx-est,100,0.05,100.0,1000,0.34311890602111816,152,1,2096,3.0,11,7.0,3,10,14.0,11.0,10,6,4,5,3,4,3,6.0,3,4,5.0,1.0,5,5.0,4,8,8,1.0,5,1,1,1,,,
1,er-approx-est,100,0.05,100.0,1000,0.286790132522583,111,0,1615,5.0,2,7.0,3,3,3.0,,6,1,1,1,8,4,3,3.0,3,3,1.0,2.0,4,2.0,5,4,10,3.0,6,6,6,2,1.0,3.0,
2,er-approx-est,100,0.05,100.0,1000,0.3260321617126465,116,1,1648,4.0,5,5.0,1,2,2.0,6.0,6,4,4,2,1,4,4,8.0,6,3,3.0,2.0,4,5.0,4,1,5,7.0,3,2,3,1,1.0,8.0,
3,er-approx-est,100,0.05,100.0,1000,0.3658888339996338,83,0,952,5.0,1,,3,5,,,3,2,6,2,2,4,3,5.0,2,2,,3.0,3,5.0,2,2,2,4.0,4,4,2,1,4.0,2.0,
4,er-approx-est,100,0.05,100.0,1000,0.38843202590942383,105,1,1358,4.0,5,4.0,8,4,2.0,,2,4,3,5,4,2,1,4.0,3,5,3.0,1.0,2,6.0,3,5,5,1.0,10,2,2,1,4.0,,
5,er-approx-est,100,0.05,100.0,1000,0.35357189178466797,171,11,1986,,5,8.0,9,16,9.0,,12,2,5,2,19,8,4,8.0,4,5,8.0,,3,3.0,4,13,8,3.0,4,2,2,3,2.0,,
6,er-approx-est,100,0.05,100.0,1000,0.291363000869751,94,0,1144,3.0,2,3.0,4,1,1.0,4.0,2,1,2,5,2,3,3,12.0,2,1,3.0,3.0,4,4.0,3,3,5,3.0,1,6,4,3,1.0,,
7,er-approx-est,100,0.05,100.0,1000,0.32151317596435547,101,2,1065,3.0,1,1.0,3,1,2.0,2.0,3,2,2,4,4,2,3,1.0,4,3,5.0,1.0,4,6.0,7,5,5,,5,4,4,5,2.0,4.0,3.0
8,er-approx-est,100,0.05,100.0,1000,0.3468639850616455,109,0,1585,1.0,6,5.0,1,7,3.0,2.0,6,7,5,6,1,6,3,,6,2,6.0,2.0,6,,5,3,1,2.0,4,3,4,2,1.0,3.0,
9,er-approx-est,100,0.05,100.0,1000,0.35682106018066406,106,3,1342,3.0,2,1.0,2,5,4.0,7.0,5,2,1,2,5,4,2,4.0,8,4,1.0,7.0,6,1.0,3,3,2,1.0,3,4,4,3,7.0,,
