,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-30,count-7,count-4,count-17,count-11,count-3,count-21,count-23,count-14,count-18,count-29,count-20,count-32,count-8,count-27,count-13,count-34,count-33,count-5,count-12,count-10,count-9,count-24,count-15,count-31,count-28,count-16,count-19,count-26,count-6,count-25,count-35,count-22,count-37,count-36
0,er-approx-est,100,0.1,100.0,1000,0.7376339435577393,104,0,3624,5,4.0,5.0,6,3,6.0,2.0,2.0,1.0,4,5.0,1,8.0,3.0,5.0,3.0,5.0,3.0,2,3,3.0,4,2.0,3,5,2.0,2.0,1,1.0,2,3.0,,,,
1,er-approx-est,100,0.1,100.0,1000,0.6876227855682373,91,0,3259,3,5.0,,4,4,2.0,1.0,3.0,3.0,1,3.0,2,4.0,3.0,5.0,4.0,,,1,2,3.0,1,2.0,2,3,1.0,2.0,2,5.0,5,6.0,7.0,2.0,,
2,er-approx-est,100,0.1,100.0,1000,0.7077598571777344,105,0,3031,3,5.0,2.0,3,2,3.0,1.0,4.0,3.0,3,1.0,4,1.0,4.0,6.0,4.0,1.0,5.0,5,3,3.0,5,,1,6,1.0,6.0,5,1.0,2,6.0,,6.0,,
3,er-approx-est,100,0.1,100.0,1000,0.5971188545227051,81,0,2590,3,3.0,1.0,5,5,2.0,,,4.0,3,1.0,3,,,4.0,4.0,2.0,1.0,2,2,5.0,3,2.0,2,3,2.0,2.0,2,1.0,3,2.0,5.0,2.0,1.0,1.0
4,er-approx-est,100,0.1,100.0,1000,0.594933032989502,102,0,4092,4,6.0,4.0,2,3,2.0,3.0,2.0,5.0,3,,3,6.0,1.0,3.0,,3.0,3.0,4,6,5.0,4,2.0,4,2,,2.0,3,2.0,1,3.0,4.0,3.0,2.0,2.0
5,er-approx-est,100,0.1,100.0,1000,0.5100390911102295,111,0,3575,2,3.0,4.0,2,4,4.0,6.0,4.0,,1,4.0,4,2.0,4.0,8.0,2.0,7.0,8.0,3,1,4.0,3,5.0,1,2,1.0,1.0,2,3.0,2,4.0,4.0,6.0,,
6,er-approx-est,100,0.1,100.0,1000,0.5318279266357422,137,0,3897,5,6.0,2.0,4,5,3.0,4.0,3.0,5.0,3,3.0,6,5.0,3.0,5.0,3.0,5.0,10.0,2,5,3.0,5,2.0,5,4,4.0,7.0,7,3.0,4,,3.0,3.0,,
7,er-approx-est,100,0.1,100.0,1000,0.5109641551971436,112,1,3825,3,2.0,5.0,1,6,,6.0,2.0,4.0,1,2.0,2,17.0,1.0,,7.0,3.0,5.0,1,3,,2,2.0,6,4,4.0,,1,1.0,3,1.0,5.0,2.0,6.0,4.0
8,er-approx-est,100,0.1,100.0,1000,0.5198531150817871,111,0,3387,3,2.0,3.0,3,4,5.0,1.0,1.0,10.0,4,3.0,4,5.0,5.0,4.0,2.0,5.0,4.0,6,2,6.0,4,3.0,4,1,4.0,3.0,3,,3,1.0,,3.0,,
9,er-approx-est,100,0.1,100.0,1000,0.6319699287414551,126,1,4612,2,,4.0,2,3,2.0,1.0,1.0,4.0,8,6.0,1,5.0,4.0,6.0,4.0,11.0,11.0,1,3,4.0,2,3.0,1,5,2.0,3.0,3,2.0,3,5.0,9.0,5.0,,
