,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-17,count-9,count-35,count-34,count-29,count-18,count-30,count-25,count-24,count-16,count-32,count-23,count-27,count-26,count-10,count-5,count-12,count-19,count-8,count-13,count-33,count-7,count-6,count-31,count-22,count-15,count-21,count-3,count-28,count-4,count-20,count-14,count-11,count-36,count-37,count-38,count-39
0,er-approx-est,100,0.2,100.0,1000,0.46736931800842285,110,0,7337,4,5,7,12,1.0,2,3,1.0,3.0,3,3,4,4,2,3,4.0,4,1.0,3,7.0,6.0,2.0,3.0,4.0,3,3,4,3,1.0,1,2.0,1.0,1.0,,,,
1,er-approx-est,100,0.2,100.0,1000,0.4637448787689209,111,0,8765,1,1,4,2,,2,6,7.0,2.0,2,5,3,1,2,4,3.0,5,2.0,2,4.0,1.0,4.0,3.0,,3,3,5,4,5.0,2,2.0,,3.0,13.0,5.0,,
2,er-approx-est,100,0.2,100.0,1000,0.5279228687286377,102,0,5626,2,3,4,3,1.0,1,3,3.0,,3,3,3,2,4,5,3.0,3,4.0,1,4.0,4.0,3.0,5.0,2.0,4,1,2,4,2.0,3,2.0,2.0,2.0,5.0,6.0,,
3,er-approx-est,100,0.2,100.0,1000,0.5439779758453369,93,0,5461,2,3,2,3,,3,3,,1.0,5,2,4,3,3,2,3.0,5,5.0,1,4.0,,4.0,3.0,6.0,4,3,2,5,,2,4.0,4.0,2.0,,,,
4,er-approx-est,100,0.2,100.0,1000,0.520158052444458,134,0,11399,1,2,21,8,5.0,2,1,1.0,4.0,1,11,2,5,5,3,1.0,2,2.0,2,4.0,13.0,8.0,3.0,2.0,6,2,2,4,5.0,1,,1.0,4.0,,,,
5,er-approx-est,100,0.2,100.0,1000,0.49823498725891113,121,0,7919,3,3,6,2,4.0,3,5,2.0,1.0,4,5,1,1,3,6,1.0,5,8.0,1,2.0,1.0,2.0,5.0,4.0,3,7,1,3,7.0,3,3.0,3.0,,2.0,8.0,3.0,
6,er-approx-est,100,0.2,100.0,1000,0.5038869380950928,144,0,9395,4,4,2,8,2.0,5,1,2.0,,2,4,8,1,4,4,,1,3.0,4,,6.0,3.0,4.0,4.0,4,4,3,3,3.0,4,10.0,6.0,1.0,13.0,10.0,7.0,
7,er-approx-est,100,0.2,100.0,1000,0.529177188873291,113,0,8487,3,2,3,2,2.0,2,6,3.0,2.0,2,3,6,1,6,8,5.0,3,4.0,2,3.0,3.0,4.0,1.0,5.0,3,1,3,3,1.0,3,5.0,4.0,3.0,1.0,5.0,,
8,er-approx-est,100,0.2,100.0,1000,0.4793379306793213,120,0,6491,4,3,7,2,5.0,2,1,,2.0,6,5,3,1,4,6,4.0,2,,3,3.0,5.0,3.0,7.0,5.0,8,6,3,2,4.0,5,2.0,4.0,1.0,2.0,,,
9,er-approx-est,100,0.2,100.0,1000,0.46608471870422363,129,0,7123,3,3,3,9,1.0,1,6,2.0,8.0,3,3,3,4,2,4,3.0,1,2.0,5,4.0,4.0,,,5.0,1,7,5,4,2.0,2,4.0,1.0,4.0,2.0,4.0,12.0,2.0
