,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-12,count-38,count-4,count-30,count-31,count-29,count-36,count-23,count-14,count-11,count-21,count-6,count-3,count-18,count-20,count-24,count-39,count-26,count-10,count-22,count-32,count-27,count-35,count-19,count-9,count-8,count-28,count-34,count-7,count-25,count-33,count-17,count-13,count-5,count-37,count-15,count-16,count-40,count-41
0,er-approx-est,100,0.5,100.0,1000,0.8041636943817139,89,0,15962,3,1.0,4.0,3.0,7,5.0,2,2,2.0,5.0,4.0,1.0,2,2.0,3,2,3.0,6.0,3,2,2.0,2,2,2,1,1.0,4,1,2.0,1,2.0,2.0,3.0,2.0,,,,,
1,er-approx-est,100,0.5,100.0,1000,0.9220230579376221,124,0,24005,6,5.0,4.0,1.0,5,5.0,4,3,4.0,4.0,4.0,3.0,2,2.0,2,3,,2.0,3,4,8.0,4,5,2,4,5.0,3,6,1.0,3,4.0,1.0,4.0,2.0,4.0,1.0,1.0,,
2,er-approx-est,100,0.5,100.0,1000,0.8143301010131836,98,0,13084,3,2.0,2.0,1.0,2,,1,3,4.0,1.0,,3.0,4,3.0,4,2,4.0,4.0,4,2,2.0,1,1,4,5,1.0,6,1,3.0,2,2.0,2.0,5.0,2.0,1.0,5.0,4.0,2.0,
3,er-approx-est,100,0.5,100.0,1000,0.8950271606445312,103,0,16942,5,2.0,2.0,2.0,1,1.0,3,5,4.0,1.0,3.0,3.0,4,1.0,4,2,4.0,3.0,1,2,5.0,2,2,4,1,3.0,2,3,7.0,2,,2.0,2.0,4.0,6.0,2.0,3.0,,
4,er-approx-est,100,0.5,100.0,1000,0.8207333087921143,87,0,18780,1,,6.0,4.0,1,3.0,3,2,3.0,,1.0,1.0,4,,4,4,,4.0,4,2,,2,4,4,2,2.0,2,2,2.0,6,4.0,,3.0,,4.0,2.0,1.0,,
5,er-approx-est,100,0.5,100.0,1000,0.888228178024292,81,0,11110,4,,1.0,1.0,3,1.0,3,1,1.0,4.0,2.0,1.0,1,2.0,3,3,,4.0,3,6,3.0,1,2,2,5,3.0,1,3,3.0,3,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,
6,er-approx-est,100,0.5,100.0,1000,0.7907860279083252,120,0,20137,3,4.0,2.0,4.0,2,2.0,1,4,2.0,3.0,,5.0,1,1.0,4,3,6.0,2.0,7,6,,3,5,3,4,4.0,1,6,5.0,3,4.0,2.0,5.0,3.0,2.0,3.0,5.0,,
7,er-approx-est,100,0.5,100.0,1000,0.9031109809875488,95,0,17406,2,3.0,5.0,3.0,3,3.0,1,2,,,5.0,,3,4.0,5,3,3.0,3.0,2,5,2.0,3,1,3,6,2.0,1,5,3.0,1,1.0,2.0,,1.0,3.0,2.0,2.0,2.0,
8,er-approx-est,100,0.5,100.0,1000,0.8475813865661621,114,0,16981,4,1.0,1.0,5.0,2,3.0,2,1,4.0,2.0,5.0,4.0,1,4.0,2,4,1.0,5.0,4,5,3.0,6,3,3,6,,2,3,3.0,3,4.0,4.0,3.0,2.0,3.0,4.0,1.0,,1.0
9,er-approx-est,100,0.5,100.0,1000,0.9174692630767822,90,0,16047,1,5.0,,,4,,6,3,,2.0,3.0,4.0,1,3.0,4,3,,,2,3,4.0,3,2,1,2,4.0,1,3,,3,5.0,,2.0,5.0,5.0,4.0,2.0,,
