,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-5,count-3,count-7,count-6,count-4,count-8,count-9
0,er-approx-est,10,0.5,10.0,1000,0.07086896896362305,12,0,0,3.0,3,1.0,1.0,2.0,2.0,
1,er-approx-est,10,0.5,10.0,1000,0.06865382194519043,9,0,0,2.0,1,3.0,2.0,,1.0,
2,er-approx-est,10,0.5,10.0,1000,0.08019828796386719,15,0,0,3.0,2,1.0,4.0,5.0,,
3,er-approx-est,10,0.5,10.0,1000,0.0841989517211914,8,0,0,1.0,2,1.0,,1.0,3.0,
4,er-approx-est,10,0.5,10.0,1000,0.08118796348571777,10,0,0,,2,3.0,2.0,2.0,,1.0
5,er-approx-est,10,0.5,10.0,1000,0.0785679817199707,3,0,0,,2,,1.0,,,
6,er-approx-est,10,0.5,10.0,1000,0.08245420455932617,6,0,0,,1,,2.0,2.0,,1.0
7,er-approx-est,10,0.5,10.0,1000,0.07440400123596191,13,0,0,4.0,4,3.0,2.0,,,
8,er-approx-est,10,0.5,10.0,1000,0.09168410301208496,13,0,0,3.0,1,1.0,1.0,5.0,2.0,
9,er-approx-est,10,0.5,10.0,1000,0.08072400093078613,9,0,0,,3,2.0,2.0,2.0,,
