,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-14,count-143,count-106,count-210,count-83,count-6,count-30,count-13,count-84,count-99,count-94,count-96,count-149,count-26,count-22,count-136,count-7,count-89,count-29,count-65,count-209,count-55,count-166,count-147,count-202,count-39,count-122,count-174,count-207,count-16,count-46,count-57,count-128,count-160,count-138,count-112,count-115,count-18,count-10,count-151,count-41,count-4,count-123,count-208,count-91,count-64,count-21,count-214,count-95,count-117,count-97,count-15,count-98,count-164,count-75,count-53,count-196,count-32,count-40,count-150,count-206,count-168,count-87,count-63,count-145,count-185,count-189,count-9,count-212,count-11,count-203,count-133,count-124,count-129,count-184,count-170,count-211,count-173,count-88,count-130,count-155,count-205,count-17,count-51,count-110,count-144,count-35,count-178,count-134,count-171,count-69,count-102,count-131,count-181,count-8,count-45,count-137,count-108,count-183,count-23,count-165,count-85,count-197,count-111,count-114,count-195,count-176,count-152,count-19,count-109,count-204,count-180,count-28,count-25,count-104,count-156,count-37,count-105,count-52,count-78,count-148,count-49,count-118,count-67,count-188,count-177,count-71,count-190,count-161,count-142,count-24,count-34,count-43,count-27,count-125,count-44,count-135,count-101,count-74,count-36,count-116,count-33,count-66,count-70,count-200,count-76,count-50,count-182,count-72,count-42,count-81,count-167,count-201,count-80,count-77,count-103,count-31,count-159,count-73,count-194,count-213,count-60,count-113,count-5,count-82,count-100,count-158,count-175,count-93,count-179,count-3,count-59,count-162,count-127,count-154,count-146,count-86,count-20,count-58,count-191,count-107,count-68,count-56,count-199,count-12,count-119,count-172,count-79,count-48,count-169,count-186,count-163,count-47,count-38,count-187,count-157,count-198,count-153,count-90,count-141,count-92,count-139,count-121,count-126,count-120,count-54,count-193,count-62,count-132,count-192,count-61,count-140,count-216
0,er-approx-est,2000,0.05,2000.0,1000,27.879604816436768,1675,0,33116741,11,6,6,14.0,7,9,7,7,10,7,9,8,3,12,8,4,12,7,12,17,20.0,8,11,7,5.0,11,11,8,8.0,16,9,6,4,16,9,7,5,6,13,7,11,13,5,15.0,15,7,11,18.0,4,7,8,13,7,12,5,7,7.0,9,13,4,7.0,10.0,9,10,5,5.0,6.0,10,10.0,7,5.0,10,9,11,6.0,16,13.0,13,7,9,10,11.0,10,17,5,8,10,5,8,5,7,8,11,8,11,12,4,9,8,7,9,12,8.0,6,7,7.0,9.0,6,8,10,3.0,12.0,5,11,9,6,5,4,12,12,6,9,8,8,9.0,6,7,8.0,11,9,11,4,9,7,7,7,3,9,5,9,8,9,8,9,4.0,6,5,5.0,12,11,13,13,4.0,13,4,10,5,7,5,5.0,13.0,2,9,8,6,6,5,5,7,6,9,9,3,8,9,6,6,4,7,5.0,7,8,9,2.0,7,6,7,6,5,2,8.0,10,5,3,6.0,5.0,7.0,5,6,7,4,4,2,6,1,6,3.0,6,3,1.0,7,3,
1,er-approx-est,2000,0.05,2000.0,1000,29.331193208694458,1476,0,36867269,9,6,10,1.0,12,5,6,14,9,12,13,11,6,5,9,7,10,10,12,7,,7,3,7,,12,8,1,,10,11,14,9,2,6,10,9,11,12,6,13,6,12,,10,10,18,1.0,6,7,4,8,11,4,6,15,,6,7,5,,,5,11,11,,,11,1.0,10,,8,12,8,2.0,2,,4,8,10,9,,6,6,5,6,8,3,10,2,11,6,12,3,10,5,13,11,2,7,2,12,,8,5,1.0,,4,9,4,,,8,12,9,6,11,11,10,15,6,14,10,10,1.0,2,5,2.0,2,5,7,8,5,10,7,12,11,9,9,7,9,8,14,8,,10,11,,9,13,7,1,,15,8,7,9,3,11,1.0,,8,16,6,15,8,3,1,9,2,11,6,3,5,4,6,8,9,11,1.0,6,9,12,1.0,8,13,2,8,7,1,1.0,3,15,7,,6.0,1.0,6,6,9,9,11,9,6,16,9,,11,10,2.0,14,13,1.0
2,er-approx-est,2000,0.05,2000.0,1000,30.069568872451782,1791,4,41737785,10,4,9,,12,12,7,15,8,10,13,5,5,11,12,4,8,11,14,13,,9,3,6,,12,12,1,,4,16,13,8,1,4,21,8,11,20,3,9,9,9,,14,10,11,,8,9,15,11,8,1,10,14,39.0,14,8,5,,1.0,7,8,8,4.0,10.0,14,,12,,8,8,11,4.0,4,,7,12,11,1,,10,14,11,5,7,2,5,3,15,8,3,3,17,5,7,8,2,12,1,6,,10,10,19.0,1.0,1,6,12,,8.0,8,6,11,1,12,12,8,12,8,11,9,4,9.0,5,3,15.0,3,8,7,9,11,12,4,12,9,6,10,10,12,11,9,13,,11,9,4.0,7,12,11,6,,9,9,10,12,3,13,24.0,,9,10,13,12,11,1,7,7,4,13,8,2,9,2,4,7,8,11,15.0,6,13,11,,10,9,1,16,16,1,5.0,5,13,12,6.0,,75.0,2,18,10,3,6,14,7,8,9,33.0,11,4,6.0,4,4,
3,er-approx-est,2000,0.05,2000.0,1000,24.4376380443573,3273,123,43599751,5,10,3,,11,9,10,6,10,7,12,10,6,8,22,9,10,12,13,9,,15,24,8,,15,14,35,,12,12,4,9,12,9,5,7,9,10,7,13,12,9,,6,10,9,,6,10,11,14,9,9,10,14,116.0,8,10,20,,26.0,6,11,10,44.0,56.0,8,,7,,13,9,15,26.0,14,,32,11,11,16,,13,15,4,8,11,32,12,21,11,9,11,49,10,9,8,9,30,12,16,8,92.0,8,15,84.0,26.0,10,19,10,,38.0,6,15,9,11,16,10,13,11,13,11,11,13,50.0,35,16,79.0,16,16,9,12,7,6,10,7,7,9,14,11,10,13,10,9,,9,17,30.0,5,10,6,23,,9,8,5,7,11,10,82.0,,9,13,4,10,7,16,32,6,42,12,14,15,8,4,11,11,11,14,81.0,15,15,10,,12,10,26,12,13,19,55.0,11,9,9,47.0,10.0,66.0,9,15,12,12,15,7,16,13,11,60.0,8,9,88.0,11,11,
4,er-approx-est,2000,0.05,2000.0,1000,24.46025586128235,3539,24,39559639,3,13,12,,12,5,8,12,8,10,11,6,7,7,15,8,15,9,9,8,,12,18,16,77.0,8,12,40,,9,9,10,5,18,11,8,13,9,16,9,4,7,14,,7,8,8,,8,15,20,7,8,14,15,12,43.0,11,9,8,,35.0,13,14,14,50.0,49.0,12,,13,107.0,14,12,11,60.0,42,,28,8,11,18,,9,6,6,12,16,37,10,25,12,8,13,41,18,8,9,11,52,11,13,15,36.0,7,11,38.0,36.0,15,9,8,,29.0,15,12,9,13,6,13,13,14,10,8,17,11,44.0,40,8,78.0,15,9,9,11,10,16,6,8,11,13,8,11,10,4,10,12,96.0,8,10,53.0,19,5,15,26,,9,9,8,7,17,5,49.0,,13,15,7,16,8,10,35,5,45,5,7,22,18,16,12,8,5,17,41.0,10,13,17,97.0,9,10,34,14,10,24,51.0,23,7,6,52.0,19.0,65.0,18,10,17,9,18,13,7,7,6,37.0,8,5,61.0,8,11,
5,er-approx-est,2000,0.05,2000.0,1000,25.923640251159668,4842,265,43674705,9,19,14,,16,11,11,7,14,10,8,14,20,7,6,14,8,9,10,14,,11,28,23,,7,10,51,,7,14,2,7,29,20,7,14,11,15,21,6,11,14,,8,15,8,,16,10,10,20,12,33,17,15,,14,14,24,,41.0,14,9,15,566.0,,10,,14,,9,6,8,,21,,52,11,14,15,,12,12,6,14,9,120,17,35,10,14,12,233,12,10,28,11,177,15,28,15,,7,7,,95.0,19,6,10,,114.0,10,15,10,19,11,8,8,13,22,12,12,13,,72,14,,19,15,11,5,9,11,10,12,16,13,15,11,10,6,20,13,,8,8,307.0,17,15,15,26,,11,8,8,5,15,13,,,7,19,13,18,13,14,63,15,77,13,13,27,4,25,23,8,8,8,,10,11,10,,16,10,43,10,9,42,567.0,36,10,7,,26.0,,23,15,21,7,11,13,13,16,9,,11,12,,12,15,
6,er-approx-est,2000,0.05,2000.0,1000,24.064209938049316,1786,0,36491362,8,2,7,,5,6,13,14,10,12,9,11,2,7,10,11,8,18,16,13,,9,12,7,13.0,13,11,7,,12,11,15,7,11,6,3,6,9,4,5,9,14,5,,5,6,11,,10,6,14,9,15,10,4,10,8.0,9,11,6,,8.0,11,9,1,9.0,12.0,7,,17,21.0,10,6,9,6.0,15,,21,9,10,5,,12,6,11,4,11,15,4,14,7,8,4,8,12,11,5,4,8,5,6,6,11.0,6,11,5.0,10.0,4,9,9,,9.0,9,7,7,4,11,11,8,7,5,12,6,9,2.0,16,6,7.0,11,6,13,7,15,17,5,8,7,9,11,8,11,8,8,7,10.0,5,12,11.0,5,6,7,9,20.0,7,10,9,10,7,12,8.0,,13,9,8,8,12,11,14,8,10,11,8,5,9,9,3,11,9,8,4.0,6,6,9,11.0,6,5,12,11,10,17,6.0,8,9,5,10.0,6.0,10.0,9,11,8,4,6,5,9,7,13,7.0,15,5,3.0,8,7,
7,er-approx-est,2000,0.05,2000.0,1000,24.532628059387207,3669,834,37917099,11,12,8,,11,10,16,10,12,5,8,11,12,9,7,14,6,14,12,8,,4,7,9,,13,6,15,,11,16,4,11,13,12,13,9,8,13,9,15,5,10,,9,6,10,,10,7,4,11,7,9,16,14,,17,10,14,,13.0,11,11,9,25.0,98.0,8,,14,,3,7,13,21.0,9,,9,10,8,10,,8,8,13,8,4,17,12,10,10,7,11,17,7,5,10,7,38,11,13,9,,11,6,377.0,21.0,6,11,8,,15.0,7,9,6,12,10,8,11,8,13,9,11,10,42.0,10,10,72.0,7,14,8,8,9,7,11,7,11,4,12,16,10,10,15,13,,8,8,22.0,6,13,10,6,,7,12,6,11,11,11,378.0,,10,6,11,9,10,7,15,4,19,10,13,11,11,10,13,15,12,9,184.0,9,9,8,,11,7,8,3,10,14,52.0,7,9,11,57.0,6.0,,9,11,9,10,10,3,7,12,8,358.0,8,14,165.0,11,13,
8,er-approx-est,2000,0.05,2000.0,1000,24.66060972213745,2554,1,43707477,7,17,5,,12,9,15,13,14,8,10,15,14,11,16,14,6,10,12,11,,11,31,18,,8,19,27,,13,14,9,8,16,10,13,8,11,17,11,14,10,12,,10,6,8,,13,7,15,16,10,26,13,14,,8,18,12,,18.0,7,9,6,67.0,,14,,9,,12,8,9,65.0,30,,21,14,15,15,,9,6,8,14,12,29,13,26,10,6,8,52,9,8,16,9,42,13,23,7,,6,7,,18.0,19,16,16,,36.0,9,9,7,8,15,11,8,18,10,13,6,13,,34,11,,14,10,10,17,10,9,13,18,9,6,12,16,9,16,11,8,,14,11,44.0,13,10,9,21,,13,10,7,8,21,6,,,7,9,13,7,10,14,29,11,29,15,14,21,10,16,8,10,7,6,,14,15,17,,22,6,25,9,16,28,,10,7,15,,20.0,,20,10,10,8,7,15,8,9,7,,8,11,,7,15,
9,er-approx-est,2000,0.05,2000.0,1000,24.276376962661743,2733,169,37155407,8,10,8,62.0,10,12,10,12,8,13,12,11,12,9,8,8,5,9,13,7,55.0,17,11,13,21.0,7,7,9,66.0,8,13,7,6,19,6,7,9,10,11,14,10,8,3,90.0,6,15,9,,10,7,4,8,8,9,11,6,16.0,9,5,16,67.0,11.0,9,10,17,11.0,9.0,17,76.0,10,39.0,21,11,6,12.0,18,64.0,12,6,9,13,50.0,11,12,7,6,14,9,17,11,11,6,7,9,13,7,8,4,17,6,15,9,11.0,9,7,9.0,14.0,8,11,8,43.0,11.0,7,12,12,11,5,6,13,16,17,7,4,8,12.0,17,8,9.0,7,17,12,12,11,11,11,11,5,5,11,8,8,9,6,9,4.0,10,6,7.0,13,16,10,12,15.0,9,10,12,11,11,10,11.0,54.0,8,1,9,9,12,7,18,14,16,8,12,16,11,11,13,9,8,10,5.0,8,11,13,17.0,15,10,9,11,9,15,8.0,10,11,4,8.0,17.0,23.0,15,10,9,9,13,11,6,7,8,7.0,9,14,15.0,10,15,
