,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-82,count-41,count-185,count-205,count-69,count-149,count-87,count-91,count-183,count-97,count-53,count-21,count-180,count-162,count-118,count-65,count-138,count-199,count-102,count-111,count-66,count-80,count-34,count-52,count-8,count-60,count-126,count-31,count-182,count-170,count-74,count-46,count-192,count-184,count-13,count-35,count-160,count-58,count-49,count-116,count-40,count-152,count-12,count-100,count-202,count-187,count-161,count-103,count-143,count-70,count-38,count-28,count-54,count-89,count-133,count-191,count-107,count-18,count-43,count-142,count-223,count-22,count-56,count-93,count-10,count-42,count-51,count-147,count-25,count-4,count-81,count-61,count-48,count-26,count-210,count-5,count-163,count-63,count-79,count-109,count-179,count-7,count-155,count-85,count-37,count-117,count-114,count-166,count-215,count-92,count-150,count-73,count-123,count-98,count-148,count-14,count-50,count-129,count-36,count-9,count-20,count-57,count-173,count-76,count-75,count-104,count-17,count-154,count-39,count-77,count-105,count-178,count-90,count-157,count-96,count-132,count-84,count-194,count-144,count-120,count-128,count-121,count-140,count-181,count-64,count-197,count-95,count-101,count-99,count-136,count-19,count-188,count-159,count-6,count-112,count-67,count-106,count-55,count-3,count-27,count-171,count-45,count-122,count-151,count-16,count-29,count-131,count-11,count-78,count-59,count-177,count-32,count-196,count-125,count-115,count-169,count-174,count-127,count-216,count-62,count-113,count-134,count-146,count-68,count-94,count-158,count-164,count-33,count-88,count-83,count-224,count-156,count-44,count-221,count-207,count-200,count-139,count-190,count-135,count-47,count-137,count-145,count-189,count-175,count-24,count-204,count-186,count-108,count-153,count-30,count-201,count-119,count-110,count-203,count-198,count-15,count-167,count-211,count-165,count-219,count-86,count-176,count-218,count-141,count-168,count-124,count-220,count-193,count-195,count-23,count-206,count-130,count-71,count-72,count-172,count-214,count-222,count-208
0,er-approx-est,2000,0.1,2000.0,1000,40.80554795265198,1571,0,75403398,13,15,6,5.0,9,7,9,13,4,11,8,8,9,7,9,14,5,5.0,12,12,7,8,16,8,11,3,8,12,6,8,10,8,9.0,4,7,7,4,19,12,12,12,7,11,6,3.0,7,11,14,5,11,11,11,12,6,7,5.0,12,8,11,7,6.0,12,6,13,8,11,7,3,4,9,9,10,7,8,4.0,12,6,4,11,11,6,8,6,12,7,9,8,7,2.0,10,8,9,6,16,5,9,6,5,11,6,8,9,4,10,13,9,12,8,11,7,13,7,13,7,11,10,11,7.0,6,6,7,9,5,4,9,2.0,11,8,7,7,8,3,7,10,9,5,9,9,9,7,2,7,9,4,13,8,10,5,10,12,6,2,1.0,8,6,7,3,13,2.0,3,6,7,4,9,5,3,5,7,3,8,2.0,4,8,3.0,3.0,4.0,8,2.0,7,8,6,8,2.0,4,12,2.0,2.0,5,5,4,1.0,5,9,3.0,2.0,7,6,2.0,6,2.0,10,2.0,3.0,3,4,3,6.0,1.0,2.0,6,2.0,5,6,3,1,1.0,1.0,1.0
1,er-approx-est,2000,0.1,2000.0,1000,43.52343702316284,3359,0,82875141,9,10,28,,10,9,10,9,45,13,11,9,33,18,12,6,15,,7,9,10,9,11,11,3,6,7,11,41,36,17,10,88.0,39,9,9,12,13,13,9,8,15,15,9,,54,14,9,14,9,5,11,13,7,14,60.0,10,12,10,11,,6,13,12,13,9,11,11,9,11,11,11,13,15,,7,12,8,4,7,28,5,13,6,11,8,5,27,,7,18,13,9,10,16,7,11,6,8,13,11,8,35,6,7,4,6,16,11,9,5,42,7,20,8,19,12,74.0,10,8,10,11,12,30,9,114.0,5,3,9,13,11,60,14,13,11,11,14,11,11,9,37,11,7,12,8,8,10,15,11,11,40,6,139.0,6,9,28,35,13,,8,9,8,13,12,9,6,27,11,10,9,,18,10,,,,11,74.0,11,8,14,9,49.0,41,7,,46.0,14,9,8,,10,10,,,7,30,,20,,8,29.0,,9,25,13,,88.0,153.0,10,,12,5,9,34,,,
2,er-approx-est,2000,0.1,2000.0,1000,43.39565420150757,2928,0,98709849,10,8,29,,12,15,6,13,20,9,12,8,22,24,6,12,16,,7,14,12,10,11,7,10,7,17,14,9,21,12,8,120.0,18,7,8,34,15,11,19,12,22,7,8,,29,27,18,16,12,7,10,8,14,12,57.0,12,6,13,24,,11,13,14,10,15,6,25,15,17,14,10,7,9,,14,21,13,11,12,21,11,14,6,11,16,12,24,,9,18,9,11,16,17,8,8,23,4,17,13,11,25,10,7,10,6,21,12,16,10,15,14,26,9,17,14,,16,13,14,11,14,21,9,,14,12,11,17,11,29,20,9,12,17,21,10,11,10,24,9,10,26,9,15,14,18,5,11,27,12,,16,13,26,21,15,,9,5,25,18,7,11,25,22,12,9,15,,25,10,,,,23,37.0,15,15,17,16,37.0,27,13,,15.0,9,20,9,,9,8,,,14,22,,26,,10,23.0,,23,33,13,,,,9,,10,14,15,25,,,
3,er-approx-est,2000,0.1,2000.0,1000,252.15497589111328,2265,0,92333286,10,12,16,,25,11,9,7,10,11,12,11,8,15,11,13,9,,16,14,16,13,10,6,7,11,13,9,10,11,12,9,,15,6,12,11,7,8,7,8,9,16,12,,23,9,14,14,6,6,12,11,10,20,70.0,11,10,9,13,,15,10,6,11,16,12,11,6,12,8,12,9,13,,13,11,13,7,12,10,8,12,10,8,8,8,10,,15,12,8,6,10,10,13,9,13,8,9,11,6,10,18,10,11,6,15,9,5,7,10,6,18,13,6,10,,11,9,16,7,14,12,8,,7,10,9,6,18,52,14,15,13,12,14,8,8,11,12,16,11,7,8,12,10,9,10,10,10,8,,18,15,9,11,11,,9,8,5,9,15,10,7,9,17,9,10,,8,13,,,,16,75.0,14,12,9,14,64.0,7,10,,17.0,8,13,11,,9,14,,,8,16,,11,,9,7.0,,13,10,7,,,,8,,13,9,14,6,,,
4,er-approx-est,2000,0.1,2000.0,1000,42.18455982208252,1744,0,81603857,18,8,3,9.0,7,10,13,4,4,12,6,8,5,8,8,8,7,6.0,10,14,9,11,12,14,11,17,12,9,5,9,8,10,3.0,2,12,10,11,10,13,12,10,7,9,7,8.0,6,8,4,8,4,12,7,10,12,14,2.0,4,10,7,12,,6,10,11,11,10,14,12,6,16,8,7,12,6,,6,6,8,13,15,3,12,6,11,4,13,7,8,,7,6,12,13,15,10,6,12,10,8,10,10,10,6,11,15,10,4,12,9,5,9,3,9,2,8,10,7,4.0,14,3,13,7,13,4,9,1.0,9,8,8,17,8,1,6,5,9,10,7,15,12,13,6,11,7,11,10,12,8,13,16,11,3,16,5.0,13,14,1,7,9,,12,4,12,6,6,7,7,8,4,10,11,,9,11,,,8.0,13,3.0,9,5,13,3,2.0,5,8,6.0,4.0,11,8,9,13.0,8,13,6.0,2.0,9,5,,6,,10,,,9,3,7,,1.0,4.0,9,3.0,13,9,8,4,,,
5,er-approx-est,2000,0.1,2000.0,1000,42.394516944885254,3441,19,93607465,15,11,180,,12,14,13,11,112,9,13,7,83,18,10,9,9,,17,7,14,11,11,12,11,13,14,13,103,20,16,9,,93,16,16,17,7,8,7,12,14,13,13,,168,16,12,16,12,10,8,7,9,12,,11,15,6,16,,18,10,10,5,3,10,15,8,11,14,16,12,10,,5,19,15,5,11,54,21,11,16,18,7,11,8,,7,8,9,12,9,10,10,10,14,9,11,8,17,40,13,5,8,11,15,11,18,8,71,10,10,12,12,8,,11,10,10,18,14,108,15,,14,12,11,15,11,157,12,12,14,14,14,13,13,11,25,9,7,12,11,10,9,8,11,14,51,11,,8,11,22,32,8,,9,13,14,13,14,6,12,13,16,7,13,,11,11,,,,16,,6,12,15,13,,31,16,,94.0,10,7,8,,11,12,,,7,12,,20,,8,30.0,,19,18,12,,,,14,,13,14,14,29,,,
6,er-approx-est,2000,0.1,2000.0,1000,43.777547121047974,1579,0,81589629,12,8,2,2.0,11,5,6,9,2,8,11,16,3,8,9,9,8,,12,8,15,7,12,12,5,13,7,8,5,6,10,14,,2,13,9,5,8,14,8,8,5,11,10,2.0,2,2,9,7,9,6,7,8,13,6,1.0,4,11,9,7,,11,12,13,10,12,10,8,7,12,15,13,9,8,,13,6,12,13,11,1,6,4,8,10,6,7,8,,5,11,13,8,10,7,12,4,5,13,8,9,16,5,6,10,8,6,8,8,11,4,5,12,6,9,4,13,,4,4,9,9,2,8,11,2.0,10,11,14,3,7,2,3,8,8,14,10,17,11,14,8,17,9,8,11,12,4,5,6,14,10,9,,3,12,6,7,14,,13,3,7,5,10,11,7,5,11,8,8,,5,7,,,1.0,5,2.0,5,13,5,4,2.0,1,7,2.0,,13,5,12,,8,9,,2.0,11,2,,8,,7,7.0,,11,9,9,,1.0,1.0,8,1.0,6,10,6,10,,,
7,er-approx-est,2000,0.1,2000.0,1000,42.766544818878174,2746,7,85540746,9,11,15,33.0,13,22,10,16,17,11,11,8,17,22,8,5,14,15.0,12,13,8,8,7,13,8,13,13,9,11,10,11,7,10.0,8,7,13,8,11,8,8,6,7,10,17,29.0,11,25,19,16,7,10,16,10,12,12,12.0,9,11,8,16,,12,11,12,9,10,9,17,10,14,10,16,9,11,,7,17,11,10,11,14,8,17,11,6,7,14,18,,7,9,13,18,5,20,8,7,20,14,11,9,10,14,10,8,13,10,24,12,9,13,12,6,16,8,19,8,15.0,12,15,19,10,13,13,10,20.0,6,19,11,14,15,8,21,9,17,7,9,8,10,12,17,14,14,22,8,9,8,12,16,8,19,9,13.0,12,15,25,21,13,,13,12,15,18,6,14,11,17,5,6,5,,19,11,,27.0,32.0,21,13.0,17,11,15,10,16.0,21,12,46.0,8.0,10,19,8,24.0,13,14,43.0,12.0,8,16,,18,,7,13.0,,14,16,11,,12.0,19.0,14,44.0,8,13,14,14,,,43.0
8,er-approx-est,2000,0.1,2000.0,1000,42.01694297790527,2427,0,84141298,13,9,9,,13,18,6,11,17,13,12,8,16,25,8,10,9,8.0,10,16,8,7,7,11,10,10,12,16,11,15,11,11,4.0,21,8,8,19,11,12,11,11,18,14,9,,17,28,6,19,13,8,10,8,14,13,5.0,9,11,8,18,,9,12,11,7,7,14,19,5,9,11,17,8,13,,12,29,12,12,9,20,9,21,12,11,10,14,21,,13,20,8,11,9,16,6,9,15,14,10,12,8,16,12,17,18,12,11,16,10,6,25,14,22,11,9,17,10.0,9,9,14,11,16,10,7,9.0,17,11,5,6,9,14,20,14,7,11,11,10,8,6,20,7,15,20,13,8,10,13,7,10,15,8,4.0,7,8,22,13,7,,5,10,9,15,10,7,24,20,8,9,6,,18,9,,,11.0,10,13.0,15,13,8,15,9.0,15,11,,12.0,9,20,13,16.0,12,9,,12.0,11,21,,21,,11,18.0,,16,17,15,,14.0,6.0,14,,11,4,16,14,,,
9,er-approx-est,2000,0.1,2000.0,1000,42.58297109603882,3362,1,86182535,12,12,46,,8,11,16,16,34,11,9,8,28,6,4,14,12,133.0,13,4,13,11,6,16,7,6,13,10,19,10,10,11,73.0,31,15,6,8,11,14,10,9,12,12,6,,42,10,12,14,6,7,12,7,16,14,70.0,5,12,8,11,,6,8,5,9,12,14,9,7,8,5,9,13,11,,10,11,6,14,5,30,15,13,7,13,6,13,11,,6,12,9,12,12,16,8,7,13,7,6,11,9,15,12,10,10,3,11,6,8,8,21,9,10,7,7,11,72.0,10,12,6,12,11,19,12,74.0,11,12,6,9,8,53,14,13,10,9,4,12,9,10,13,6,13,12,8,10,13,9,9,13,26,9,82.0,12,9,18,16,6,,11,8,9,16,10,13,10,10,6,5,7,,6,6,,,141.0,10,67.0,11,12,10,17,61.0,23,9,,40.0,15,12,9,187.0,11,13,,88.0,13,10,,19,,11,21.0,,15,8,9,,84.0,53.0,11,,7,9,8,11,,,
