,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-53,count-199,count-177,count-30,count-197,count-194,count-14,count-133,count-134,count-186,count-142,count-78,count-24,count-175,count-115,count-110,count-108,count-141,count-181,count-132,count-173,count-140,count-119,count-138,count-198,count-174,count-135,count-59,count-80,count-188,count-155,count-182,count-159,count-58,count-16,count-99,count-147,count-38,count-126,count-55,count-169,count-193,count-81,count-178,count-153,count-129,count-31,count-15,count-192,count-148,count-143,count-9,count-12,count-191,count-183,count-18,count-185,count-190,count-79,count-20,count-160,count-166,count-195,count-29,count-8,count-4,count-124,count-100,count-43,count-189,count-131,count-139,count-117,count-49,count-95,count-172,count-97,count-168,count-176,count-162,count-98,count-157,count-36,count-196,count-161,count-180,count-42,count-179,count-105,count-26,count-39,count-33,count-122,count-187,count-150,count-145,count-85,count-87,count-152,count-10,count-25,count-92,count-48,count-171,count-200,count-5,count-23,count-77,count-164,count-137,count-64,count-75,count-70,count-88,count-34,count-167,count-116,count-149,count-22,count-51,count-113,count-90,count-114,count-136,count-154,count-163,count-103,count-72,count-52,count-66,count-101,count-144,count-7,count-158,count-151,count-44,count-37,count-146,count-118,count-170,count-112,count-69,count-61,count-40,count-107,count-84,count-106,count-63,count-91,count-17,count-60,count-54,count-35,count-127,count-50,count-6,count-184,count-102,count-67,count-3,count-83,count-93,count-28,count-130,count-56,count-165,count-76,count-19,count-128,count-32,count-104,count-68,count-82,count-27,count-121,count-111,count-11,count-123,count-73,count-156,count-96,count-41,count-21,count-47,count-46,count-65,count-74,count-71,count-120,count-125,count-13,count-57,count-94,count-45,count-62,count-89,count-86,count-109,count-205,count-208,count-204,count-209,count-201,count-202,count-210,count-216,count-206,count-203,count-207,count-211,count-212,count-213
0,er-approx-est,2000,0.2,2000.0,1000,81.5808961391449,3626,4,166959938,17,111.0,30,8,125.0,82.0,9,13,12,38,12,15,13,40,15,12,8,14,32,11,35,17,18,13,85.0,27.0,10,12,11,40,19,28,18,11,11,12,17,8,13,11,35,71.0,8,29,22,16,12,8,52,22,14,15,9,44.0,36,12,40,51.0,18,7,13,27,111.0,8,14,13,11,9,14,56,9,20,14,9,15,25,7,26,42.0,15,9,20,10,133.0,16,32,11,33,11,9,9,10,9,62,13,16,11,10,16,6,12,10,8,28,112.0,12,10,20,33,13,4,13,11,10,8,27,17,17,9,11,7,14,10,8,16,23,9,7,5,8,12,15,14,16,10,7,10,8,10,31,15,14,9,11,7,11,11,8,14,11,4,9,10,10,13,5,41,14,13,7,11,3,7,5,12,24,9,10,7,8,10,9,13,4,5,7,7,11,9,12,10,10,11,6,8,8,5,3,6,4,10,10,4,4,6,9,6,3,,,,,,,,,,,,,,
1,er-approx-est,2000,0.2,2000.0,1000,84.44799995422363,1574,0,153412672,8,2.0,11,12,3.0,3.0,4,6,8,4,11,7,8,5,12,10,10,8,4,6,1,14,11,7,,4.0,10,9,11,5,9,4,5,6,7,7,4,5,11,12,4,1.0,8,6,7,6,18,12,5,7,12,12,10,6.0,8,13,2,1.0,8,11,4,3,1.0,12,7,10,4,6,12,2,8,8,9,13,7,5,6,10,,5,12,4,9,1.0,5,5,9,9,10,13,8,11,7,3,7,7,6,11,6,10,11,6,5,3,1.0,10,6,10,9,10,10,9,10,12,7,5,5,7,10,10,11,5,6,7,6,9,10,15,9,5,16,1,4,3,10,12,10,10,5,6,12,4,7,4,10,9,12,12,9,13,10,10,9,8,9,12,8,4,9,10,8,13,4,8,9,4,10,12,8,7,7,14,8,14,10,8,9,13,12,2,7,5,11,3,11,9,8,8,9,14,9,8,10,9,7,11,13,6,4.0,4.0,1.0,2.0,1.0,1.0,,,,,,,,
2,er-approx-est,2000,0.2,2000.0,1000,83.6948790550232,1563,0,134191740,4,4.0,3,8,,1.0,7,11,8,2,11,5,10,4,11,12,7,13,2,12,2,8,9,8,1.0,,7,7,15,1,6,4,9,8,11,9,12,12,9,5,5,,12,6,9,9,7,8,4,11,7,14,7,,3,14,4,,8,11,6,10,1.0,7,6,7,7,12,11,3,10,6,10,11,9,11,9,6,5.0,10,14,10,9,1.0,2,2,14,3,10,9,6,6,12,2,6,11,8,7,14,5,12,8,8,4,,4,9,8,3,5,11,8,5,7,9,6,6,13,6,8,6,7,5,12,12,7,8,14,12,1,10,10,14,8,5,6,7,9,6,2,6,7,7,11,13,9,10,6,8,9,5,12,7,11,9,6,5,12,12,4,6,8,5,13,12,3,6,8,12,10,11,14,9,9,12,8,11,5,11,9,13,14,8,13,12,11,10,8,5,10,13,6,8,12,9,8,9,10,,,2.0,,2.0,,1.0,1.0,1.0,,,,,
3,er-approx-est,2000,0.2,2000.0,1000,133.21206521987915,1680,0,148770444,10,2.0,3,8,3.0,5.0,7,13,7,5,7,16,6,3,11,12,8,12,5,11,12,13,9,8,6.0,7.0,5,7,10,5,7,6,5,10,10,11,5,9,9,12,7,5.0,6,7,4,11,6,14,7,8,12,9,9,8.0,6,13,6,3.0,13,12,9,5,2.0,13,13,13,20,8,10,6,10,5,9,11,11,7,9,8,5.0,11,8,3,10,2.0,11,3,4,9,10,12,6,6,6,5,11,15,11,7,12,10,10,8,8,6,2.0,11,8,9,5,7,6,6,13,8,13,5,6,10,10,11,11,11,5,10,7,5,9,8,11,6,8,13,11,6,7,12,9,8,12,6,6,16,9,9,11,9,3,10,10,4,8,5,9,9,7,13,7,6,8,14,10,10,9,9,10,8,14,6,4,10,7,10,11,12,5,8,7,10,8,5,11,7,8,8,4,13,9,10,7,11,6,9,8,6,6,11,10,8,,1.0,1.0,1.0,1.0,1.0,,,1.0,3.0,1.0,3.0,,
4,er-approx-est,2000,0.2,2000.0,1000,78.66204881668091,2548,0,190352331,8,,13,8,,,12,7,7,44,9,12,6,12,17,15,11,6,20,17,8,11,7,9,,16.0,11,13,16,30,7,17,7,13,16,9,7,11,10,12,8,112.0,9,9,10,18,10,8,104,12,5,12,15,94.0,24,9,26,55.0,8,21,15,7,,6,12,13,13,12,6,45,14,9,10,12,7,11,5,10,11.0,3,11,6,12,,9,18,12,16,10,14,14,14,15,28,9,5,6,22,4,9,11,10,13,6,,7,11,13,7,11,15,8,6,8,10,11,7,8,10,15,12,12,24,11,7,18,10,11,10,5,12,10,4,7,12,8,3,9,5,13,17,10,11,15,15,11,18,11,7,6,10,18,13,11,17,17,30,13,11,15,9,13,10,9,14,12,11,15,11,7,9,15,10,7,16,11,11,11,11,6,15,10,3,9,7,13,11,11,8,8,6,14,16,10,10,14,13,8,,,,,,,,,,,,,,
5,er-approx-est,2000,0.2,2000.0,1000,76.1393039226532,1998,0,156690387,9,5.0,8,14,7.0,6.0,10,9,15,7,8,14,12,9,6,11,11,9,14,9,11,9,12,4,12.0,7.0,13,6,5,7,6,6,12,12,9,11,7,9,9,10,2,9.0,11,5,1,8,11,6,9,7,4,8,8,15.0,7,10,16,5.0,10,8,3,9,9.0,8,7,8,12,14,8,6,10,6,8,6,12,6,12,8,3.0,6,5,3,8,5.0,3,10,10,8,11,6,13,4,6,7,5,10,7,11,7,4,6,10,14,8,12.0,8,12,9,10,8,12,8,10,11,13,4,12,4,12,8,13,7,7,11,10,6,7,10,8,6,10,11,13,8,7,12,5,5,8,5,8,10,10,8,3,14,7,13,11,6,9,10,9,6,5,9,9,14,10,7,11,4,7,7,9,10,9,8,11,6,7,7,6,7,9,9,11,9,13,8,9,13,6,12,11,7,13,9,10,7,7,8,12,11,3,15,10,9,12.0,15.0,17.0,26.0,6.0,11.0,20.0,,13.0,14.0,12.0,30.0,45.0,65.0
6,er-approx-est,2000,0.2,2000.0,1000,77.72267007827759,1993,0,161043918,10,5.0,5,10,10.0,11.0,4,14,11,7,10,17,7,8,13,7,5,11,8,13,5,5,9,4,12.0,11.0,6,12,11,8,13,12,13,10,14,7,11,7,6,11,4,6.0,8,3,6,10,9,7,8,5,6,15,12,6.0,13,10,11,8.0,8,5,10,7,8.0,8,10,8,10,11,9,8,10,12,11,7,10,10,12,9,15.0,10,9,7,9,8.0,6,7,14,12,13,11,6,7,14,11,10,4,13,10,7,12,12,13,6,13,7.0,12,14,11,8,9,17,8,13,10,12,6,12,3,12,8,6,7,8,16,12,11,8,8,17,12,9,5,6,9,15,4,12,12,13,13,15,13,13,6,15,11,14,10,4,12,9,5,13,14,8,12,11,9,8,13,13,16,11,13,9,11,7,13,7,12,10,8,11,6,13,10,16,15,12,8,9,6,9,11,10,11,17,11,5,10,9,7,9,10,14,12,14,13,4.0,,7.0,,10.0,4.0,,,5.0,13.0,,,,
7,er-approx-est,2000,0.2,2000.0,1000,77.55267190933228,3165,0,177889929,10,,23,6,157.0,72.0,11,12,11,17,14,7,16,22,8,10,10,13,16,13,13,12,13,14,229.0,19.0,14,9,15,30,11,17,14,18,11,11,11,6,8,13,27,69.0,14,15,8,11,7,9,44,11,7,17,8,39.0,13,8,13,30.0,11,13,12,22,116.0,10,6,7,12,17,11,42,13,12,17,5,7,21,15,15,22.0,15,11,11,5,125.0,5,18,11,18,7,10,13,8,19,23,14,15,13,11,17,8,17,13,8,15,,11,8,14,15,11,7,7,9,15,7,14,12,11,1,7,12,10,20,13,18,24,8,12,12,6,12,27,19,15,15,7,9,10,20,23,17,10,10,7,8,17,8,10,12,11,12,11,10,9,7,9,14,9,15,5,12,11,7,17,11,11,7,11,11,12,12,10,15,7,11,10,14,11,15,14,14,6,6,6,14,11,11,8,9,10,12,6,10,10,8,6,8,7,,,,,,,,,,,,,,
8,er-approx-est,2000,0.2,2000.0,1000,77.20833802223206,2327,0,175041715,11,,10,10,,55.0,8,4,17,15,12,7,11,16,14,15,10,9,19,8,8,14,11,8,,13.0,10,9,13,15,8,14,5,18,9,8,11,11,11,19,7,21.0,8,14,12,1,12,13,31,15,12,10,4,17.0,16,17,13,16.0,7,6,9,9,61.0,11,7,8,8,5,9,19,14,11,9,11,15,11,11,13,11.0,11,18,9,10,103.0,8,11,16,14,10,12,9,9,6,21,13,4,10,12,13,10,10,11,11,6,,3,10,14,11,8,15,12,12,10,11,14,15,12,10,5,8,7,10,13,8,11,5,8,17,16,13,11,3,11,12,8,5,11,7,10,14,14,10,14,9,9,6,14,4,11,14,8,7,11,9,16,17,6,11,9,6,10,9,11,10,9,11,12,13,8,9,21,10,5,16,11,10,18,10,11,15,8,12,10,13,14,12,13,9,5,9,4,10,12,19,13,16,7,,,,,,,,,,,,,,
9,er-approx-est,2000,0.2,2000.0,1000,77.29455709457397,3272,0,187216549,12,,28,11,,,9,13,13,32,16,10,8,20,9,11,10,7,25,13,33,13,17,9,,17.0,11,11,10,79,15,26,19,10,7,9,7,6,4,8,12,306.0,6,28,13,14,3,11,241,19,7,11,8,159.0,23,8,40,117.0,11,11,11,16,,12,10,7,8,10,9,75,14,11,13,15,9,25,14,22,36.0,11,12,16,10,,14,27,13,24,7,7,8,15,10,57,18,14,13,2,19,10,12,6,14,11,,11,10,11,16,6,7,8,10,8,8,13,12,10,12,9,9,10,15,12,15,13,6,7,8,6,15,9,11,16,15,4,9,5,10,22,9,19,9,13,15,11,5,4,13,9,11,11,11,15,11,10,34,11,10,8,10,8,10,8,12,15,12,7,12,9,8,11,15,8,8,8,6,17,13,9,7,6,14,5,11,15,14,11,7,11,13,9,12,11,13,8,5,14,,,,,,,,,,,,,,
