,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-127,count-137,count-153,count-44,count-45,count-176,count-83,count-51,count-60,count-21,count-190,count-180,count-82,count-50,count-171,count-131,count-174,count-91,count-138,count-80,count-196,count-26,count-147,count-27,count-29,count-200,count-13,count-167,count-142,count-198,count-192,count-177,count-148,count-162,count-199,count-17,count-73,count-43,count-163,count-160,count-46,count-69,count-25,count-182,count-111,count-39,count-181,count-11,count-188,count-179,count-66,count-149,count-24,count-79,count-175,count-189,count-112,count-155,count-158,count-68,count-117,count-187,count-115,count-93,count-151,count-19,count-146,count-59,count-120,count-201,count-10,count-108,count-105,count-78,count-166,count-84,count-129,count-161,count-154,count-71,count-86,count-90,count-85,count-99,count-144,count-135,count-36,count-169,count-9,count-56,count-150,count-101,count-98,count-156,count-141,count-168,count-132,count-139,count-194,count-62,count-116,count-143,count-81,count-72,count-197,count-77,count-184,count-48,count-33,count-119,count-65,count-133,count-37,count-183,count-47,count-12,count-63,count-14,count-3,count-125,count-58,count-92,count-134,count-121,count-185,count-191,count-15,count-107,count-100,count-126,count-106,count-123,count-140,count-42,count-104,count-8,count-74,count-70,count-110,count-159,count-102,count-186,count-49,count-34,count-61,count-89,count-23,count-118,count-88,count-40,count-38,count-18,count-114,count-95,count-195,count-128,count-170,count-172,count-35,count-57,count-165,count-157,count-178,count-31,count-64,count-145,count-97,count-32,count-22,count-75,count-20,count-164,count-152,count-30,count-28,count-87,count-103,count-193,count-53,count-52,count-122,count-109,count-54,count-5,count-136,count-67,count-96,count-16,count-41,count-130,count-124,count-113,count-7,count-173,count-76,count-6,count-4,count-55,count-94,count-207,count-203,count-205,count-204,count-208,count-202,count-216,count-210,count-214,count-209,count-211,count-215,count-213,count-218,count-217,count-219,count-206,count-221,count-212,count-220
0,er-approx-est,2000,0.5,2000.0,1000,329.93501377105713,2277,0,413442908,9,10,14,16,6,14,13,10,12,11,10,15,10,12,13,12,12,8,12,17,16.0,5,16,10,9,45.0,12,8,8,32.0,14,15,19,12,21.0,9,7,14,13,20,9,8,11,11,9,14,12,9,13,14,12,10,13,15,4,6,14,18,22,11,17,11,15,10,12,11,13,8,8,35.0,11,14,6,10,18,9,9,8,17,14,8,17,10,13,16,15,4,16,14,16,17,16,10,15,13,13,11,11,11,9,11,20,13,6,31.0,9,8,12,12,19,11,12,11,5,8,9,11,6,9,13,16,13,17,11,16,11,11,8,13,9,10,8,18,10,9,11,9,5,14,13,12,16,5,9,6,6,6,11,7,8,9,12,10,12,17.0,13,10,6,6,9,10,11,10,10,7,11,9,7,9,6,7,17,9,3,8,11,10,7,10,5,12,10,5,10,7,8,3,9,12,11,8,9,8,10,7,8,4,7,7,,,,,,,,,,,,,,,,,,,,
1,er-approx-est,2000,0.5,2000.0,1000,186.19687294960022,2283,0,332977070,5,1,10,11,4,19,9,11,9,8,18,18,11,10,13,10,13,9,4,4,26.0,10,5,10,10,22.0,13,19,7,27.0,14,19,5,9,30.0,10,13,9,11,18,10,8,10,18,13,5,24,11,23,14,6,6,8,17,18,16,7,18,12,10,10,13,12,7,11,2,12,9,6,12.0,4,8,6,9,15,9,10,15,12,11,7,7,4,9,9,8,10,14,14,6,13,7,6,14,8,11,7,10,18,8,8,9,9,12,20.0,15,15,10,9,7,7,10,12,13,9,4,8,10,13,6,12,9,16,8,13,8,16,7,7,17,7,8,8,9,9,9,11,4,9,15,7,12,8,11,14,6,7,15,5,10,9,11,4,14,13.0,8,21,14,12,14,18,16,11,12,9,7,11,10,14,8,5,15,12,8,11,8,10,14,14,16,4,10,14,13,10,8,11,14,11,6,8,7,11,18,9,11,5,11,14,14.0,13.0,9.0,19.0,6.0,19.0,3.0,6.0,3.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,
2,er-approx-est,2000,0.5,2000.0,1000,189.3529291152954,2307,0,391698797,12,8,9,11,7,17,10,12,3,14,8,7,11,12,9,9,17,11,12,5,20.0,6,10,5,14,17.0,7,13,9,16.0,8,10,13,8,21.0,16,10,10,4,9,13,6,13,10,11,9,10,9,10,9,8,7,13,9,17,10,11,10,10,11,7,16,9,13,8,7,8,8,8,19.0,3,12,16,11,7,7,5,9,15,7,15,13,9,13,9,8,10,13,7,10,4,13,9,11,5,17,9,6,16,10,11,8,4,7,16.0,14,5,9,11,10,4,10,10,8,10,16,9,8,13,12,9,10,10,12,13,17,10,8,14,15,13,12,14,7,9,6,9,9,14,8,8,16,9,11,10,12,8,7,16,10,9,5,14,10,20.0,12,12,14,8,4,13,13,14,14,11,11,9,11,8,9,13,14,7,16,10,11,8,15,14,12,8,9,12,8,8,9,8,9,11,6,9,8,10,19,17,14,14,15,15,44.0,24.0,39.0,25.0,,29.0,,,,,,,,,,,37.0,,,
3,er-approx-est,2000,0.5,2000.0,1000,211.08741569519043,3601,0,367985399,13,13,18,4,12,31,11,10,8,7,43,23,4,7,23,16,28,8,15,11,37.0,16,12,3,6,27.0,10,13,15,23.0,41,28,12,21,31.0,9,8,10,25,19,4,11,9,18,11,12,24,13,29,31,12,14,10,13,22,37,10,18,25,7,6,31,18,10,20,11,13,5,14,32.0,8,14,10,11,16,12,12,30,23,8,14,12,8,10,20,15,6,26,9,11,13,8,6,27,15,21,10,9,37,5,5,19,9,10,48.0,11,36,17,9,18,8,11,7,24,10,8,5,11,7,15,8,7,7,15,27,50,10,10,19,13,14,15,9,11,15,12,9,12,5,25,10,30,12,8,9,6,10,14,6,13,7,13,9,7,30.0,13,32,23,13,13,19,27,37,6,11,19,14,7,7,13,10,16,18,8,7,12,9,33,7,12,13,10,11,11,11,8,11,12,14,19,9,11,9,21,9,12,19,15,7,82.0,38.0,38.0,27.0,133.0,20.0,,131.0,,112.0,,,,,,,50.0,,,
4,er-approx-est,2000,0.5,2000.0,1000,1015.8872699737549,3473,0,395006891,16,9,15,6,10,32,14,8,14,11,27,49,9,7,28,11,29,8,9,10,41.0,9,16,12,11,72.0,7,29,18,57.0,29,49,10,16,60.0,6,3,9,20,15,15,11,9,36,10,15,32,10,42,48,10,11,7,9,20,33,15,16,17,15,14,34,9,7,20,7,12,7,12,105.0,13,11,12,12,25,11,11,19,16,9,8,7,12,13,13,12,13,26,4,11,15,11,9,15,15,23,13,6,57,8,11,15,9,9,60.0,8,30,10,13,11,6,16,12,40,13,10,9,11,13,15,15,8,11,10,35,33,11,12,8,13,14,8,15,7,17,10,10,5,9,25,10,34,8,11,11,11,11,8,11,9,13,7,5,9,45.0,7,26,20,15,10,20,13,58,15,11,10,15,14,8,10,16,21,17,14,7,14,9,54,9,10,9,5,9,11,15,7,13,10,8,17,14,17,14,23,9,6,11,9,12,,,,,,182.0,,,,,,,,,,,,,,
5,er-approx-est,2000,0.5,2000.0,1000,183.35980582237244,2947,0,410144432,7,6,18,5,11,9,5,9,13,11,22,16,8,10,18,8,15,14,14,10,53.0,8,14,10,11,,15,15,15,90.0,22,15,14,18,300.0,6,5,14,22,18,15,11,10,20,14,7,11,16,21,14,6,15,18,10,22,22,12,20,17,9,5,22,15,7,18,5,8,8,7,,10,14,9,11,19,10,22,20,21,5,15,13,9,9,14,15,3,16,5,13,15,16,12,18,5,11,14,12,30,22,12,13,10,10,82.0,16,18,11,10,9,12,16,9,14,12,10,9,8,14,8,9,14,6,5,24,15,7,13,16,16,15,14,7,10,10,12,4,9,11,8,13,13,14,3,5,8,11,11,8,5,9,8,7,8,38.0,12,13,21,13,14,22,19,14,6,6,7,9,11,9,12,9,19,18,14,6,17,15,35,13,12,8,10,13,13,11,10,18,10,9,15,14,10,9,12,13,14,14,14,8,,,,,,,,,,,,,,,,,,,,
6,er-approx-est,2000,0.5,2000.0,1000,200.81773376464844,2145,0,406048915,6,9,3,13,12,10,10,14,8,13,11,9,7,6,5,7,3,7,3,17,17.0,14,4,2,14,26.0,8,8,6,9.0,13,11,8,8,26.0,13,9,11,6,10,18,5,14,5,10,13,6,7,8,7,4,8,11,8,5,6,15,10,8,11,11,10,6,15,5,9,8,14,8,25.0,12,10,8,10,8,4,5,5,4,7,17,5,3,11,4,8,17,5,6,8,7,11,9,7,6,4,5,7,14,11,8,3,12,14,16.0,11,12,13,5,8,12,8,8,1,12,5,9,13,14,6,10,10,5,10,5,11,10,13,10,9,14,2,11,9,14,14,9,18,6,5,7,7,8,10,8,7,16,8,13,19,10,8,9,10,20.0,9,4,7,5,7,5,4,7,8,9,7,11,14,7,10,8,9,4,11,13,14,7,11,15,22,6,6,10,7,17,13,15,9,8,6,7,8,12,8,8,12,9,14,11,,51.0,97.0,76.0,,38.0,,,,,,,,,,,,,,
7,er-approx-est,2000,0.5,2000.0,1000,178.47243213653564,1748,0,299632541,13,14,11,10,9,10,7,6,7,10,9,9,7,15,14,12,16,12,8,5,4.0,9,10,5,8,3.0,10,7,11,2.0,2,14,10,15,3.0,8,11,8,9,4,5,8,9,4,9,7,10,14,4,12,13,11,10,7,15,5,7,15,6,6,4,7,3,8,12,6,5,5,7,3.0,10,7,5,6,5,6,15,11,12,12,11,7,13,12,10,12,4,13,11,4,11,8,5,11,13,9,11,12,6,12,9,10,8,8,3.0,5,7,4,13,6,11,11,10,7,2,7,12,9,9,8,6,3,11,7,4,8,10,6,8,14,9,9,6,7,6,9,4,9,11,11,9,9,5,11,11,9,7,9,12,9,12,4,13,9,4.0,14,7,10,8,7,12,14,11,12,8,11,11,4,7,11,5,12,11,6,7,10,8,3,6,13,6,13,10,8,7,8,14,9,9,7,15,7,8,11,4,10,6,8,8,1.0,,3.0,4.0,,2.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,3.0,1.0,1.0,2.0
8,er-approx-est,2000,0.5,2000.0,1000,201.52046275138855,1759,0,361503593,3,10,12,8,12,3,7,8,11,12,10,6,8,10,8,14,5,4,12,8,8.0,10,9,5,8,11.0,6,13,8,10.0,5,12,10,12,11.0,6,11,8,10,8,9,10,7,5,7,10,6,6,16,2,9,9,8,13,11,7,7,6,6,5,10,6,9,8,10,7,9,17,9,12.0,11,8,14,5,5,6,7,7,16,8,16,5,8,6,7,10,6,4,11,4,10,9,8,12,9,9,8,11,5,7,6,11,9,5,5.0,5,7,11,14,10,11,4,11,10,5,8,9,7,5,5,9,11,3,5,6,14,10,7,8,6,5,10,11,10,5,16,9,7,3,14,2,4,8,10,10,6,13,11,7,9,5,5,7,6,8.0,6,4,4,8,5,7,13,3,5,13,6,11,8,8,6,9,9,9,8,4,8,6,7,13,12,10,7,9,9,8,5,8,9,7,10,7,12,8,4,6,6,6,6,8,4.0,11.0,10.0,13.0,7.0,10.0,1.0,5.0,7.0,6.0,10.0,5.0,10.0,8.0,3.0,,7.0,,7.0,
9,er-approx-est,2000,0.5,2000.0,1000,404.53959035873413,4409,0,435445708,5,26,9,4,4,33,14,13,5,10,152,40,7,9,32,16,15,11,9,12,,16,12,7,10,,11,23,14,,168,29,20,17,,8,10,10,22,16,11,8,6,42,7,10,50,10,179,25,11,9,5,10,32,187,14,12,13,15,8,163,10,10,12,11,15,9,13,,6,12,8,11,18,5,12,20,17,12,13,9,12,9,17,8,16,24,10,10,10,18,3,13,15,12,15,10,432,9,13,21,8,14,,12,100,7,7,15,10,10,6,65,10,7,8,3,14,7,12,15,15,10,96,167,11,9,16,7,8,12,13,16,10,14,14,8,8,21,10,124,7,11,11,11,8,12,6,10,15,10,9,12,,9,27,23,16,14,19,14,30,9,13,12,11,10,6,13,9,22,19,11,6,8,6,289,9,9,15,9,14,8,9,14,8,12,12,13,10,4,9,12,13,15,10,6,15,,,,,,,,,,,,,,,,,,,,
