,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-7,count-35,count-26,count-52,count-42,count-23,count-5,count-18,count-13,count-22,count-48,count-36,count-4,count-56,count-53,count-44,count-55,count-12,count-16,count-20,count-51,count-50,count-38,count-29,count-27,count-14,count-46,count-49,count-30,count-34,count-10,count-40,count-54,count-9,count-6,count-3,count-21,count-11,count-33,count-25,count-17,count-43,count-32,count-39,count-28,count-8,count-24,count-45,count-31,count-19,count-41,count-15,count-37,count-47
0,er-approx-est,200,0.1,200.0,1000,1.0335760116577148,198,0,36952,3,6,4,2.0,4,8,6,4,6.0,5,3,3,4,5.0,5.0,1,3.0,3,3,7,4.0,1,2,3,3,3,2.0,4.0,4,7,5,3.0,2.0,2,3,5,4,6,6,9,5,2,4,2.0,3,5.0,3,2.0,3,5,1.0,,,
1,er-approx-est,200,0.1,200.0,1000,1.0124969482421875,153,0,21327,4,3,6,1.0,1,3,2,2,2.0,1,2,3,4,,3.0,2,1.0,9,3,5,1.0,1,3,6,2,5,1.0,,1,4,5,1.0,,5,1,5,3,7,4,4,2,2,5,2.0,1,4.0,2,4.0,3,1,3.0,5.0,3.0,
2,er-approx-est,200,0.1,200.0,1000,1.0505859851837158,322,1,47693,4,4,2,,3,6,7,2,4.0,6,14,3,4,,,8,,5,6,7,35.0,21,5,8,5,5,9.0,24.0,4,4,3,4.0,,4,3,4,3,5,7,6,1,10,4,7.0,4,4.0,4,6.0,2,3,5.0,8.0,3.0,17.0
3,er-approx-est,200,0.1,200.0,1000,1.031193733215332,182,0,29945,4,3,2,1.0,2,8,5,7,6.0,3,3,5,2,,2.0,3,3.0,5,2,3,,1,1,3,2,5,3.0,1.0,1,8,6,1.0,,4,3,4,6,3,4,3,4,4,3,6.0,4,5.0,2,,10,4,4.0,4.0,2.0,2.0
4,er-approx-est,200,0.1,200.0,1000,1.0020489692687988,160,0,20600,2,2,6,3.0,2,3,3,2,5.0,3,1,2,1,3.0,1.0,3,3.0,1,6,5,4.0,3,4,4,6,4,2.0,1.0,1,2,2,2.0,3.0,4,4,4,5,1,8,4,2,1,5,3.0,3,3.0,2,1.0,2,5,,2.0,5.0,1.0
5,er-approx-est,200,0.1,200.0,1000,0.9897689819335938,134,0,21881,2,3,2,1.0,3,4,1,3,,6,4,1,3,1.0,1.0,2,1.0,1,3,4,2.0,2,2,4,4,3,,1.0,1,3,1,1.0,,8,7,6,2,1,1,1,8,1,4,1.0,2,3.0,3,2.0,2,4,3.0,5.0,,
6,er-approx-est,200,0.1,200.0,1000,1.011056900024414,178,0,23380,4,5,5,5.0,3,8,2,6,4.0,3,2,3,3,,,1,,4,5,3,,4,4,5,5,4,2.0,2.0,2,3,4,,2.0,6,7,2,5,6,2,6,5,6,4,,2,,2,4.0,5,3,4.0,2.0,2.0,2.0
7,er-approx-est,200,0.1,200.0,1000,0.9959757328033447,218,0,30810,5,2,1,1.0,1,5,2,3,5.0,6,5,3,2,5.0,4.0,5,6.0,3,3,4,5.0,2,2,5,3,5,3.0,9.0,2,2,6,5.0,2.0,6,4,4,4,3,6,4,9,4,9,5.0,3,1.0,3,1.0,3,8,5.0,3.0,5.0,6.0
8,er-approx-est,200,0.1,200.0,1000,0.9936590194702148,302,0,46796,4,7,9,,8,5,3,7,6.0,7,12,6,4,,,3,,3,2,8,18.0,7,5,4,4,3,11.0,14.0,3,8,3,7.0,,7,3,3,6,4,6,4,5,3,3,9.0,2,5.0,11,7.0,10,9,6.0,3.0,6.0,9.0
9,er-approx-est,200,0.1,200.0,1000,1.0231962203979492,220,1,33678,4,4,2,9.0,3,2,6,4,4.0,4,3,3,7,,3.0,5,6.0,1,7,7,6.0,8,6,2,4,1,6.0,7.0,7,3,3,1.0,18.0,2,4,2,2,4,4,2,2,4,7,3.0,5,4.0,2,3.0,3,1,3.0,1.0,4.0,2.0
