,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-47,count-34,count-46,count-27,count-31,count-41,count-17,count-55,count-40,count-29,count-19,count-9,count-11,count-54,count-42,count-30,count-23,count-49,count-24,count-14,count-25,count-52,count-6,count-50,count-5,count-45,count-21,count-44,count-16,count-15,count-22,count-3,count-33,count-18,count-20,count-39,count-32,count-26,count-48,count-12,count-36,count-38,count-35,count-28,count-8,count-43,count-53,count-51,count-37,count-13,count-7,count-4,count-10,count-56,count-59,count-58,count-57,count-60
0,er-approx-est,200,0.2,200.0,1000,1.2019670009613037,221,0,94114,4,9,7.0,8,6,8,5,5.0,3.0,3,2,3,5,4.0,4,6.0,3.0,1.0,7,6,6,3,4,4.0,3.0,6,1,4,4,5.0,3.0,2.0,7.0,3,5.0,1,2,6,3,3.0,8,7,3,4,6.0,3,3,3,3,2,1,3,1.0,,,,,
1,er-approx-est,200,0.2,200.0,1000,1.215834140777588,176,0,40682,2,4,3.0,2,4,1,3,,,5,3,6,3,7.0,2,4.0,3.0,2.0,3,3,2,4,4,,3.0,3,10,2,5,3.0,3.0,2.0,2.0,7,3.0,3,5,4,3,4.0,2,2,1,4,4.0,4,5,4,3,2,4,4,5.0,,,,,
2,er-approx-est,200,0.2,200.0,1000,1.230644941329956,259,0,74234,6,1,8.0,1,5,5,3,18.0,6.0,2,5,4,6,8.0,5,3.0,5.0,8.0,4,2,5,6,2,7.0,6.0,4,7,2,4,3.0,4.0,5.0,2.0,8,6.0,5,2,2,6,4.0,2,5,4,3,5.0,3,10,7,3,3,8,1,,10.0,,,,
3,er-approx-est,200,0.2,200.0,1000,1.2182791233062744,246,0,82903,6,8,2.0,4,5,1,5,8.0,2.0,1,6,2,7,12.0,4,3.0,,,6,2,6,5,4,7.0,3.0,6,5,6,5,4.0,2.0,5.0,3.0,5,6.0,4,7,5,5,5.0,2,3,6,8,6.0,5,8,9,2,5,3,2,5.0,,,,,
4,er-approx-est,200,0.2,200.0,1000,1.2468738555908203,165,0,74395,3,4,,3,3,3,2,,3.0,3,3,4,6,,2,2.0,8.0,4.0,3,1,3,3,3,2.0,4.0,3,3,6,4,2.0,,5.0,2.0,5,4.0,6,1,3,5,3.0,2,4,3,3,,3,4,1,1,7,3,7,3.0,,,,,
5,er-approx-est,200,0.2,200.0,1000,1.186141014099121,207,0,67861,1,1,3.0,3,9,5,4,2.0,2.0,2,3,3,2,3.0,2,,,5.0,2,3,2,4,4,3.0,6.0,1,3,8,6,3.0,3.0,5.0,,7,4.0,6,3,8,2,4.0,1,2,3,6,8.0,4,5,1,2,3,2,3,,3.0,11.0,7.0,7.0,2.0
6,er-approx-est,200,0.2,200.0,1000,1.2126002311706543,229,0,70716,7,4,2.0,3,2,7,7,,3.0,4,7,5,2,6.0,4,6.0,7.0,3.0,6,2,3,3,5,4.0,5.0,2,6,3,5,6.0,5.0,5.0,3.0,3,6.0,5,5,1,5,3.0,2,3,10,1,7.0,2,10,7,2,7,5,2,1.0,,,,,
7,er-approx-est,200,0.2,200.0,1000,1.184074878692627,218,0,65094,2,5,1.0,6,2,6,1,7.0,6.0,2,2,3,2,8.0,10,3.0,2.0,7.0,3,4,1,5,1,13.0,,3,2,2,1,,6.0,3.0,1.0,1,3.0,3,4,3,12,3.0,2,6,4,5,3.0,1,4,10,7,3,2,4,3.0,3.0,6.0,2.0,4.0,
8,er-approx-est,200,0.2,200.0,1000,1.2115540504455566,262,0,68944,5,5,5.0,5,5,5,4,6.0,4.0,2,8,1,4,4.0,4,6.0,4.0,9.0,1,4,5,4,2,9.0,7.0,7,3,3,1,9.0,7.0,3.0,5.0,4,1.0,5,4,3,5,,4,6,6,6,5.0,3,9,14,5,7,3,4,3.0,5.0,,4.0,,
9,er-approx-est,200,0.2,200.0,1000,1.1809449195861816,252,0,73717,5,4,5.0,2,6,1,2,15.0,3.0,5,2,6,5,21.0,2,1.0,4.0,10.0,3,6,6,6,1,15.0,,5,2,3,2,1.0,3.0,,5.0,2,,4,1,4,5,5.0,4,4,1,5,3.0,7,13,20,4,3,2,3,5.0,,,,,
