,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-21,count-5,count-44,count-31,count-57,count-39,count-45,count-24,count-37,count-25,count-3,count-28,count-54,count-42,count-32,count-61,count-12,count-22,count-15,count-7,count-27,count-14,count-26,count-6,count-33,count-50,count-29,count-47,count-41,count-20,count-19,count-34,count-13,count-43,count-30,count-8,count-46,count-18,count-9,count-16,count-11,count-17,count-36,count-49,count-48,count-35,count-23,count-4,count-55,count-60,count-56,count-62,count-10,count-53,count-51,count-52,count-40,count-38,count-58,count-59,count-63,count-64,count-67,count-65
0,er-approx-est,200,0.5,200.0,1000,2.098703145980835,153,0,121583,8,3,2,4.0,2.0,3,3.0,5,3.0,2.0,3,3,4.0,2,4.0,1.0,4,3,3.0,4,3,3.0,3,5.0,2,2.0,5,4.0,3,2.0,2,5,5,3,3.0,3,3.0,2,3,2,1.0,2.0,3.0,3,1,1,2,2,3.0,2.0,1.0,2.0,1,,,,,,,,,,,
1,er-approx-est,200,0.5,200.0,1000,2.1202340126037598,263,0,247751,3,3,9,7.0,,4,5.0,5,4.0,8.0,5,2,12.0,6,5.0,,3,1,9.0,4,1,3.0,3,2.0,4,12.0,3,6.0,4,3.0,1,5,3,7,3.0,3,6.0,4,7,4,4.0,1.0,4.0,8,6,2,3,3,,,,,8,14.0,12.0,13.0,4.0,2.0,,,,,,
2,er-approx-est,200,0.5,200.0,1000,2.1325628757476807,209,0,196436,1,7,2,4.0,3.0,4,5.0,3,5.0,3.0,4,4,,2,7.0,,5,4,5.0,3,9,11.0,4,5.0,6,4.0,7,4.0,6,3.0,4,5,3,5,2.0,6,4.0,1,5,1,3.0,1.0,3.0,6,4,2,1,1,2.0,,1.0,,4,,1.0,1.0,5.0,3.0,4.0,1.0,,,,
3,er-approx-est,200,0.5,200.0,1000,2.1552512645721436,246,0,224432,4,7,2,3.0,,4,2.0,3,2.0,3.0,1,5,28.0,3,,,5,5,3.0,1,5,3.0,3,10.0,3,14.0,3,5.0,3,4.0,4,8,4,7,5.0,3,7.0,2,4,2,6.0,,5.0,4,6,4,4,3,,,,,5,8.0,7.0,6.0,4.0,4.0,,,,,,
4,er-approx-est,200,0.5,200.0,1000,2.0630650520324707,162,0,123875,2,3,5,4.0,2.0,1,2.0,3,3.0,4.0,3,7,1.0,1,5.0,1.0,1,8,4.0,1,3,8.0,6,5.0,6,,2,4.0,4,5.0,4,2,4,1,,2,,1,2,5,1.0,3.0,3.0,2,1,3,2,1,1.0,,2.0,1.0,1,4.0,1.0,3.0,3.0,3.0,1.0,,1.0,,,
5,er-approx-est,200,0.5,200.0,1000,2.072809934616089,173,0,173276,1,5,7,,3.0,2,5.0,2,6.0,2.0,4,4,1.0,2,1.0,2.0,5,4,,2,2,4.0,2,4.0,5,2.0,2,3.0,2,,4,1,3,4,3.0,2,6.0,4,8,2,3.0,2.0,3.0,4,4,1,4,3,1.0,,4.0,1.0,3,,2.0,2.0,6.0,5.0,3.0,,,1.0,,
6,er-approx-est,200,0.5,200.0,1000,2.0681657791137695,181,0,130547,4,3,4,3.0,4.0,2,,5,2.0,3.0,2,2,1.0,4,3.0,2.0,7,5,1.0,3,4,,3,8.0,1,3.0,4,,4,5.0,4,5,6,5,1.0,2,3.0,4,3,4,4.0,5.0,,4,3,4,5,2,2.0,1.0,1.0,,3,3.0,1.0,3.0,3.0,3.0,,,2.0,,2.0,1.0
7,er-approx-est,200,0.5,200.0,1000,2.050748109817505,170,0,102457,1,4,1,6.0,1.0,4,2.0,7,,2.0,3,2,1.0,3,3.0,1.0,3,4,3.0,2,2,3.0,6,3.0,3,5.0,3,2.0,1,,1,3,5,2,1.0,4,2.0,6,3,4,2.0,3.0,,6,4,2,5,2,2.0,1.0,3.0,,5,3.0,3.0,4.0,3.0,2.0,3.0,3.0,,2.0,,
8,er-approx-est,200,0.5,200.0,1000,2.0663111209869385,154,0,108459,3,1,3,,,2,2.0,6,2.0,3.0,3,5,2.0,3,4.0,3.0,3,4,2.0,3,1,5.0,4,2.0,3,3.0,3,3.0,1,1.0,3,2,3,6,4.0,3,2.0,2,2,1,6.0,,6.0,4,1,4,2,5,2.0,,6.0,,3,1.0,1.0,1.0,2.0,1.0,,,1.0,,,
9,er-approx-est,200,0.5,200.0,1000,2.105719804763794,216,0,229291,1,1,7,5.0,1.0,7,6.0,3,9.0,,3,1,1.0,5,5.0,1.0,2,2,2.0,4,1,1.0,6,,2,4.0,3,9.0,3,2.0,4,4,3,10,2.0,5,11.0,4,1,4,,5.0,4.0,3,5,7,2,6,3.0,3.0,2.0,,2,5.0,5.0,3.0,6.0,6.0,2.0,2.0,,,,
