,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-5,count-9,count-10,count-7,count-8,count-3,count-4,count-12,count-6,count-11,count-13
0,er-approx-est,20,0.2,20.0,1000,0.1438281536102295,25,0,2,2,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3,
1,er-approx-est,20,0.2,20.0,1000,0.13225889205932617,20,0,0,1,2.0,1.0,6.0,1.0,6.0,1.0,,1.0,1,
2,er-approx-est,20,0.2,20.0,1000,0.12949299812316895,31,0,3,5,3.0,5.0,4.0,1.0,1.0,5.0,,5.0,2,
3,er-approx-est,20,0.2,20.0,1000,0.13237881660461426,18,0,0,3,2.0,,,3.0,2.0,1.0,1.0,3.0,2,1.0
4,er-approx-est,20,0.2,20.0,1000,0.12453603744506836,21,0,1,3,2.0,1.0,1.0,,3.0,5.0,4.0,1.0,1,
5,er-approx-est,20,0.2,20.0,1000,0.12370896339416504,10,0,4,1,,,2.0,1.0,2.0,,,1.0,3,
6,er-approx-est,20,0.2,20.0,1000,0.12906384468078613,29,0,8,4,3.0,2.0,6.0,2.0,2.0,2.0,4.0,3.0,1,
7,er-approx-est,20,0.2,20.0,1000,0.12561821937561035,18,0,0,2,,5.0,6.0,2.0,,,2.0,,1,
8,er-approx-est,20,0.2,20.0,1000,0.13622188568115234,21,0,53,1,4.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1,
9,er-approx-est,20,0.2,20.0,1000,0.1381819248199463,15,0,15,3,,3.0,,3.0,1.0,,,2.0,1,2.0
