,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-11,count-8,count-13,count-7,count-14,count-12,count-9,count-6,count-4,count-3,count-5,count-10
0,er-approx-est,20,0.5,20.0,1000,0.11637997627258301,24,0,18,2.0,4,2.0,2.0,3.0,2.0,2,2.0,2.0,2.0,1.0,
1,er-approx-est,20,0.5,20.0,1000,0.11137986183166504,20,0,60,2.0,1,2.0,5.0,1.0,,2,,1.0,2.0,3.0,1.0
2,er-approx-est,20,0.5,20.0,1000,0.12534213066101074,22,0,26,2.0,1,2.0,2.0,3.0,3.0,1,3.0,1.0,1.0,,3.0
3,er-approx-est,20,0.5,20.0,1000,0.10591411590576172,29,0,89,3.0,2,1.0,3.0,2.0,1.0,2,3.0,6.0,,2.0,4.0
4,er-approx-est,20,0.5,20.0,1000,0.10172390937805176,14,0,33,1.0,1,,3.0,,,1,2.0,1.0,1.0,3.0,1.0
5,er-approx-est,20,0.5,20.0,1000,0.11220884323120117,18,0,80,,1,1.0,3.0,4.0,1.0,3,1.0,2.0,,1.0,1.0
6,er-approx-est,20,0.5,20.0,1000,0.10628509521484375,23,0,102,2.0,1,3.0,3.0,1.0,2.0,2,2.0,2.0,2.0,1.0,2.0
7,er-approx-est,20,0.5,20.0,1000,0.10269713401794434,18,0,3,1.0,3,,,,1.0,1,2.0,2.0,3.0,2.0,3.0
8,er-approx-est,20,0.5,20.0,1000,0.10521292686462402,26,0,75,1.0,2,,1.0,4.0,3.0,2,6.0,1.0,3.0,2.0,1.0
9,er-approx-est,20,0.5,20.0,1000,0.10856986045837402,13,0,103,1.0,1,1.0,,1.0,2.0,1,2.0,,2.0,1.0,1.0
