,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-317,count-296,count-328,count-304,count-195,count-77,count-133,count-158,count-330,count-306,count-336,count-81,count-243,count-209,count-240,count-126,count-167,count-99,count-125,count-18,count-95,count-82,count-62,count-206,count-33,count-333,count-166,count-6,count-134,count-246,count-127,count-138,count-254,count-207,count-285,count-316,count-258,count-14,count-326,count-250,count-269,count-108,count-15,count-168,count-312,count-335,count-292,count-29,count-327,count-252,count-54,count-230,count-109,count-334,count-152,count-281,count-331,count-78,count-203,count-27,count-176,count-113,count-37,count-129,count-124,count-93,count-85,count-96,count-279,count-242,count-173,count-130,count-136,count-329,count-117,count-66,count-43,count-64,count-56,count-102,count-228,count-80,count-169,count-278,count-293,count-299,count-74,count-325,count-8,count-208,count-284,count-236,count-32,count-286,count-57,count-260,count-83,count-50,count-340,count-30,count-58,count-38,count-338,count-111,count-298,count-308,count-295,count-171,count-55,count-13,count-60,count-150,count-291,count-46,count-160,count-71,count-34,count-290,count-234,count-305,count-24,count-45,count-131,count-181,count-178,count-311,count-26,count-337,count-48,count-151,count-323,count-12,count-132,count-52,count-245,count-159,count-137,count-119,count-88,count-89,count-192,count-147,count-319,count-202,count-219,count-314,count-224,count-324,count-162,count-180,count-92,count-120,count-106,count-332,count-315,count-153,count-154,count-239,count-73,count-41,count-44,count-309,count-110,count-49,count-11,count-211,count-288,count-247,count-255,count-51,count-321,count-275,count-253,count-115,count-69,count-19,count-257,count-276,count-204,count-318,count-16,count-198,count-262,count-265,count-90,count-40,count-191,count-94,count-135,count-146,count-65,count-273,count-72,count-277,count-194,count-156,count-184,count-182,count-310,count-17,count-141,count-67,count-35,count-42,count-172,count-98,count-249,count-39,count-116,count-307,count-200,count-70,count-297,count-302,count-79,count-114,count-294,count-47,count-20,count-320,count-248,count-183,count-283,count-193,count-103,count-232,count-75,count-123,count-225,count-189,count-282,count-86,count-274,count-322,count-4,count-313,count-213,count-9,count-241,count-61,count-31,count-170,count-251,count-196,count-220,count-144,count-76,count-59,count-174,count-221,count-63,count-212,count-215,count-3,count-36,count-163,count-28,count-68,count-87,count-53,count-104,count-139,count-268,count-223,count-227,count-280,count-233,count-217,count-97,count-142,count-185,count-128,count-121,count-112,count-226,count-100,count-270,count-122,count-256,count-21,count-259,count-199,count-287,count-263,count-300,count-272,count-91,count-237,count-303,count-5,count-301,count-101,count-205,count-222,count-105,count-289,count-84,count-149,count-190,count-261,count-264,count-229,count-165,count-118,count-164,count-25,count-177,count-23,count-210,count-161,count-140,count-188,count-148,count-145,count-271,count-266,count-155,count-10,count-179,count-235,count-7,count-157,count-244,count-267,count-218,count-216,count-143,count-107,count-186,count-214,count-238,count-22,count-175,count-201,count-187,count-197,count-231,count-349,count-347,count-339,count-341,count-351,count-348,count-354,count-352,count-353,count-350,count-343,count-345,count-342,count-344,count-346
0,er-approx-est,5000,0.05,5000.0,1000,152.96971106529236,5442,394,555406395,30.0,17,33.0,25,9,13,15,11,81.0,28,70.0,19,4,15,9,18,9,14,14,25,16,12,23,7,19,70.0,18,20,13,7,14,9,11,17,16,16.0,9,15,39.0,8,14,17,13,10,16,87.0,20,18,17.0,11,14,10,11,71.0,13,12,46.0,23,15,19,8,18,18,12,18,15,19,13,11,7,11,9,13,37.0,10,10,20,17,8,22,14,16,9,13,22,26,9,29.0,12,15,18.0,14,15,22,13,15,20,12,70.0,19,15,16,67.0,19,28,26,28,17,12,14,15,12,23,17,12,12,18,20,11,26,18,17,17,14,11,19,16,73.0,11,13,26.0,14,13,20,10,7,13,14,13,14,5,10,25.0,8,10,24.0,7,22.0,13,14,18,16,13,131.0,17,13,9,13,18,14,14,22,19,18,17,10,17,11,9,21,22.0,12,9,15,10,14,11,12,11,17.0,10,11,9,15,18,22,18,17,22,12,16,12,21,18,14,13,11,8,15,18,14,12,13,11,12,21,8,12,19,15,15,16,16,27,11,18,14,17,16,15.0,11,19,17,7,14,9,17,20,10,13,16,16,12,16.0,16,15,13,10,8,12,15,11,9,7,4,10,11,7,16,7,15,8,11,17,16,14,9,16,6,10,12,25,9,7,11,17,11,8,13,17,12,13,20,18,10,17,10,14,8,10,15,11,18,15,20,13,12,11,18,18,17,18,10,5,15,17,11,15,5,6,7,10,15,16,11,16,16,15,9,14,17,9,12,13,7,8,13,19,9,13,10,13,8,12,6,6,10,14,6,13,9,14,10,11,8,7,6,,,,,,,,,,,,,,,
1,er-approx-est,5000,0.05,5000.0,1000,172.2512719631195,5595,1,543073601,21.0,18,15.0,28,13,8,15,10,11.0,48,25.0,18,11,14,14,20,10,22,7,14,13,15,16,18,15,21.0,8,10,14,20,17,11,17,16,15,25.0,14,25,16.0,12,12,5,11,15,35,26.0,18,12,20.0,14,17,7,14,31.0,13,20,24.0,21,20,15,9,7,15,21,13,8,20,11,8,12,13,10,15,19.0,15,15,15,12,18,17,14,9,6,9,22,35,12,11.0,11,10,13.0,7,15,19,20,7,11,14,27.0,11,14,14,25.0,20,35,52,17,12,15,8,16,13,21,18,16,13,18,19,13,26,17,15,18,10,10,36,17,27.0,13,15,20.0,12,12,16,12,9,14,21,12,10,7,14,23.0,5,13,23.0,18,16.0,15,16,17,10,15,19.0,35,17,10,7,15,14,19,38,14,13,14,14,19,11,12,16,12.0,10,13,9,16,9,6,13,16,27.0,12,19,13,6,16,12,8,7,11,12,6,14,14,11,12,13,11,9,44,15,12,21,14,12,12,17,11,12,24,38,7,18,21,42,19,17,16,9,17,17.0,16,20,9,12,10,12,16,25,12,12,12,10,7,14.0,13,41,15,16,6,16,17,12,12,12,9,8,15,15,13,11,9,14,6,14,19,17,12,13,12,13,9,12,9,7,9,13,12,13,15,18,10,11,17,14,13,20,15,11,8,15,10,14,21,14,31,13,12,13,32,15,42,19,14,12,13,8,16,10,14,5,7,10,9,8,14,15,14,14,15,10,12,14,17,22,9,9,18,14,15,9,11,14,9,7,12,7,5,19,10,12,15,12,15,19,10,13,12,38.0,39.0,32.0,27.0,51.0,25.0,54.0,42.0,61.0,26.0,28.0,19.0,24.0,22.0,26.0
2,er-approx-est,5000,0.05,5000.0,1000,152.70473432540894,4185,0,564678680,9.0,1,9.0,6,15,16,15,14,14.0,4,57.0,20,8,8,9,24,10,16,13,17,18,17,22,10,11,29.0,16,14,14,6,14,14,4,12,5,4.0,10,10,7.0,9,8,16,13,11,2,93.0,4,17,8.0,11,21,12,17,29.0,17,4,9.0,16,14,18,14,20,30,12,11,29,20,18,6,5,10,20,12,15.0,15,20,14,20,23,24,7,12,14,3,4,2,16,2.0,8,10,7.0,9,18,5,17,3,11,18,,17,13,17,,14,5,6,5,12,15,13,16,10,1,18,9,13,22,3,12,4,19,16,17,20,11,3,20,,19,15,10.0,18,18,18,11,15,14,9,22,12,8,16,4.0,12,12,1.0,9,2.0,16,12,14,17,15,27.0,4,15,11,7,14,11,23,4,11,14,15,18,5,7,10,15,3.0,5,9,20,13,15,9,9,16,5.0,22,15,4,8,16,16,12,14,10,18,14,9,14,8,17,13,11,5,5,15,10,15,13,9,17,15,7,13,9,2,6,20,3,5,8,9,3,17,10,4.0,8,7,6,10,13,12,14,20,8,8,3,12,5,3.0,11,3,11,10,7,13,23,17,13,12,8,18,13,15,15,4,27,7,14,18,11,14,16,16,23,14,19,9,3,9,9,4,11,11,23,19,12,21,20,18,8,14,7,11,9,9,7,10,5,4,6,9,20,4,4,7,6,19,10,14,21,8,19,17,11,5,10,10,14,23,12,14,16,11,5,12,17,17,16,13,4,7,14,22,5,11,13,13,5,10,12,11,17,19,7,7,12,21,17,16,17,12,8,,,,,,,,,,,,,,,
3,er-approx-est,5000,0.05,5000.0,1000,155.88793396949768,24874,5661,556883588,1186.0,109,,322,14,11,20,20,,412,,17,24,20,19,17,14,20,16,17,12,15,12,9,8,,19,16,14,29,14,13,36,18,82,982.0,37,8,,25,56,17,19,17,825,,97,16,,23,13,14,21,,8,46,,16,18,21,19,12,14,19,20,19,21,16,59,16,10,21,18,,12,16,13,13,17,19,11,15,8,51,104,182,22,,16,16,72.0,14,15,65,13,20,14,13,,18,24,13,,9,150,630,118,16,15,12,13,17,103,18,19,12,16,112,22,363,9,19,13,17,18,849,18,,17,12,,16,17,16,16,16,19,12,14,17,22,15,1313.0,10,20,1286.0,12,,26,14,11,18,15,,1183,13,14,17,13,13,9,605,8,26,14,13,83,22,31,18,1170.0,50,22,17,15,20,39,51,11,934.0,20,12,33,39,18,12,16,15,11,16,12,37,19,56,14,18,7,14,709,14,17,13,7,22,16,19,26,13,7,698,5,19,143,242,14,15,103,11,15,1211.0,15,18,71,16,17,19,13,23,18,11,68,15,54,1120.0,14,1137,14,20,23,12,15,20,21,15,20,19,17,10,19,21,21,20,16,16,20,15,16,11,24,13,17,20,55,18,8,65,17,18,14,12,15,19,14,13,13,21,48,14,34,19,30,15,85,35,199,66,15,14,261,3,200,18,19,12,17,97,25,14,14,40,33,20,19,21,25,15,13,16,14,20,11,13,16,21,34,35,22,13,16,17,21,9,19,34,11,9,14,17,24,13,15,12,7,22,10,13,15,,,,,,,,,,,,,,,
4,er-approx-est,5000,0.05,5000.0,1000,175.41807007789612,4925,0,551232549,4.0,7,7.0,6,16,16,9,10,9.0,5,4.0,16,23,18,17,17,16,24,14,21,23,14,9,16,12,2.0,16,14,18,17,17,10,18,21,6,2.0,19,15,3.0,24,16,18,15,18,5,7.0,11,17,3.0,22,19,19,11,7.0,15,14,4.0,16,12,17,12,10,11,18,17,20,18,18,18,27,17,12,14,6.0,12,15,14,19,21,11,21,11,10,13,9,7,15,4.0,13,18,10.0,24,17,16,13,25,13,15,13.0,11,14,15,6.0,20,6,5,6,7,11,15,17,12,16,12,15,15,15,6,21,5,15,20,14,18,23,5,17,3.0,17,18,5.0,10,14,15,19,11,8,18,13,15,12,18,3.0,17,18,2.0,18,1.0,13,8,13,9,18,7.0,5,17,14,14,13,16,17,3,12,8,21,14,9,21,24,11,4.0,22,36,11,15,12,29,23,15,5.0,14,13,19,16,9,13,11,10,16,12,16,18,20,15,16,8,12,18,6,13,15,11,24,16,20,23,17,18,17,2,20,15,2,8,16,15,10,13,20,1.0,22,19,12,14,16,17,15,18,22,10,18,22,19,3.0,13,1,14,12,13,19,10,13,25,15,12,14,20,12,13,21,13,14,20,23,13,16,14,10,21,15,9,22,19,20,10,15,22,19,11,9,12,20,14,8,12,15,15,20,15,13,15,18,19,16,6,24,16,28,5,14,4,17,16,13,16,11,14,19,14,20,16,21,16,11,14,21,20,17,12,13,14,12,10,10,15,11,14,16,14,27,17,17,26,22,20,12,14,14,13,15,20,16,18,19,13,20,11,,14.0,6.0,6.0,,,,,,,15.0,15.0,10.0,15.0,23.0
5,er-approx-est,5000,0.05,5000.0,1000,739.8072340488434,7302,1,550326702,43.0,46,20.0,47,23,9,14,18,19.0,50,28.0,12,29,17,20,12,9,21,21,19,15,14,15,17,20,32.0,18,11,17,36,13,20,28,21,29,40.0,29,13,38.0,21,34,16,17,20,47,16.0,42,14,15.0,20,9,21,16,15.0,18,38,20.0,16,15,16,14,19,15,13,16,11,16,15,28,29,9,14,16,35.0,18,12,17,13,15,15,26,13,14,26,58,53,22,43.0,18,11,27.0,27,17,44,16,30,14,14,,14,20,9,19.0,19,53,56,51,18,6,13,17,18,37,14,10,16,18,38,14,56,7,15,10,16,18,46,9,30.0,21,17,32.0,12,13,13,26,20,12,18,17,12,18,19,50.0,9,23,58.0,21,53.0,11,15,21,15,20,20.0,38,12,24,23,8,13,20,42,21,19,11,16,41,29,20,19,33.0,31,26,10,14,10,24,29,10,35.0,5,20,33,29,11,19,14,12,16,22,11,36,13,23,15,17,16,11,33,16,19,14,11,18,12,19,23,19,21,49,16,20,43,43,12,15,43,15,15,45.0,20,17,37,20,14,20,17,15,15,12,28,15,27,43.0,28,51,22,12,28,20,16,16,31,10,26,14,17,12,19,20,16,22,23,17,24,14,13,17,14,15,15,15,35,19,19,38,22,17,24,11,15,16,12,13,12,21,29,18,30,18,22,14,44,29,45,34,7,22,41,18,41,13,23,20,10,39,12,21,16,35,28,24,16,15,14,15,21,13,31,18,20,21,17,19,28,33,10,16,15,29,12,20,22,34,23,26,12,17,18,20,25,13,17,17,24,8,26,,,26.0,,,,,,,,,,,,
6,er-approx-est,5000,0.05,5000.0,1000,150.75531005859375,4039,0,562002748,,4,,8,12,6,21,16,,19,,12,9,9,11,10,13,19,13,16,16,15,19,16,9,,13,15,13,7,20,18,5,11,1,,4,12,,11,5,24,15,19,14,,7,10,,6,12,8,18,,7,3,,11,6,23,12,15,16,16,12,13,11,14,5,3,12,16,8,,13,16,22,10,13,13,9,16,8,4,8,7,17,,14,5,5.0,7,17,9,17,8,18,17,,14,18,23,,18,6,16,5,15,14,20,20,16,6,22,14,16,17,8,10,11,18,18,24,11,10,32,15,,16,20,,12,18,18,9,21,10,24,12,17,9,14,,9,7,48.0,6,,13,7,26,13,14,,63,18,22,5,19,13,17,12,15,14,19,7,9,9,8,16,,3,5,18,24,21,11,3,5,,14,12,10,3,12,26,13,22,16,21,21,4,18,1,16,14,14,6,19,18,14,21,13,15,12,9,8,15,13,11,8,20,4,8,13,15,1,11,18,,5,9,6,6,15,10,15,13,10,10,3,23,5,,20,50,8,19,4,12,13,11,5,10,8,13,22,17,7,6,19,7,11,18,18,10,12,19,18,19,20,16,3,8,7,6,5,9,11,14,12,16,17,21,7,12,7,26,6,19,8,5,6,3,3,5,18,9,9,8,9,15,6,6,17,3,20,16,12,7,6,13,12,15,15,22,11,13,5,18,13,11,14,20,3,7,22,21,14,12,19,17,12,10,11,8,12,18,4,6,6,20,15,11,12,8,8,,,,,,,,,,,,,,,
7,er-approx-est,5000,0.05,5000.0,1000,147.43032717704773,14359,2152,555012466,,172,,363,6,22,9,14,,685,,21,13,18,14,13,12,13,20,13,22,17,11,9,13,,13,7,11,17,12,14,14,8,64,,12,18,,17,17,11,14,10,670,,129,16,,13,17,14,11,,14,44,,12,18,8,18,18,18,24,16,15,13,8,51,15,10,14,24,,22,15,20,14,8,16,10,16,18,45,156,268,14,,11,9,73.0,22,21,65,9,21,18,19,,15,24,15,,24,263,516,225,14,13,15,14,11,112,15,10,14,12,106,17,465,16,10,16,15,4,657,21,,15,16,,17,9,13,10,20,19,13,16,16,8,16,,9,10,,13,,13,17,23,15,17,,533,8,19,13,15,18,15,903,17,9,20,20,91,19,14,14,,39,18,11,32,19,15,28,12,,16,7,17,14,13,20,11,16,12,8,13,25,13,32,9,15,11,12,598,11,18,19,20,12,5,21,28,16,8,493,8,13,161,389,12,23,151,16,11,,10,14,61,7,7,13,10,15,17,12,45,22,39,,16,575,14,18,12,19,15,9,14,19,16,14,11,15,14,12,15,13,15,9,14,18,21,10,20,18,15,12,19,13,13,52,12,9,11,11,15,10,10,16,15,13,13,18,24,18,13,12,87,21,278,11,11,12,431,21,278,13,7,9,12,96,9,15,9,14,19,13,11,17,13,13,13,15,8,9,15,12,13,13,19,24,14,15,12,11,7,14,13,13,14,7,13,10,9,13,17,11,21,15,6,6,13,,,,,,,,,,,,,,,
8,er-approx-est,5000,0.05,5000.0,1000,168.39235711097717,4567,0,546895785,13.0,3,15.0,8,18,20,10,16,9.0,7,9.0,14,8,16,9,27,10,16,13,13,13,14,24,16,9,3.0,18,13,15,11,17,10,18,17,5,8.0,7,17,12.0,14,6,26,9,12,4,17.0,7,13,8.0,14,10,14,16,14.0,11,6,8.0,14,12,13,14,17,14,16,10,18,12,15,5,11,16,17,16,9.0,12,16,11,14,11,10,18,15,20,10,1,5,19,10.0,15,9,,14,15,6,17,12,19,16,10.0,18,17,13,10.0,11,2,6,4,17,18,12,11,15,3,17,19,16,13,6,17,6,15,9,15,9,8,4,15,9.0,12,12,9.0,9,12,12,11,19,14,16,20,14,13,15,5.0,16,10,8.0,8,8.0,23,14,12,17,10,14.0,7,19,15,17,12,17,20,5,10,18,9,15,4,11,9,14,5.0,11,10,13,13,14,7,5,13,5.0,22,16,10,7,19,21,9,15,11,10,9,7,12,5,8,10,13,15,8,14,20,11,10,13,11,16,11,15,13,6,9,17,10,7,17,16,4,16,13,6.0,10,12,4,17,16,18,8,15,11,25,5,15,10,11.0,7,3,14,11,13,12,15,16,9,13,11,9,11,11,13,13,21,17,18,15,15,19,11,9,15,13,14,16,10,10,11,3,11,16,13,19,19,15,18,11,10,14,10,10,13,18,10,6,5,12,4,3,15,8,9,20,11,14,11,5,11,8,10,10,19,11,16,14,15,15,16,8,11,12,10,10,21,11,19,17,8,9,12,15,16,9,10,8,21,11,10,16,11,20,20,12,8,17,10,14,14,16,12,25.0,13.0,16.0,18.0,37.0,17.0,39.0,37.0,58.0,39.0,21.0,15.0,23.0,27.0,22.0
9,er-approx-est,5000,0.05,5000.0,1000,145.98597311973572,8560,333,554508737,112.0,84,,46,9,14,15,19,,46,,15,22,10,23,14,17,13,25,12,15,14,20,9,14,,13,13,18,19,18,13,23,14,59,86.0,31,15,188.0,21,47,21,17,19,41,,55,13,,28,11,14,18,,16,70,,19,22,14,27,13,19,16,12,12,28,13,54,25,13,15,17,,15,12,9,12,10,11,16,13,16,63,54,53,14,235.0,20,14,64.0,29,20,46,15,27,16,10,,15,17,16,,22,72,38,43,18,16,15,13,8,48,16,14,9,13,57,18,44,13,12,16,25,10,28,12,,12,14,61.0,10,19,16,25,18,16,17,11,19,16,18,213.0,19,17,45.0,15,127.0,23,8,12,15,15,,49,20,17,21,15,15,17,44,22,15,16,16,81,24,25,14,109.0,53,29,18,13,12,24,55,14,121.0,13,18,25,25,13,12,18,18,14,11,16,53,19,53,11,10,21,13,30,16,20,18,18,18,20,14,30,20,13,29,14,17,71,40,15,13,68,12,11,103.0,17,19,62,16,22,18,13,26,13,9,62,16,42,223.0,13,47,13,15,20,14,18,19,19,12,14,11,16,15,16,14,16,21,22,17,14,23,16,7,11,23,14,8,41,12,14,54,17,21,15,15,14,12,21,11,24,13,43,14,20,10,35,20,74,42,53,33,14,19,74,9,58,19,13,15,15,58,10,21,21,28,26,15,20,20,22,18,18,12,21,10,15,17,16,23,53,44,18,18,15,25,16,9,18,39,21,14,11,20,12,13,19,20,12,11,12,17,19,,,,,,,,,,,,,,,
