,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-73,count-17,count-200,count-60,count-149,count-310,count-224,count-217,count-157,count-56,count-254,count-80,count-240,count-33,count-42,count-150,count-166,count-313,count-29,count-168,count-76,count-84,count-208,count-117,count-250,count-180,count-122,count-279,count-75,count-65,count-169,count-4,count-55,count-124,count-13,count-261,count-8,count-340,count-221,count-225,count-64,count-309,count-265,count-70,count-39,count-129,count-61,count-210,count-156,count-59,count-113,count-231,count-258,count-81,count-293,count-197,count-89,count-92,count-54,count-155,count-229,count-218,count-209,count-123,count-245,count-126,count-132,count-222,count-110,count-302,count-324,count-195,count-72,count-151,count-305,count-66,count-100,count-58,count-158,count-182,count-25,count-290,count-259,count-20,count-48,count-275,count-133,count-10,count-121,count-274,count-187,count-37,count-251,count-154,count-86,count-178,count-271,count-146,count-203,count-287,count-130,count-336,count-107,count-247,count-234,count-223,count-256,count-131,count-159,count-181,count-14,count-191,count-211,count-45,count-96,count-167,count-295,count-184,count-235,count-99,count-143,count-161,count-307,count-238,count-173,count-18,count-337,count-145,count-205,count-5,count-299,count-35,count-57,count-63,count-78,count-74,count-6,count-213,count-199,count-253,count-298,count-43,count-312,count-152,count-79,count-85,count-273,count-206,count-171,count-341,count-326,count-23,count-120,count-91,count-311,count-109,count-44,count-228,count-325,count-249,count-68,count-323,count-21,count-170,count-153,count-264,count-127,count-16,count-267,count-241,count-141,count-47,count-244,count-62,count-52,count-98,count-49,count-174,count-201,count-164,count-69,count-268,count-53,count-230,count-82,count-148,count-108,count-87,count-7,count-269,count-38,count-28,count-160,count-32,count-292,count-285,count-144,count-83,count-95,count-266,count-137,count-71,count-177,count-163,count-19,count-188,count-36,count-243,count-190,count-179,count-186,count-277,count-246,count-135,count-104,count-252,count-220,count-128,count-114,count-233,count-119,count-101,count-41,count-24,count-125,count-51,count-116,count-30,count-115,count-212,count-227,count-207,count-248,count-317,count-142,count-314,count-216,count-34,count-283,count-172,count-306,count-303,count-196,count-147,count-262,count-138,count-15,count-255,count-136,count-226,count-219,count-263,count-193,count-232,count-183,count-304,count-50,count-321,count-88,count-270,count-40,count-31,count-291,count-332,count-118,count-320,count-202,count-297,count-185,count-242,count-318,count-112,count-214,count-272,count-26,count-67,count-134,count-103,count-3,count-162,count-301,count-294,count-77,count-194,count-106,count-11,count-90,count-215,count-46,count-276,count-239,count-175,count-189,count-329,count-192,count-9,count-288,count-97,count-308,count-140,count-102,count-111,count-284,count-105,count-327,count-331,count-176,count-165,count-260,count-12,count-22,count-296,count-342,count-281,count-236,count-319,count-204,count-27,count-94,count-300,count-315,count-93,count-282,count-278,count-316,count-139,count-257,count-333,count-280,count-330,count-338,count-237,count-198,count-289,count-322,count-286,count-344,count-339,count-343,count-334,count-346,count-345,count-348,count-351,count-349,count-328,count-347,count-350,count-335,count-360,count-355,count-371,count-372,count-374,count-361,count-357,count-373,count-356,count-353,count-354,count-367,count-369,count-366,count-375,count-363,count-358,count-364,count-368,count-365
0,er-approx-est,5000,0.1,5000.0,1000,291.8358108997345,4502,0,1183154325,21,17,17,15,13,12.0,19,12,8,13,14,11,20,11,17,19,14,10.0,20,18,13,15,19,17,14,13,11,15,16,12,18,14,13,16,18,12,14,4.0,18,15,13,19.0,17,20,10,14,17,16,8,21,13,18,16,10,9,17,12,14,13,19,23,21,15,22,23,15,15,17,16,19,7.0,14,12,15,18,15,8,17,11,12,16,7,12,13,16,15,12,16,14,10,16,12,11,15,17,9,13,19,15,7,12,3.0,22,17,16,21,8,10,16,18,13,12,20,13,17,15,12,21,16,9,11,16,10.0,20,10,17,3.0,15,17,17,8,18,15,8,14,12,16,15,16,14,8,13,10.0,15,17,14,12,13,13,4.0,6.0,14,12,9,14.0,12,12,12,6.0,17,16,7.0,14,17,15,14,12,16,11,15,16,10,14,16,16,21,15,12,8,12,12,21,10,23,11,12,15,11,8,12,17,10,18,9,15,11,13,15,17,12,13,11,18,19,10,10,23,14,9,10,12,8,15,13,14,14,13,10,13,22,16,16,18,9,13,10,13,14,16,18,16,16,14,15.0,17,10.0,13,17,9,17,18,7,24,14,19,16,15,8,14,19,19,18,12,12,10,13.0,14,7.0,14,12,17,12,12,5.0,11,6.0,19,12,15,15,8.0,14,16,12,13,11,18,10,13,8,6,9,16,17,12,10,13,11,11,11,20,10,11,5.0,13,10,3,15,10.0,15,12,13,5,28,3.0,6.0,12,16,7,10,13,9,4.0,4,20,5.0,18,14,10,12,7.0,14,13,11,11.0,16,9,1.0,12,3.0,6.0,9,13,7,5.0,6,2.0,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,er-approx-est,5000,0.1,5000.0,1000,627.8456258773804,10315,314,1217763600,15,14,17,16,20,132.0,17,9,11,22,13,11,9,12,20,21,15,484.0,15,13,21,20,11,17,6,31,12,13,19,11,13,14,16,13,10,10,20,,18,16,15,168.0,13,16,12,18,24,13,19,14,16,17,17,22,17,11,14,25,18,18,17,9,10,20,10,15,23,19,17,60,,15,18,20,134,13,14,24,18,13,12,12,4,9,19,13,20,11,12,18,15,16,10,21,21,17,10,17,14,17,15,,10,9,12,16,10,16,9,15,14,15,8,22,13,13,31,21,14,17,23,16,155.0,14,15,17,,20,11,18,40,17,14,19,17,14,13,13,7,9,46,18,357.0,13,12,15,11,20,12,,,15,12,13,228.0,20,20,21,,13,18,,13,21,12,10,19,19,8,15,16,15,14,22,12,16,19,12,12,30,18,11,13,20,16,18,18,17,11,9,17,14,21,23,18,17,16,14,17,9,19,18,15,14,14,11,19,8,17,10,9,9,15,14,12,14,11,19,18,14,16,9,19,19,26,17,16,17,21,20,16,16,12,,12,341.0,17,12,10,16,130,84,21,18,7,15,13,5,18,14,16,3,15,15,17,110.0,18,,17,14,14,15,22,,18,,18,38,12,10,1216.0,16,13,17,9,23,24,17,20,14,55,26,16,23,16,17,22,12,17,12,10,13,14,,10,13,20,20,111.0,19,14,19,20,13,,,18,10,3,12,26,41,,12,16,,8,14,16,42,513.0,12,13,4,1346.0,20,9,,10,,,15,16,16,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,er-approx-est,5000,0.1,5000.0,1000,262.87315797805786,6153,3,1204227956,11,14,10,14,19,30.0,14,16,17,14,22,18,13,20,16,15,16,26.0,15,10,16,16,12,16,16,15,15,11,13,10,17,10,20,18,20,19,15,,20,16,17,26.0,19,11,15,14,14,11,20,13,12,18,21,14,16,16,13,16,13,12,20,19,16,13,9,11,8,20,12,14,141.0,11,19,16,25,14,18,18,14,14,21,16,22,16,13,21,10,15,11,17,12,14,18,18,14,12,16,21,20,14,21,,17,17,20,23,20,13,13,11,15,10,14,15,12,11,11,15,11,16,13,21,23.0,18,16,12,,12,19,16,12,17,20,12,22,18,11,15,24,13,10,11,26.0,10,9,14,27,27,12,,278.0,23,7,19,25.0,19,19,19,230.0,17,15,95.0,17,15,16,25,18,14,16,20,20,15,14,16,16,17,21,14,14,17,13,20,17,13,18,16,15,15,19,19,12,20,6,21,10,18,17,10,17,14,12,9,14,19,20,8,16,16,14,13,8,23,22,16,17,19,22,14,11,17,12,16,12,16,16,17,17,15,16,24,22,16,19,30.0,10,23.0,15,17,12,11,22,24,21,12,20,18,15,21,16,23,15,22,11,20,16,18.0,18,66.0,10,15,15,21,13,,17,44.0,19,7,15,16,32.0,20,21,17,20,18,20,23,15,15,12,22,15,13,13,20,14,21,22,10,21,19,20,,18,9,17,16,26.0,12,16,14,15,15,,,13,20,18,20,11,13,,17,17,43.0,16,18,20,20,35.0,14,23,18,28.0,11,17,,16,,,11,16,15,70.0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,er-approx-est,5000,0.1,5000.0,1000,275.8946797847748,10847,0,1214603050,14,18,13,21,9,,17,16,15,8,21,18,25,12,14,10,16,,15,17,20,18,21,14,25,17,15,48,21,19,12,18,19,14,18,28,17,,14,21,16,,23,29,21,12,12,19,22,20,15,14,33,14,174,14,15,15,18,4,17,22,11,21,20,15,10,15,15,479,,16,13,14,686,9,17,17,15,18,13,96,21,20,16,43,15,15,14,27,18,25,18,16,18,24,31,10,13,81,15,,14,16,24,19,25,7,14,23,14,14,6,17,26,9,188,17,16,21,15,12,,27,19,21,,11,10,22,330,17,23,12,15,15,15,14,11,28,290,19,,5,18,17,29,13,16,,,12,14,14,,12,19,19,,19,21,,19,13,12,33,13,16,31,16,13,19,20,9,24,16,18,7,14,10,20,19,13,16,21,14,17,18,14,18,19,17,12,21,141,69,17,17,18,31,20,15,13,15,18,9,16,19,15,11,13,45,20,15,18,29,13,12,14,19,16,11,22,15,20,15,22,14,22,20,22,14,21,,21,,15,11,59,17,663,599,12,21,18,14,15,23,10,22,12,30,20,17,9,,15,,17,34,13,15,132,,12,,12,242,15,25,,16,14,26,16,15,22,14,18,18,448,187,12,9,17,18,16,16,13,33,25,11,10,,21,11,103,28,,15,8,14,68,18,,,11,11,31,17,18,221,,73,18,,10,8,16,409,,16,50,41,,11,23,,59,,,14,22,110,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,er-approx-est,5000,0.1,5000.0,1000,1046.838495016098,7762,0,1174164892,11,21,14,10,12,45.0,25,15,17,21,35,5,30,14,20,10,15,39.0,19,14,10,14,16,8,39,14,15,45,12,15,16,12,14,15,11,32,16,8.0,22,26,8,42.0,56,12,15,18,10,18,20,19,15,34,54,15,56,24,8,15,14,11,16,24,14,16,39,11,12,22,10,40,18.0,14,11,11,35,14,10,19,22,19,12,51,41,17,9,43,12,11,13,55,8,21,39,8,13,13,61,18,18,43,14,11.0,12,29,25,23,41,17,8,15,18,12,22,14,16,15,47,15,26,18,24,11,33.0,22,19,19,16.0,10,25,11,56,20,13,14,14,17,12,16,20,35,59,12,44.0,15,14,9,47,17,9,8.0,11.0,20,13,8,43.0,11,13,28,19.0,43,25,15.0,20,12,17,37,9,7,53,30,19,10,34,19,18,10,13,17,16,16,10,52,17,33,12,12,14,9,17,49,14,10,20,12,48,41,13,10,12,46,17,22,14,17,18,16,12,38,18,7,18,48,45,19,6,37,27,15,14,30,11,15,13,15,9,9,11,18,14,20,31,16,26,42.0,23,38.0,21,10,38,14,53,52,16,16,36,7,9,51,19,22,20,36,20,35,18,47.0,10,20.0,9,54,12,11,53,14.0,13,36.0,14,60,15,30,33.0,13,20,44,18,11,12,15,14,9,48,44,13,17,15,13,13,28,9,42,34,19,14,16.0,14,14,44,18,50.0,16,14,16,55,17,21.0,12.0,12,15,62,14,12,53,4.0,50,35,33.0,26,19,6,55,48.0,17,52,54,42.0,12,40,15.0,60,5.0,18.0,31,18,40,32.0,51,6.0,14.0,12.0,17.0,6.0,9.0,25.0,18.0,17.0,11.0,15.0,21.0,20.0,,,,,,,,,,,,,,,,,,,,
5,er-approx-est,5000,0.1,5000.0,1000,282.8334729671478,35333,3266,1214486019,13,12,21,19,12,2939.0,10,9,16,20,21,15,13,10,14,17,18,,14,13,11,5,22,17,39,17,19,105,11,16,20,18,16,20,9,35,17,,16,6,17,3316.0,38,17,12,11,9,20,15,19,18,22,30,22,321,22,14,11,21,16,16,13,15,18,17,12,14,15,16,1126,,21,27,8,1892,21,14,20,14,10,17,193,24,16,19,68,19,19,12,55,17,16,19,13,10,15,71,15,13,207,19,,11,21,23,14,27,14,14,12,15,18,17,17,14,17,411,16,26,19,7,19,2609.0,20,22,20,,21,14,16,839,19,17,14,12,16,17,23,21,33,627,16,,12,20,11,68,18,13,,,11,13,15,3187.0,13,24,19,,22,16,,13,20,14,36,18,18,51,20,21,9,21,16,22,19,22,11,20,11,11,41,20,15,11,9,17,17,17,35,18,16,13,18,319,147,22,20,14,41,14,16,16,11,22,13,18,20,21,10,15,76,16,14,19,18,15,20,17,11,17,15,11,20,18,16,11,19,15,17,12,17,24,,22,,14,15,130,11,1852,1085,14,13,28,12,21,34,12,9,16,31,22,14,25,1385.0,18,,21,46,14,15,267,,23,,17,464,9,23,,14,9,54,22,24,17,22,12,18,840,306,17,11,23,17,19,17,17,92,27,14,19,,17,17,172,27,3403.0,15,20,14,143,15,,,13,16,31,15,19,396,,101,16,,24,15,18,662,,10,111,87,,17,35,,91,,,19,21,219,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,er-approx-est,5000,0.1,5000.0,1000,1846.1002871990204,4481,0,1176347739,16,18,11,11,16,10.0,12,13,16,15,17,11,8,13,9,19,15,13.0,12,8,12,15,9,14,11,7,14,18,14,18,15,17,24,11,6,10,11,4.0,10,14,14,10.0,15,18,15,12,12,12,14,13,23,9,10,8,21,11,13,16,20,16,13,11,12,14,7,17,15,14,14,10,11.0,9,11,7,11,16,19,18,12,13,13,18,5,12,14,21,10,14,22,18,10,17,9,14,15,19,20,10,15,18,14,6.0,10,10,11,15,9,15,9,6,12,14,9,14,9,10,17,11,7,11,13,9,12.0,16,14,10,3.0,13,11,22,20,5,15,12,13,13,15,8,13,7,17,17,3.0,15,16,11,21,18,10,2.0,6.0,15,12,19,12.0,16,12,7,6.0,17,18,3.0,13,13,12,13,12,18,26,7,16,15,12,13,14,19,20,18,10,13,7,23,14,7,18,17,16,10,9,14,20,10,19,13,22,22,17,16,15,16,11,16,13,12,13,15,13,14,13,9,12,16,9,13,13,12,8,6,10,5,15,16,12,10,12,16,12,14,18,8,17,15,12,10.0,10,6.0,15,10,18,16,7,24,19,17,12,11,12,9,15,5,14,17,13,10,12,13.0,27,6.0,17,22,17,12,19,2.0,10,6.0,10,15,11,12,7.0,18,8,13,10,15,18,11,17,22,13,12,13,8,14,15,18,8,15,14,12,14,15,4.0,17,11,19,15,7.0,19,16,12,16,26,6.0,5.0,12,13,18,11,19,14,3.0,25,14,7.0,8,15,8,15,7.0,11,16,11,5.0,20,15,8.0,20,8.0,4.0,18,12,13,2.0,26,1.0,5.0,2.0,5.0,2.0,3.0,3.0,,1.0,7.0,,2.0,5.0,4.0,5.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
7,er-approx-est,5000,0.1,5000.0,1000,257.2089829444885,4318,0,1183067341,16,9,11,14,18,1.0,19,12,13,17,9,15,12,21,16,13,12,3.0,17,19,11,15,15,16,16,13,21,8,10,11,16,20,17,16,15,9,21,,16,21,11,2.0,13,14,15,13,12,20,17,14,7,16,11,18,9,10,22,16,19,19,24,11,16,17,17,20,12,24,12,2,1.0,23,23,21,1,15,16,15,17,18,16,4,14,15,15,9,19,20,15,10,23,14,11,13,15,18,11,14,19,6,8,1.0,14,23,28,20,8,15,20,20,16,16,16,9,13,9,1,17,26,5,17,20,3.0,14,14,20,,19,17,25,2,11,17,13,16,19,21,19,16,19,7,14,2.0,12,12,12,4,18,13,,1.0,11,9,14,3.0,19,8,18,2.0,15,16,2.0,10,12,15,10,9,17,7,19,14,17,17,16,15,10,14,17,16,13,7,9,13,20,11,15,11,23,14,5,12,17,16,18,5,3,13,13,9,6,16,19,20,20,15,11,9,8,27,14,13,4,17,17,20,13,16,16,24,16,13,14,18,16,12,19,15,18,11,19,16,21,14,,14,1.0,16,21,10,20,3,5,14,17,10,17,13,12,18,21,13,5,15,22,14,4.0,11,3.0,14,8,16,14,4,2.0,8,2.0,20,9,15,20,1.0,16,17,5,20,14,13,14,15,15,4,2,14,16,13,11,13,17,21,4,14,12,18,1.0,20,11,8,9,1.0,16,14,13,1,22,1.0,1.0,13,11,18,13,10,1,1.0,6,19,5.0,13,15,17,1,1.0,9,4,10,2.0,13,13,2.0,3,,,21,19,5,2.0,6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,er-approx-est,5000,0.1,5000.0,1000,285.10934591293335,16212,399,1221827684,22,13,13,17,15,,13,11,10,16,21,21,19,21,12,10,26,,21,16,19,23,18,11,15,15,18,46,14,15,12,18,19,15,13,20,15,,13,7,12,1251.0,22,15,13,16,17,22,19,12,15,17,13,19,155,19,13,15,8,19,12,12,14,18,22,17,13,13,22,741,,14,11,23,957,15,14,18,14,15,20,98,20,20,16,35,18,16,19,31,16,19,21,16,18,24,30,22,20,70,15,,18,18,18,20,22,15,14,10,13,13,11,18,21,16,217,13,14,12,24,12,1496.0,20,13,18,,25,22,23,370,26,11,13,10,17,18,18,14,16,329,16,,19,23,15,24,23,16,,,18,14,20,,20,14,22,,9,21,,13,15,24,24,15,12,26,12,14,11,18,11,7,19,17,13,17,12,15,18,14,14,16,12,14,19,16,22,18,19,15,15,136,72,19,17,20,15,12,15,18,26,16,15,15,23,11,21,19,42,17,21,22,15,10,10,18,22,12,21,18,15,18,20,21,18,16,15,15,15,12,,22,,13,17,51,14,996,447,21,25,26,18,16,20,11,11,17,27,16,12,11,658.0,15,,17,28,21,17,124,,23,,15,314,14,10,,20,9,32,13,13,16,13,20,9,415,175,15,11,17,12,8,21,18,29,15,18,18,,20,16,79,13,1251.0,16,12,16,49,24,,,14,11,22,13,8,256,,46,14,,22,19,15,481,,20,44,41,,15,17,,38,,,17,22,87,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,er-approx-est,5000,0.1,5000.0,1000,343.1777300834656,9275,0,1211571843,23,14,10,10,10,72.0,19,22,14,13,16,16,10,15,9,16,17,85.0,17,17,19,15,26,15,11,13,12,19,12,9,16,21,14,14,11,15,21,,18,21,16,60.0,15,17,11,12,11,16,12,14,19,18,15,21,30,13,13,18,20,9,18,14,15,16,17,19,23,20,20,48,595.0,19,20,14,51,16,13,19,19,16,19,36,9,14,19,24,13,13,17,17,10,7,13,16,20,12,18,13,13,19,13,,14,15,9,15,15,14,22,13,10,18,7,19,10,15,32,13,9,12,9,12,58.0,16,15,14,,18,22,11,43,16,21,12,20,15,22,21,12,10,39,11,93.0,14,11,13,20,22,20,,,13,17,18,81.0,11,25,12,719.0,11,11,400.0,10,14,15,18,16,11,15,17,27,15,10,10,13,20,12,14,12,17,19,16,23,16,15,14,16,10,15,16,16,22,13,11,27,22,13,13,7,16,20,20,11,20,18,17,8,7,11,10,12,8,18,13,9,20,13,17,11,18,15,12,8,18,20,22,10,18,19,21,14,22,20,130.0,15,117.0,19,20,18,11,44,62,13,18,9,13,13,13,16,16,19,11,17,14,15,60.0,21,320.0,9,21,16,21,33,,11,238.0,22,34,18,14,131.0,24,15,17,16,20,20,13,15,15,39,33,20,22,17,15,17,11,10,19,10,16,8,,12,17,32,17,91.0,18,11,15,22,17,,,20,24,12,16,11,38,,20,19,197.0,19,19,17,44,85.0,21,19,20,107.0,12,16,,25,,,14,13,20,510.0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
