,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-48,count-32,count-62,count-55,count-30,count-65,count-56,count-35,count-95,count-44,count-68,count-84,count-61,count-90,count-88,count-27,count-17,count-85,count-42,count-83,count-28,count-13,count-91,count-73,count-96,count-16,count-57,count-18,count-46,count-34,count-97,count-89,count-4,count-92,count-59,count-52,count-81,count-39,count-70,count-93,count-87,count-78,count-98,count-53,count-50,count-24,count-64,count-29,count-77,count-51,count-10,count-69,count-12,count-7,count-20,count-47,count-31,count-6,count-9,count-63,count-58,count-71,count-94,count-38,count-45,count-100,count-99,count-25,count-74,count-22,count-86,count-11,count-26,count-76,count-3,count-23,count-54,count-40,count-79,count-37,count-43,count-15,count-60,count-72,count-36,count-75,count-14,count-82,count-8,count-19,count-5,count-67,count-80,count-41,count-66,count-33,count-49,count-21,count-106,count-103
0,er-approx-est,500,0.05,500.0,1000,2.852999210357666,778,52,348847,5,7,8,5,7,5,8,6,15.0,4,11,4,8,15.0,16.0,4,6,10,3,10,5,4,37.0,12,14.0,9,7,5,9,4,21.0,28.0,4,25.0,9,10,6,4,5,15.0,13,17,10.0,9,8,9,10,4,8,5,6,10,4,4,3,5,5,7,6,9,9,5,24.0,5,3,9.0,9.0,4,8,6,10.0,3,5,8,3,6,4,9,3,2,7,4,3,9,6,6,4,8.0,5,6,5,9,6,3,9,6,5,,,
1,er-approx-est,500,0.05,500.0,1000,2.9443278312683105,603,2,368066,9,5,5,8,2,8,17,7,4.0,6,11,2,7,1.0,4.0,4,7,1,6,2,4,6,5.0,13,11.0,3,13,5,9,6,3.0,1.0,1,3.0,11,5,6,2,7,3.0,2,10,3.0,10,5,4,10,4,9,7,5,10,3,4,7,7,3,6,9,8,10,11,5.0,3,12,5.0,6.0,6,8,5,10.0,7,7,5,5,6,8,4,6,3,4,7,8,9,3,9,5,,4,4,4,9,8,3,9,12,5,8.0,1.0,
2,er-approx-est,500,0.05,500.0,1000,2.8740170001983643,521,0,263721,2,9,3,1,5,11,6,1,2.0,3,6,8,2,3.0,7.0,5,2,3,7,10,5,5,4.0,7,5.0,7,5,7,8,7,1.0,5.0,7,5.0,5,8,6,1,5,2.0,8,6,2.0,4,2,3,5,3,6,5,4,13,5,4,5,8,7,4,5,5,4,7,4.0,4,8,,2.0,2,10,3,7.0,5,6,7,7,7,2,8,8,7,3,7,3,10,3,4,9,7.0,7,2,3,6,12,6,9,5,5,7.0,,
3,er-approx-est,500,0.05,500.0,1000,2.8483831882476807,453,1,261541,4,6,4,3,6,3,3,3,4.0,6,5,4,3,6.0,2.0,6,6,7,3,3,5,6,2.0,7,,7,7,2,2,4,,3.0,4,5.0,2,3,10,5,7,4.0,5,7,,6,4,5,2,6,1,5,9,3,11,3,8,9,5,6,6,3,1,5,8.0,6,8,,,1,6,8,,6,8,2,9,4,2,2,4,5,2,4,9,5,7,4,6,4.0,4,8,10,8,2,6,2,7,2,2.0,,
4,er-approx-est,500,0.05,500.0,1000,2.868133783340454,744,2,330422,5,3,5,4,7,10,2,5,,5,10,23,7,11.0,15.0,2,4,19,9,18,7,6,19.0,13,,10,4,5,9,7,,22.0,4,,6,6,12,7,9,,11,22,,5,3,4,14,5,17,3,3,18,2,4,6,5,7,4,3,18,12,8,,7,8,,,4,15,5,16.0,2,6,11,6,3,7,6,16,3,3,8,11,13,7,21,8,8.0,2,2,8,11,15,4,5,3,7,9.0,,
5,er-approx-est,500,0.05,500.0,1000,2.841377019882202,669,17,377666,12,3,11,2,7,5,5,6,,9,5,26,3,21.0,21.0,5,7,14,8,10,5,9,11.0,1,,6,9,11,3,4,,24.0,8,23.0,4,3,8,9,4,,17,8,,6,6,8,7,5,4,6,3,6,6,5,2,11,6,13,5,2,8,6,,5,4,,,8,4,8,8.0,5,5,13,7,6,7,8,5,4,11,2,8,5,7,4,5,8.0,6,6,8,3,5,11,3,6,5,7.0,,
6,er-approx-est,500,0.05,500.0,1000,2.7782371044158936,526,0,329271,7,2,9,4,5,4,3,7,,4,10,11,7,,,6,10,4,7,6,9,9,,7,,7,4,4,7,3,,,12,,7,4,9,4,10,,28,4,,3,1,3,7,7,6,3,7,5,7,7,10,3,7,6,6,9,4,4,,3,5,,,8,8,6,16.0,6,4,5,2,10,5,3,4,5,8,4,3,5,6,4,4,6.0,3,6,4,13,3,4,8,3,4,9.0,,
7,er-approx-est,500,0.05,500.0,1000,2.848763942718506,537,23,228352,3,6,4,4,3,4,6,3,,3,2,9,2,9.0,22.0,8,5,16,5,12,4,5,20.0,8,,5,4,4,1,2,,24.0,6,11.0,3,1,9,2,8,,23,7,,2,2,2,4,3,8,2,5,5,11,7,3,2,8,4,10,5,4,3,,4,3,,,4,7,6,13.0,3,3,7,4,9,1,3,9,3,3,6,3,8,3,10,5,2.0,2,8,6,5,6,3,8,3,4,10.0,,
8,er-approx-est,500,0.05,500.0,1000,2.907036066055298,443,0,180658,1,6,3,4,6,8,1,3,,10,4,7,1,10.0,14.0,4,4,6,3,6,4,8,7.0,1,,9,3,1,4,1,1.0,7.0,6,13.0,1,3,6,9,2,7.0,5,1,,2,3,2,3,8,3,1,7,3,5,9,5,5,5,10,7,3,2,7,9.0,5,1,,,6,2,8,5.0,4,3,3,4,3,2,7,4,8,1,5,3,6,4,2,8,9.0,7,4,5,5,4,5,3,1,2,5.0,,
9,er-approx-est,500,0.05,500.0,1000,2.7669711112976074,551,6,324024,9,11,12,3,4,8,6,5,2.0,10,3,6,6,2.0,1.0,8,5,3,5,7,4,7,6.0,7,1.0,2,5,3,4,7,2.0,2.0,4,5.0,4,8,7,1,5,,5,7,1.0,8,4,5,7,6,14,4,3,6,5,2,5,6,3,8,5,3,4,5,2.0,3,4,,1.0,4,12,4,12.0,4,5,11,2,5,10,4,16,6,5,2,4,5,9,13,4,15.0,5,4,3,9,17,5,8,9,3,9.0,,1.0
