,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-84,count-43,count-31,count-46,count-50,count-41,count-70,count-68,count-66,count-33,count-61,count-82,count-99,count-96,count-25,count-64,count-19,count-62,count-79,count-56,count-78,count-47,count-44,count-76,count-75,count-53,count-35,count-69,count-85,count-9,count-34,count-37,count-10,count-39,count-86,count-55,count-89,count-59,count-52,count-28,count-63,count-8,count-7,count-5,count-88,count-74,count-80,count-20,count-12,count-32,count-4,count-77,count-58,count-94,count-40,count-67,count-23,count-27,count-38,count-14,count-81,count-22,count-26,count-11,count-30,count-16,count-3,count-21,count-51,count-93,count-65,count-91,count-87,count-24,count-17,count-45,count-36,count-97,count-42,count-73,count-49,count-13,count-48,count-15,count-71,count-92,count-18,count-100,count-83,count-72,count-54,count-101,count-60,count-29,count-57,count-95,count-90,count-6,count-98,count-104,count-105,count-103,count-102
0,er-approx-est,500,0.2,500.0,1000,5.16589093208313,450,0,1122961,11,7,1,8,7.0,7,11,6.0,4,8,4,9,4.0,3.0,2,8,8,9,4,6,3,4,4,7,5,6,9,4,6.0,5,7,8,6,6,5,6,3.0,4,10,5,6,3.0,4,6.0,5,6,7,5.0,2,5,1,3,6,2.0,3,4,4,8,4,3,6,5,8,5,7,5,4,2.0,4,1.0,5,2,6.0,3,1,6,6.0,1.0,3,3,4,3,2.0,5,4.0,1,3,3.0,4,2,2,2.0,3,1,1,,,,,,,,
1,er-approx-est,500,0.2,500.0,1000,5.125737905502319,620,0,1094149,8,5,6,5,3.0,5,4,4.0,10,9,5,14,,4.0,5,2,8,6,7,6,10,10,4,10,5,2,3,3,13.0,4,4,3,8,8,12,6,8.0,4,5,4,8,6.0,3,9.0,7,5,8,6.0,3,3,4,3,3,12.0,6,7,6,5,4,4,6,5,6,6,5,5,5,9.0,5,14.0,6,10,13.0,4,3,5,5.0,12.0,4,2,3,7,4.0,9,6.0,9,5,,14,10,14,,7,4,6,17.0,16.0,5.0,,,,,
2,er-approx-est,500,0.2,500.0,1000,5.145348072052002,574,0,1379152,5,5,9,5,11.0,5,4,5.0,3,5,7,5,,,3,9,5,8,4,6,6,3,5,4,5,13,5,3,10.0,2,7,8,7,5,10,10,6.0,8,5,2,8,5.0,5,5.0,13,2,4,6.0,10,1,3,6,6,13.0,4,2,5,5,6,6,7,6,6,5,5,8,6,4.0,4,12.0,4,20,7.0,8,8,9,4.0,,6,4,5,2,4.0,8,5.0,10,6,,8,2,6,,10,7,8,,10.0,7.0,,,,,
3,er-approx-est,500,0.2,500.0,1000,5.167083024978638,528,0,1241763,13,5,5,2,6.0,4,2,5.0,9,6,7,6,,12.0,2,7,4,4,4,6,5,6,2,4,1,8,3,6,7.0,5,2,10,7,4,10,6,17.0,3,2,6,4,9.0,6,6.0,7,11,3,3.0,8,7,5,4,9,5.0,5,5,2,3,2,4,4,4,3,4,6,3,5,,8,11.0,6,10,9.0,5,5,10,,,5,4,2,5,6.0,2,3.0,4,8,,12,9,7,,6,5,4,5.0,13.0,4.0,,,,,
4,er-approx-est,500,0.2,500.0,1000,5.117701053619385,429,0,975128,4,7,5,3,5.0,2,4,11.0,4,7,3,2,1.0,,7,4,2,7,4,6,7,6,4,5,5,6,7,5,4.0,5,10,1,2,1,3,5,,9,7,7,7,2.0,3,6.0,3,4,9,3.0,3,5,2,2,7,2.0,7,6,4,6,4,5,5,5,3,7,1,5,5,3.0,3,3.0,4,3,2.0,5,4,6,7.0,,4,5,4,4,3.0,6,6.0,1,5,1.0,2,4,4,,3,7,5,2.0,1.0,9.0,1.0,1.0,1.0,2.0,
5,er-approx-est,500,0.2,500.0,1000,5.165172338485718,472,0,1168694,7,6,5,3,10.0,2,6,,4,4,8,3,,,5,2,5,6,5,6,7,3,6,8,7,6,4,4,3.0,3,6,4,5,7,5,6,6.0,8,5,4,1,4.0,3,4.0,5,4,5,5.0,5,3,5,5,4,,4,5,5,6,4,4,4,4,8,4,4,3,5,4.0,2,14.0,4,5,4.0,9,4,7,5.0,,5,8,9,5,,9,10.0,13,5,,9,5,8,,3,5,5,,4.0,4.0,,,,,
6,er-approx-est,500,0.2,500.0,1000,5.1071929931640625,546,0,1357277,4,4,8,6,1.0,5,10,3.0,10,7,6,8,,1.0,8,12,2,7,6,10,7,6,5,10,7,7,7,10,2.0,4,3,8,6,4,2,6,7.0,1,5,5,10,6.0,6,5.0,4,12,10,6.0,3,7,3,12,8,3.0,9,9,3,6,2,7,4,8,5,4,14,6,3,5.0,7,,7,4,2.0,4,2,3,5.0,3.0,10,12,4,5,8.0,4,9.0,2,7,,7,1,2,,5,5,9,1.0,4.0,4.0,,,,,
7,er-approx-est,500,0.2,500.0,1000,5.126220703125,403,0,882619,1,3,10,2,4.0,4,3,5.0,5,2,3,4,3.0,6.0,7,7,3,5,4,6,5,5,8,4,4,4,4,1,4.0,4,4,5,5,5,2,2,4.0,5,6,8,1,,7,,4,3,5,7.0,2,10,3,2,3,2.0,4,1,7,6,2,5,2,4,6,5,5,6,1,5.0,6,1.0,4,3,,6,4,3,5.0,5.0,4,4,10,7,3.0,4,2.0,1,5,3.0,2,3,3,2.0,3,7,4,7.0,1.0,2.0,3.0,1.0,,,1.0
8,er-approx-est,500,0.2,500.0,1000,5.09271502494812,414,0,1174847,2,5,7,5,3.0,5,1,3.0,10,6,5,3,1.0,,3,3,4,3,2,5,3,5,5,1,1,4,3,2,,5,5,3,5,6,5,4,1.0,1,4,4,5,3.0,3,4.0,5,1,5,6.0,9,2,7,5,5,1.0,2,5,8,4,5,8,2,7,10,8,6,6,1,5.0,5,,5,2,2.0,6,5,10,9.0,1.0,2,1,4,11,1.0,8,,4,9,1.0,5,4,3,,14,7,4,3.0,1.0,3.0,1.0,,2.0,,
9,er-approx-est,500,0.2,500.0,1000,5.0913331508636475,480,0,1151064,5,4,6,2,,3,4,1.0,4,3,6,1,,6.0,5,6,5,1,4,3,2,6,3,6,7,5,6,2,3.0,3,7,7,3,5,6,5,3.0,6,7,6,9,7.0,6,11.0,4,2,1,,5,4,4,4,9,5.0,8,5,5,5,3,3,2,9,7,4,7,10,10,1.0,5,5.0,16,10,8.0,3,5,9,6.0,,5,5,5,3,4.0,6,4.0,12,4,,6,1,4,,5,11,3,8.0,3.0,7.0,,,,,
