,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-28,count-56,count-96,count-44,count-81,count-18,count-92,count-79,count-35,count-50,count-89,count-87,count-68,count-21,count-62,count-69,count-83,count-60,count-46,count-3,count-17,count-91,count-24,count-71,count-76,count-48,count-10,count-90,count-94,count-88,count-65,count-39,count-22,count-72,count-78,count-64,count-4,count-54,count-85,count-20,count-75,count-95,count-15,count-52,count-80,count-63,count-51,count-77,count-73,count-5,count-74,count-93,count-40,count-86,count-26,count-49,count-23,count-19,count-38,count-14,count-13,count-58,count-67,count-82,count-8,count-41,count-27,count-70,count-42,count-53,count-43,count-59,count-32,count-61,count-55,count-12,count-57,count-29,count-84,count-66,count-6,count-31,count-33,count-37,count-30,count-25,count-11,count-7,count-36,count-47,count-45,count-16,count-9,count-34,count-101,count-100,count-99,count-98,count-97,count-104,count-102,count-103
0,er-approx-est,500,0.5,500.0,1000,10.707203149795532,513,0,2993927,6,7,30.0,5,4,6,11.0,6,6,8,11,6.0,6,3,6,7,5,7,3,6,5,9.0,5,3,3,3,3,5.0,11.0,6.0,3,7,5,4,5,5,8,3,7.0,5,4.0,22.0,4,7,6.0,4,5,1,5,8,3,3.0,3,7,4,6,3,3,4,6,4,2,3,3.0,4,8,8,3,7,5,10,5,2,3,7,4,5,3,6,3,6,5,6,8,3,5,7,3,2,4,4,1,1,1,,,,,,,,
1,er-approx-est,500,0.5,500.0,1000,10.395402908325195,677,0,3143180,2,7,,4,7,2,16.0,13,6,8,8,11.0,4,7,6,7,8,12,3,5,4,12.0,4,8,11,5,4,16.0,29.0,20.0,7,8,4,9,6,12,6,3,15.0,6,11.0,15.0,4,1,2.0,9,13,4,9,9,7,14.0,2,15,4,3,5,11,6,4,6,10,7,10.0,3,3,7,7,2,11,3,4,8,8,4,5,7,4,5,7,3,6,6,7,7,5,8,3,4,8,7,9,5,5,,,,,,,,
2,er-approx-est,500,0.5,500.0,1000,10.315420150756836,469,0,2587981,4,8,3.0,1,3,4,2.0,5,3,2,6,4.0,5,5,8,6,6,5,5,4,3,1.0,6,1,5,5,2,4.0,1.0,,3,7,5,6,8,3,6,3,2.0,4,7.0,1.0,4,6,6.0,7,5,5,6,6,4,2.0,3,5,1,5,4,6,6,8,8,3,9,8.0,2,4,7,8,5,4,8,5,7,2,3,5,7,6,2,5,5,4,9,7,6,4,8,5,10,3,3,5,7,7,10.0,4.0,2.0,1.0,,,,
3,er-approx-est,500,0.5,500.0,1000,10.483880281448364,482,0,2558627,9,4,10.0,4,2,3,4.0,4,7,2,7,3.0,5,5,5,3,7,2,7,4,5,6.0,4,7,4,5,5,1.0,6.0,4.0,3,9,3,3,6,6,3,6,,7,5.0,10.0,3,6,3.0,8,5,3,6,7,6,6.0,4,1,5,5,6,9,5,3,6,2,4,1.0,3,3,3,9,4,3,7,2,4,2,3,10,2,4,3,4,4,3,10,5,7,5,7,5,7,5,2,6,2,4,,,18.0,12.0,5.0,,,
4,er-approx-est,500,0.5,500.0,1000,10.319809913635254,438,0,2762067,3,8,1.0,4,6,4,2.0,5,6,4,4,2.0,2,5,7,5,4,5,8,6,2,1.0,8,3,6,6,3,,3.0,2.0,5,4,4,7,5,5,6,6,8.0,5,3.0,,3,4,5.0,4,5,8,1,5,2,4.0,4,2,4,4,8,8,3,3,5,6,4,3.0,7,8,5,8,8,3,5,8,1,5,3,6,9,4,3,4,8,4,6,9,3,3,4,3,5,4,7,4,3,2,,,5.0,2.0,1.0,,,
5,er-approx-est,500,0.5,500.0,1000,10.380980968475342,558,0,2675875,6,1,30.0,10,9,4,12.0,8,5,5,10,12.0,4,6,4,4,8,1,6,4,3,11.0,3,7,3,7,6,12.0,6.0,6.0,2,6,4,2,7,6,5,5,9.0,9,4.0,17.0,11,6,5.0,10,7,7,5,4,3,7.0,6,5,3,5,5,9,4,5,7,4,3,8.0,3,8,10,7,6,5,5,2,3,4,5,4,3,1,6,1,3,7,2,6,6,7,6,10,1,1,6,6,4,2,,,,,,,,
6,er-approx-est,500,0.5,500.0,1000,10.368180990219116,509,0,2567182,8,3,5.0,8,2,6,1.0,5,3,3,1,2.0,6,5,3,6,6,6,5,4,8,6.0,4,4,4,9,8,7.0,1.0,6.0,6,3,8,7,5,3,1,10,6.0,5,2.0,3.0,6,9,4.0,5,6,5,4,6,4,3.0,3,5,3,6,4,3,3,7,5,7,2,6.0,6,10,7,6,6,4,4,3,6,5,5,5,2,4,2,3,6,6,6,5,4,5,4,5,7,10,4,7,3,2,,26.0,8.0,9.0,4.0,,,
7,er-approx-est,500,0.5,500.0,1000,10.379392147064209,379,0,2328689,5,2,1.0,3,3,3,1.0,2,5,4,2,,5,5,7,2,3,6,2,4,5,,8,4,3,7,6,2.0,1.0,1.0,1,2,3,4,1,2,8,3,2.0,6,,1.0,9,4,,10,4,6,2,5,2,2.0,8,2,3,4,2,5,6,2,9,4,7,,4,6,6,3,4,1,11,4,2,4,3,9,4,6,1,2,5,3,8,4,6,2,6,8,3,3,7,5,7,5,,,1.0,,,3.0,1.0,1.0
8,er-approx-est,500,0.5,500.0,1000,10.38590383529663,501,0,2807821,6,2,3.0,6,6,6,4.0,1,3,2,2,,12,7,3,4,4,4,11,4,3,4.0,2,8,2,8,5,3.0,,2.0,8,7,4,7,4,3,9,6,7.0,5,5.0,3.0,11,8,2.0,7,5,4,7,2,3,3.0,9,4,3,8,1,3,5,8,7,7,2,2.0,5,1,4,7,8,7,8,7,4,4,6,6,7,3,4,4,6,2,2,5,4,4,9,5,5,7,13,5,5,2,8.0,2.0,4.0,6.0,2.0,,4.0,10.0
9,er-approx-est,500,0.5,500.0,1000,10.553380727767944,1120,0,3610774,4,3,,8,13,4,,10,4,5,87,63.0,11,5,14,5,11,3,5,4,5,163.0,6,8,8,9,6,113.0,,70.0,7,6,8,5,7,8,8,8,31.0,8,10.0,,1,4,14.0,9,4,9,8,3,7,,5,32,6,6,5,7,11,11,4,3,5,22.0,5,5,6,10,4,4,9,3,3,5,5,4,9,4,22,5,5,4,8,8,11,2,12,2,5,7,11,5,3,5,,,,,,,,
