,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-15,count-6,count-20,count-14,count-9,count-3,count-5,count-18,count-4,count-12,count-16,count-7,count-13,count-17,count-19,count-10,count-11,count-21,count-8,count-23,count-22
0,er-approx-est,50,0.1,50.0,1000,0.1800670623779297,64,1,440,3.0,7,15.0,3.0,3,3.0,3.0,4.0,3.0,4,6,1.0,4.0,2.0,1.0,1.0,1,,,,
1,er-approx-est,50,0.1,50.0,1000,0.18296098709106445,50,0,250,2.0,3,1.0,5.0,3,2.0,5.0,,,4,2,3.0,,2.0,5.0,4.0,1,1.0,5.0,1.0,1.0
2,er-approx-est,50,0.1,50.0,1000,0.19764018058776855,52,0,342,4.0,1,4.0,5.0,5,,2.0,2.0,2.0,1,1,,4.0,4.0,3.0,3.0,2,3.0,2.0,,4.0
3,er-approx-est,50,0.1,50.0,1000,0.19719576835632324,75,0,472,1.0,6,8.0,3.0,7,5.0,2.0,3.0,2.0,3,2,4.0,3.0,2.0,3.0,1.0,3,7.0,4.0,,6.0
4,er-approx-est,50,0.1,50.0,1000,0.18616890907287598,50,0,255,4.0,2,,3.0,7,2.0,3.0,2.0,2.0,4,4,2.0,3.0,1.0,,1.0,3,3.0,4.0,,
5,er-approx-est,50,0.1,50.0,1000,0.19621992111206055,36,0,165,,2,2.0,2.0,3,3.0,1.0,1.0,,1,1,2.0,,,3.0,2.0,4,1.0,5.0,1.0,2.0
6,er-approx-est,50,0.1,50.0,1000,0.1721491813659668,45,0,185,2.0,3,1.0,2.0,2,3.0,2.0,1.0,1.0,4,3,5.0,1.0,5.0,,1.0,2,3.0,4.0,,
7,er-approx-est,50,0.1,50.0,1000,0.18565011024475098,45,0,192,3.0,2,2.0,3.0,3,,2.0,2.0,4.0,2,1,1.0,4.0,1.0,3.0,1.0,2,2.0,1.0,,6.0
8,er-approx-est,50,0.1,50.0,1000,0.18930792808532715,65,0,430,2.0,2,7.0,,4,1.0,2.0,5.0,,3,7,3.0,5.0,4.0,3.0,5.0,5,5.0,2.0,,
9,er-approx-est,50,0.1,50.0,1000,0.17368173599243164,50,0,189,2.0,3,3.0,2.0,2,2.0,,3.0,3.0,3,3,4.0,2.0,3.0,3.0,,6,5.0,1.0,,
