,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-6,count-5,count-22,count-7,count-8,count-10,count-21,count-9,count-4,count-3,count-23,count-11,count-16,count-14,count-24,count-20,count-17,count-18,count-12,count-19,count-15,count-13
0,er-approx-est,50,0.2,50.0,1000,0.22641825675964355,43,0,569,3.0,1.0,3.0,4.0,3,3,1,1,1,5.0,2.0,2.0,3.0,2,1.0,3.0,1,1.0,1.0,2,,
1,er-approx-est,50,0.2,50.0,1000,0.2683882713317871,63,0,871,6.0,2.0,1.0,4.0,3,1,3,2,1,4.0,3.0,4.0,4.0,2,4.0,5.0,2,4.0,1.0,2,2.0,3.0
2,er-approx-est,50,0.2,50.0,1000,0.25305795669555664,52,0,423,3.0,,1.0,,3,3,3,4,7,3.0,2.0,3.0,2.0,4,,3.0,2,2.0,3.0,2,2.0,
3,er-approx-est,50,0.2,50.0,1000,0.2625119686126709,52,0,674,4.0,2.0,2.0,1.0,2,3,1,2,3,1.0,3.0,4.0,3.0,4,,,4,3.0,4.0,1,4.0,1.0
4,er-approx-est,50,0.2,50.0,1000,0.24892687797546387,72,0,913,3.0,1.0,7.0,3.0,4,3,4,5,4,3.0,7.0,,2.0,1,,3.0,4,6.0,3.0,3,3.0,3.0
5,er-approx-est,50,0.2,50.0,1000,0.2174530029296875,43,0,417,,3.0,,,4,3,4,2,3,3.0,,2.0,,1,2.0,3.0,1,,2.0,1,4.0,5.0
6,er-approx-est,50,0.2,50.0,1000,0.21451306343078613,58,0,816,1.0,4.0,1.0,3.0,5,2,5,1,4,4.0,4.0,1.0,1.0,2,3.0,2.0,2,2.0,6.0,2,2.0,1.0
7,er-approx-est,50,0.2,50.0,1000,0.22710609436035156,57,0,559,2.0,3.0,1.0,3.0,2,3,3,5,2,3.0,3.0,1.0,1.0,4,1.0,2.0,4,3.0,3.0,1,2.0,5.0
8,er-approx-est,50,0.2,50.0,1000,0.26984596252441406,55,0,804,1.0,4.0,4.0,3.0,2,1,6,4,4,,2.0,5.0,2.0,2,,2.0,3,1.0,,1,,8.0
9,er-approx-est,50,0.2,50.0,1000,0.2667849063873291,65,0,942,,3.0,6.0,4.0,2,1,3,2,2,4.0,1.0,1.0,2.0,1,,9.0,4,2.0,2.0,7,3.0,6.0
