,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-23,count-18,count-12,count-14,count-4,count-26,count-5,count-17,count-11,count-10,count-19,count-20,count-24,count-15,count-22,count-16,count-7,count-13,count-25,count-6,count-8,count-3,count-9,count-21
0,er-approx-est,50,0.5,50.0,1000,0.35892391204833984,46,0,1446,1,2,4.0,4,2.0,3.0,4,3.0,2,2.0,1.0,2.0,1.0,3,1.0,1.0,2,1.0,1.0,1.0,1.0,3.0,1,
1,er-approx-est,50,0.5,50.0,1000,0.3641238212585449,73,0,3996,3,2,5.0,3,,,5,1.0,1,3.0,4.0,4.0,11.0,2,7.0,1.0,1,3.0,,4.0,,4.0,3,6.0
2,er-approx-est,50,0.5,50.0,1000,0.3505396842956543,48,0,1601,2,4,4.0,1,2.0,,2,4.0,4,2.0,,1.0,3.0,2,,1.0,2,1.0,2.0,1.0,1.0,3.0,5,1.0
3,er-approx-est,50,0.5,50.0,1000,0.3021399974822998,62,0,2723,5,1,3.0,2,3.0,,3,,2,2.0,3.0,6.0,2.0,3,2.0,2.0,7,,5.0,3.0,2.0,2.0,1,3.0
4,er-approx-est,50,0.5,50.0,1000,0.31200408935546875,39,0,1661,2,6,,2,3.0,,2,,1,1.0,1.0,,2.0,1,3.0,1.0,1,,1.0,2.0,2.0,5.0,2,1.0
5,er-approx-est,50,0.5,50.0,1000,0.34303998947143555,53,0,1603,5,2,2.0,1,1.0,,1,3.0,3,,2.0,1.0,4.0,1,4.0,2.0,2,3.0,3.0,1.0,3.0,3.0,2,4.0
6,er-approx-est,50,0.5,50.0,1000,0.36892008781433105,57,0,2713,5,2,2.0,4,4.0,,1,1.0,1,6.0,,5.0,,2,,3.0,2,4.0,2.0,2.0,6.0,1.0,1,3.0
7,er-approx-est,50,0.5,50.0,1000,0.3566091060638428,65,0,4257,2,3,1.0,1,2.0,,5,4.0,1,1.0,3.0,3.0,6.0,4,6.0,,6,5.0,2.0,,2.0,5.0,1,2.0
8,er-approx-est,50,0.5,50.0,1000,0.29956698417663574,59,0,1544,4,1,7.0,3,2.0,1.0,4,4.0,1,1.0,3.0,4.0,1.0,2,1.0,3.0,2,4.0,,3.0,2.0,1.0,4,1.0
9,er-approx-est,50,0.5,50.0,1000,0.3133208751678467,48,0,2477,2,3,3.0,1,1.0,1.0,4,,2,2.0,2.0,3.0,2.0,1,2.0,1.0,5,2.0,1.0,,4.0,,2,4.0
