,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-23,count-11,count-7,count-22,count-5,count-6,count-8,count-21,count-3,count-15,count-12,count-20,count-9,count-4,count-16,count-14,count-17,count-25,count-13,count-19,count-10,count-18,count-24,count-26
0,er-est,100,0.05,100.0,1000,18.14554476737976,114,0,1379,7,7.0,10,2,3,7,9,6,5,3,1,5,2,7,5.0,4,6,5.0,7,5,3,3,2,
1,er-est,100,0.05,100.0,1000,18.5461208820343,108,0,1040,1,5.0,7,2,4,8,3,5,7,6,6,2,4,5,6.0,4,6,1.0,8,5,3,3,7,
2,er-est,100,0.05,100.0,1000,22.707711935043335,113,0,1499,7,4.0,4,3,8,7,9,7,5,5,4,9,5,4,,3,6,5.0,4,4,3,3,2,2.0
3,er-est,100,0.05,100.0,1000,19.371604919433594,118,0,1709,5,7.0,8,5,3,4,5,3,9,5,2,9,7,9,3.0,5,6,6.0,1,3,4,6,3,
4,er-est,100,0.05,100.0,1000,22.570835828781128,108,0,1491,2,,4,7,5,6,2,6,5,3,2,2,4,10,8.0,5,6,8.0,4,9,5,2,3,
5,er-est,100,0.05,100.0,1000,16.051893949508667,94,0,1069,6,5.0,5,4,5,2,1,2,6,2,3,7,7,8,5.0,3,4,,4,5,2,2,6,
6,er-est,100,0.05,100.0,1000,17.324111938476562,112,0,1423,6,5.0,2,7,3,5,6,3,6,5,5,3,1,2,4.0,4,7,4.0,4,9,9,8,4,
7,er-est,100,0.05,100.0,1000,20.02986764907837,105,0,1012,6,5.0,5,3,5,3,2,6,5,6,2,3,4,10,5.0,1,5,7.0,2,3,4,3,4,6.0
8,er-est,100,0.05,100.0,1000,18.676006078720093,125,0,1634,4,5.0,6,7,5,2,7,5,6,10,7,9,5,11,4.0,4,11,,7,3,1,3,3,
9,er-est,100,0.05,100.0,1000,17.69676899909973,131,0,1770,7,5.0,2,6,4,4,2,7,5,5,5,3,7,10,10.0,11,6,,5,7,3,10,7,
