,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-5,count-16,count-12,count-11,count-18,count-17,count-9,count-26,count-6,count-27,count-10,count-14,count-23,count-13,count-28,count-20,count-3,count-4,count-7,count-19,count-22,count-25,count-8,count-21,count-24,count-15,count-29,count-30
0,er-est,100,0.1,100.0,1000,70.13791275024414,89,0,3239,2,5,4,5,5.0,2,6,3,5,2,5,3,6,6.0,1,1,2,6,1,2,1.0,5,3.0,3,5,,,
1,er-est,100,0.1,100.0,1000,76.8455719947815,118,0,4487,1,3,3,5,3.0,5,3,10,6,6,5,2,5,2.0,8,4,7,5,1,8,3.0,1,2.0,6,1,9.0,4.0,
2,er-est,100,0.1,100.0,1000,81.4653389453888,120,0,3774,3,4,3,2,2.0,5,4,5,5,9,3,3,10,6.0,7,8,6,4,3,2,4.0,3,1.0,6,2,4.0,6.0,
3,er-est,100,0.1,100.0,1000,79.6019070148468,86,0,2415,6,2,3,3,4.0,2,3,3,4,1,4,9,3,5.0,7,4,3,2,1,4,,1,4.0,2,3,3.0,,
4,er-est,100,0.1,100.0,1000,66.561607837677,115,0,3634,6,5,7,1,1.0,2,4,1,5,7,4,5,6,5.0,5,1,3,5,2,11,8.0,4,2.0,2,4,3.0,6.0,
5,er-est,100,0.1,100.0,1000,64.12307715415955,87,0,2821,2,2,6,1,2.0,4,4,3,1,2,2,3,2,2.0,3,1,4,4,3,4,8.0,5,1.0,1,4,5.0,5.0,3.0
6,er-est,100,0.1,100.0,1000,74.36416006088257,90,0,3144,3,2,2,4,4.0,2,3,6,2,1,7,2,4,2.0,1,3,3,6,7,4,2.0,5,2.0,3,6,2.0,2.0,
7,er-est,100,0.1,100.0,1000,65.4772458076477,108,0,3957,5,6,4,4,4.0,6,1,5,3,3,2,4,2,4.0,6,3,6,4,1,5,4.0,3,5.0,4,3,5.0,6.0,
8,er-est,100,0.1,100.0,1000,63.158260107040405,93,0,3586,1,7,3,2,,4,4,2,4,4,5,2,4,4.0,4,3,4,2,3,4,5.0,4,2.0,5,3,3.0,2.0,3.0
9,er-est,100,0.1,100.0,1000,74.15592789649963,98,0,2126,4,4,5,3,3.0,5,2,1,3,1,2,5,3,,4,3,9,2,7,8,,3,,5,4,3.0,4.0,5.0
