,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-9,count-31,count-3,count-16,count-18,count-17,count-21,count-4,count-25,count-19,count-29,count-26,count-24,count-10,count-20,count-30,count-15,count-11,count-28,count-23,count-8,count-32,count-7,count-27,count-5,count-22,count-14,count-12,count-13,count-6,count-33
0,er-est,100,0.2,100.0,1000,2453.8662219047546,97,0,8266,6,7.0,9.0,7.0,9.0,2.0,3.0,4,2.0,3,4,3.0,4,1,1,4.0,5,3,3.0,2.0,3,3.0,3,1.0,2.0,2.0,1.0,,,,
1,er-est,100,0.2,100.0,1000,121.18040299415588,116,0,10092,2,3.0,5.0,4.0,3.0,1.0,,3,3.0,2,2,6.0,4,2,6,8.0,1,7,6.0,5.0,5,,5,5.0,,5.0,8.0,5.0,3.0,7.0,
2,er-est,100,0.2,100.0,1000,120.96339678764343,104,0,6572,5,2.0,2.0,2.0,2.0,4.0,4.0,7,4.0,4,4,4.0,4,8,4,1.0,4,7,,,1,5.0,5,1.0,2.0,5.0,3.0,4.0,3.0,2.0,1.0
3,er-est,100,0.2,100.0,1000,155.8991961479187,82,0,3659,3,3.0,4.0,3.0,2.0,2.0,1.0,1,2.0,2,2,,5,2,1,2.0,2,2,1.0,5.0,2,,3,6.0,5.0,1.0,3.0,6.0,5.0,5.0,1.0
4,er-est,100,0.2,100.0,1000,129.25476598739624,91,0,6329,3,3.0,3.0,4.0,1.0,5.0,4.0,4,6.0,4,2,4.0,4,1,6,1.0,2,2,1.0,2.0,5,3.0,3,3.0,3.0,2.0,3.0,3.0,1.0,3.0,
5,er-est,100,0.2,100.0,1000,116.63852000236511,97,0,6617,5,6.0,2.0,2.0,3.0,3.0,2.0,3,4.0,5,2,2.0,2,3,4,6.0,7,2,2.0,5.0,7,,2,3.0,3.0,,3.0,3.0,4.0,2.0,
6,er-est,100,0.2,100.0,1000,108.16045594215393,113,0,7288,4,4.0,4.0,3.0,,3.0,6.0,4,7.0,4,4,3.0,6,6,2,5.0,5,5,4.0,1.0,3,4.0,3,5.0,2.0,,3.0,5.0,4.0,4.0,
7,er-est,100,0.2,100.0,1000,109.2362596988678,78,0,5634,4,1.0,,2.0,4.0,4.0,3.0,3,,5,1,1.0,4,1,5,,3,6,3.0,3.0,1,1.0,5,,2.0,4.0,,4.0,3.0,3.0,2.0
8,er-est,100,0.2,100.0,1000,118.20435810089111,72,0,3385,3,,3.0,6.0,2.0,,1.0,4,2.0,3,2,3.0,2,5,5,2.0,1,1,,5.0,2,4.0,1,2.0,2.0,4.0,1.0,3.0,1.0,2.0,
9,er-est,100,0.2,100.0,1000,108.05832099914551,97,0,6954,2,7.0,5.0,,2.0,2.0,3.0,3,1.0,2,5,2.0,2,6,5,5.0,3,6,2.0,3.0,3,,3,2.0,1.0,1.0,7.0,6.0,7.0,1.0,
