,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-28,count-7,count-8,count-21,count-24,count-3,count-5,count-29,count-9,count-26,count-35,count-6,count-31,count-19,count-17,count-10,count-25,count-14,count-22,count-27,count-16,count-15,count-32,count-33,count-12,count-20,count-11,count-30,count-13,count-18,count-23,count-4,count-36,count-34
0,er-est,100,0.5,100.0,1000,277.62711691856384,88,0,20865,5.0,2,2.0,5.0,1.0,4,4,2,4.0,2,4.0,5,6.0,5,4.0,2,6,1,4,4,3,2,2,1,1,2,1.0,1.0,1.0,2.0,,,,
1,er-est,100,0.5,100.0,1000,296.35691595077515,103,0,12598,3.0,5,3.0,1.0,2.0,3,5,4,1.0,4,1.0,3,,4,,4,3,3,8,2,2,8,1,4,3,2,5.0,,7.0,1.0,5.0,3.0,2.0,1.0
2,er-est,100,0.5,100.0,1000,285.8347761631012,105,0,18662,4.0,2,4.0,3.0,,2,2,6,5.0,6,,6,7.0,3,,3,1,2,8,1,2,6,3,2,2,1,6.0,2.0,5.0,2.0,2.0,2.0,,5.0
3,er-est,100,0.5,100.0,1000,289.76264691352844,90,0,18279,,4,,4.0,3.0,2,3,1,1.0,3,,3,4.0,1,5.0,4,6,1,2,2,1,3,1,4,6,3,3.0,5.0,2.0,2.0,1.0,3.0,3.0,4.0
4,er-est,100,0.5,100.0,1000,286.5388009548187,98,0,16454,1.0,2,5.0,,4.0,7,5,3,7.0,3,,1,4.0,4,2.0,3,7,2,3,4,2,4,3,2,1,3,3.0,2.0,3.0,2.0,1.0,2.0,,3.0
5,er-est,100,0.5,100.0,1000,285.91362714767456,99,0,22159,3.0,4,2.0,2.0,1.0,5,3,4,2.0,1,,4,5.0,2,2.0,3,2,3,2,3,3,5,3,3,3,4,1.0,3.0,3.0,4.0,3.0,7.0,,4.0
6,er-est,100,0.5,100.0,1000,271.39001274108887,111,0,26883,4.0,4,5.0,4.0,4.0,4,2,3,,1,3.0,2,7.0,3,1.0,3,1,2,4,6,3,1,10,1,6,4,6.0,3.0,,5.0,4.0,3.0,,2.0
7,er-est,100,0.5,100.0,1000,296.6920659542084,92,0,13470,2.0,5,5.0,2.0,2.0,2,2,4,1.0,6,2.0,6,3.0,1,5.0,4,1,5,2,2,3,3,1,3,1,1,2.0,3.0,1.0,4.0,1.0,4.0,,3.0
8,er-est,100,0.5,100.0,1000,281.46353101730347,82,0,20602,1.0,2,4.0,6.0,2.0,6,1,3,3.0,2,3.0,2,2.0,5,1.0,4,3,1,2,2,4,3,3,1,1,3,2.0,1.0,4.0,,,4.0,,1.0
9,er-est,100,0.5,100.0,1000,276.3575003147125,85,0,20478,,3,4.0,3.0,2.0,2,4,4,3.0,3,4.0,2,4.0,4,4.0,2,3,2,1,4,4,1,1,1,2,6,,2.0,2.0,4.0,1.0,2.0,1.0,
