,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-4,count-5,count-3,count-6,count-7
0,er-est,10,0.5,10.0,1000,0.7425141334533691,8,0,0,2,2,2.0,2,
1,er-est,10,0.5,10.0,1000,0.5924122333526611,14,0,0,5,5,3.0,1,
2,er-est,10,0.5,10.0,1000,0.6519310474395752,11,0,0,3,2,5.0,1,
3,er-est,10,0.5,10.0,1000,0.5778980255126953,10,0,0,3,2,4.0,1,
4,er-est,10,0.5,10.0,1000,0.4958641529083252,13,0,0,5,3,3.0,2,
5,er-est,10,0.5,10.0,1000,0.5884532928466797,14,0,0,5,5,2.0,2,
6,er-est,10,0.5,10.0,1000,0.9820349216461182,14,0,0,4,4,1.0,2,3.0
7,er-est,10,0.5,10.0,1000,0.6520850658416748,9,0,0,2,2,4.0,1,
8,er-est,10,0.5,10.0,1000,0.8652708530426025,11,0,0,3,2,1.0,3,2.0
9,er-est,10,0.5,10.0,1000,0.7747900485992432,9,0,0,2,1,,5,1.0
