,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-5,count-29,count-10,count-18,count-11,count-41,count-42,count-37,count-31,count-38,count-27,count-12,count-19,count-3,count-36,count-9,count-33,count-17,count-8,count-32,count-34,count-16,count-39,count-21,count-30,count-25,count-15,count-13,count-6,count-23,count-20,count-40,count-28,count-35,count-4,count-7,count-24,count-22,count-14,count-43,count-26,count-44,count-45
0,er-est,200,0.05,200.0,1000,112.24384307861328,222,0,22339,11,6,8,2,8,5,6,5,11.0,2,9,8,9,8,7,4,4,6,8,9,5,3,3,15,5.0,5,4,4,5,4,5,2,1,3,4.0,4,6,5,3,,,,
1,er-est,200,0.05,200.0,1000,120.19020199775696,248,0,20930,6,3,4,1,4,9,10,4,4.0,3,4,3,8,3,6,2,9,4,6,6,10,4,10,6,5.0,4,9,5,3,8,10,11,8,4,5.0,3,3,10,2,21.0,8.0,,
2,er-est,200,0.05,200.0,1000,124.64854121208191,264,0,27379,6,4,3,6,3,12,15,11,4.0,7,3,5,3,6,13,6,3,5,7,7,8,5,17,6,7.0,5,7,8,2,13,3,8,10,5,5.0,6,5,6,3,,6.0,,
3,er-est,200,0.05,200.0,1000,115.39653301239014,201,0,20440,6,5,3,4,5,10,6,9,7.0,7,6,2,3,8,1,2,5,3,7,3,6,4,3,5,6.0,2,3,8,4,4,3,5,9,10,1.0,3,5,4,6,4.0,4.0,,
4,er-est,200,0.05,200.0,1000,336.5318660736084,187,0,19723,5,3,5,3,6,7,4,4,3.0,5,1,6,1,5,4,3,6,1,12,7,1,7,1,8,,3,6,4,5,4,3,10,8,4,4.0,7,6,3,3,6.0,3.0,,
5,er-est,200,0.05,200.0,1000,117.57409000396729,193,0,18468,5,2,4,3,8,4,4,7,,2,7,4,5,7,3,6,4,5,5,5,7,6,2,2,5.0,4,6,4,8,3,6,6,3,3,6.0,6,8,3,10,1.0,2.0,1.0,1.0
6,er-est,200,0.05,200.0,1000,109.52936506271362,175,0,16048,6,3,8,4,1,4,3,7,4.0,6,4,7,13,3,5,3,6,5,3,3,2,4,6,3,4.0,4,5,5,5,2,4,6,3,2,,6,5,5,2,,4.0,,
7,er-est,200,0.05,200.0,1000,111.2248101234436,209,0,15427,10,6,5,4,8,3,8,5,6.0,2,6,4,6,4,2,5,4,5,8,1,8,8,5,2,3.0,3,9,4,8,9,4,3,4,4,6.0,4,7,6,5,2.0,1.0,2.0,
8,er-est,200,0.05,200.0,1000,112.56994485855103,201,0,17981,4,3,5,8,3,9,11,6,6.0,3,2,5,4,5,7,7,4,2,2,2,4,7,4,2,6.0,1,3,5,6,1,9,11,6,4,5.0,4,3,8,5,4.0,5.0,,
9,er-est,200,0.05,200.0,1000,113.77356219291687,202,0,17958,6,3,4,6,8,8,5,4,5.0,5,4,6,3,4,5,7,2,9,9,2,9,7,4,2,2.0,4,1,11,3,8,2,1,7,1,6.0,8,3,4,2,4.0,4.0,4.0,
