,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-29,count-33,count-13,count-18,count-40,count-20,count-15,count-9,count-14,count-39,count-31,count-43,count-8,count-45,count-16,count-47,count-27,count-30,count-36,count-35,count-4,count-25,count-37,count-21,count-24,count-34,count-11,count-41,count-17,count-32,count-26,count-19,count-46,count-3,count-12,count-38,count-28,count-22,count-44,count-5,count-42,count-23,count-6,count-7,count-10
0,er-est,200,0.1,200.0,1000,840.288419008255,200,0,39526,4,5,6,3,3,4,8,1,5,4,10,5,3,3.0,4,8.0,6,7,4,7,5,2,4,6,4,5,3,6,5,3,8,5,5.0,5,4,3,4,3,1,4,2,4,3,4,2
1,er-est,200,0.1,200.0,1000,289.63071727752686,185,0,35314,3,2,2,4,6,7,4,5,4,4,4,4,3,2.0,4,,8,4,1,4,10,2,4,6,3,6,5,3,2,2,4,4,6.0,4,3,5,5,6,4,6,5,4,3,4,4
2,er-est,200,0.1,200.0,1000,269.8387141227722,207,0,29403,4,6,6,8,3,7,7,3,4,4,4,4,11,3.0,3,2.0,4,2,3,1,5,4,3,4,7,6,4,5,6,4,2,7,3.0,5,4,4,3,6,4,4,4,6,6,5,7
3,er-est,200,0.1,200.0,1000,668.1061947345734,188,0,37440,2,4,6,5,2,7,3,4,4,4,2,7,4,5.0,5,,4,5,6,3,3,1,1,2,5,5,4,2,4,6,4,1,13.0,6,7,4,2,4,5,5,7,3,7,2,3
4,er-est,200,0.1,200.0,1000,276.57914900779724,265,0,58034,11,6,6,10,10,6,3,5,6,8,5,11,4,12.0,5,,7,5,10,5,4,2,7,6,3,3,3,5,5,7,8,9,,5,5,5,7,7,10,3,7,3,6,5,5
5,er-est,200,0.1,200.0,1000,255.49964499473572,230,0,39263,3,1,6,2,8,2,5,6,2,6,4,7,4,10.0,3,8.0,1,5,9,5,4,5,7,5,6,1,5,6,9,10,3,5,6.0,4,8,9,6,5,4,6,5,3,4,5,2
6,er-est,200,0.1,200.0,1000,1076.5568151474,202,0,40870,8,4,4,3,6,7,8,3,5,6,5,1,1,5.0,4,,6,5,6,7,2,4,2,8,5,6,8,3,5,4,2,4,,6,2,4,2,7,4,7,4,5,6,3,5
7,er-est,200,0.1,200.0,1000,259.65018701553345,212,0,40620,3,2,5,2,3,5,6,5,9,4,8,3,6,,6,4.0,5,8,2,4,5,9,3,5,4,4,7,6,4,4,3,4,4.0,8,3,4,4,4,8,5,8,4,2,5,5
8,er-est,200,0.1,200.0,1000,316.2601680755615,212,0,39349,3,2,5,8,4,7,5,5,3,2,8,3,4,3.0,3,,3,4,4,5,8,2,4,4,5,4,4,5,10,7,6,7,4.0,7,4,6,3,5,5,7,5,5,2,6,6
9,er-est,200,0.1,200.0,1000,1825.5742230415344,199,0,38280,5,3,2,5,6,9,3,5,6,7,3,5,4,3.0,3,1.0,2,5,6,2,4,1,4,3,7,4,4,6,5,5,5,2,1.0,8,7,2,10,5,3,6,4,1,3,4,10
