,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-26,count-4,count-8,count-47,count-42,count-35,count-6,count-14,count-29,count-25,count-30,count-40,count-18,count-12,count-45,count-37,count-48,count-46,count-43,count-23,count-51,count-16,count-11,count-20,count-17,count-34,count-31,count-41,count-19,count-36,count-49,count-33,count-5,count-9,count-27,count-10,count-15,count-52,count-28,count-7,count-44,count-3,count-13,count-32,count-21,count-22,count-24,count-38,count-39,count-50
0,er-est,200,0.2,200.0,1000,884.5769200325012,164,0,49762,3,4,4,3.0,3,3,5.0,8,2,6.0,5,2,2,6,4,1,4,4,5,6,3.0,3,4,11,3,2,2.0,2.0,3,2,1,4,4,2,4,4,2,2.0,4,4,4,2,3,3.0,1,3,2,,,
1,er-est,200,0.2,200.0,1000,840.8047339916229,210,0,71738,4,4,5,6.0,4,6,7.0,4,5,7.0,3,3,4,2,4,4,2,4,1,4,,5,3,3,4,8,4.0,4.0,5,7,11,2,4,3,3,5,5,,6,4,4,5,8,1.0,4,4,5,8.0,2.0,
2,er-est,200,0.2,200.0,1000,3042.961124897003,211,0,76454,6,2,4,9.0,5,3,6.0,7,4,4.0,5,3,6,5,12,3,4,4,2,2,,2,4,2,4,6,5.0,,4,5,6,5,3,4,6,4,4,,6,7,1,10,2,6.0,4,2,5,2.0,2.0,4.0
3,er-est,200,0.2,200.0,1000,681.2295920848846,196,0,79302,4,5,3,3.0,7,5,,5,4,2.0,3,4,4,8,4,5,4,3,7,1,,3,7,2,8,4,6.0,4.0,3,5,1,4,6,4,1,4,6,,3,5,7,4,5,4.0,1,7,1,5.0,4.0,1.0
4,er-est,200,0.2,200.0,1000,636.8819768428802,221,0,88933,5,4,4,,1,6,3.0,6,6,,3,8,4,3,4,5,5,1,9,6,,6,4,4,6,6,5.0,3.0,6,8,4,9,7,6,4,4,3,,5,2,1,4,7,7.0,3,6,1,7.0,6.0,4.0
5,er-est,200,0.2,200.0,1000,631.7180180549622,268,0,94957,5,10,5,9.0,8,5,4.0,7,8,4.0,8,5,8,3,10,6,6,6,6,3,1.0,8,5,3,5,3,7.0,4.0,5,3,7,3,3,8,2,5,9,,3,6,12,3,4,4.0,2,1,6,9.0,5.0,6.0
6,er-est,200,0.2,200.0,1000,634.8806188106537,203,0,61000,3,6,6,2.0,5,4,1.0,7,4,3.0,3,4,1,3,4,3,4,3,6,4,,3,8,5,5,7,,4.0,3,3,4,5,8,7,4,1,5,,4,7,5,6,5,2.0,3,4,5,2.0,6.0,6.0
7,er-est,200,0.2,200.0,1000,613.8321578502655,255,0,100845,4,4,2,9.0,6,8,4.0,3,2,,7,7,5,3,12,6,12,10,5,6,,12,6,2,4,5,4.0,6.0,6,5,9,8,3,5,2,6,3,,6,3,12,3,3,5.0,6,5,1,8.0,2.0,
8,er-est,200,0.2,200.0,1000,724.925861120224,226,0,84440,2,4,8,7.0,6,2,4.0,6,4,3.0,1,6,7,2,5,9,6,5,9,5,,6,4,4,7,7,5.0,6.0,3,2,7,5,1,6,9,6,3,,3,6,4,8,2,,5,4,3,6.0,3.0,
9,er-est,200,0.2,200.0,1000,618.3101761341095,208,0,82785,5,4,2,9.0,1,5,4.0,2,3,4.0,7,6,5,7,5,6,7,8,4,4,,1,2,7,2,5,6.0,7.0,3,7,1,3,4,2,1,2,3,,3,5,3,4,3,3.0,4,2,4,6.0,6.0,11.0
