,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-38,count-44,count-45,count-19,count-23,count-16,count-28,count-3,count-48,count-15,count-27,count-24,count-10,count-37,count-8,count-43,count-50,count-39,count-6,count-14,count-4,count-7,count-29,count-49,count-32,count-42,count-9,count-11,count-46,count-31,count-30,count-17,count-12,count-21,count-20,count-25,count-41,count-18,count-5,count-35,count-40,count-13,count-51,count-47,count-34,count-36,count-26,count-22,count-53,count-33,count-54,count-52,count-55,count-56
0,er-est,200,0.5,200.0,1000,4393.2841539382935,174,0,136684,3,5,5.0,4,6,4,4,6,8,6,4,6,2,4,3,2,4,2,5,5.0,4,3,4,5.0,3,1,3,4,2,2,3,4,4.0,8,3,5,3.0,4,3,1,2,3,2,3,1,1,3.0,2,,,,,,
1,er-est,200,0.5,200.0,1000,1667.8523061275482,187,0,176363,6,2,4.0,2,2,1,2,3,4,7,1,3,2,4,3,10,3,6,4,3.0,2,4,4,,4,1,3,5,3,5,4,6,1.0,5,3,3,,4,7,1,4,5,3,5,5,2,5.0,5,4.0,7.0,3.0,2.0,,
2,er-est,200,0.5,200.0,1000,1564.88400888443,202,0,156417,2,2,5.0,6,4,3,7,1,3,6,5,6,3,2,4,4,6,1,2,3.0,6,3,4,11.0,6,2,5,7,5,1,4,5,6.0,3,4,4,2.0,3,8,3,1,5,8,4,3,1,3.0,2,,8.0,,,,
3,er-est,200,0.5,200.0,1000,2484.1897552013397,239,0,207499,5,5,4.0,4,2,6,1,6,6,3,3,5,4,5,5,5,8,7,5,3.0,3,6,3,7.0,2,2,4,5,7,3,4,5,3.0,7,3,5,4.0,3,4,2,6,3,16,5,4,6,4.0,4,,5.0,,12.0,,
4,er-est,200,0.5,200.0,1000,2105.055615901947,211,0,153329,3,8,5.0,6,2,6,5,4,3,6,2,9,5,3,5,6,8,2,3,,4,2,2,8.0,6,3,4,4,5,2,5,5,,5,6,3,7.0,4,1,4,4,4,5,6,4,3,3.0,3,,2.0,,6.0,,
5,er-est,200,0.5,200.0,1000,2611.771584033966,246,0,181963,2,10,2.0,3,8,2,9,3,6,10,3,1,6,5,5,5,4,4,5,5.0,6,10,5,5.0,1,2,4,7,5,5,2,5,5.0,6,6,4,4.0,10,6,3,3,2,2,6,7,4,3.0,4,4.0,6.0,,6.0,,
6,er-est,200,0.5,200.0,1000,3129.8020079135895,221,0,201348,7,4,1.0,2,6,4,5,5,5,2,7,4,3,1,2,3,9,2,3,4.0,3,4,4,12.0,1,7,1,3,6,6,1,4,5.0,5,8,5,8.0,4,4,2,2,5,11,7,5,3,,6,,2.0,,8.0,,
7,er-est,200,0.5,200.0,1000,47127.22774410248,213,0,172353,4,5,6.0,1,6,6,3,3,1,5,4,4,7,7,9,5,4,3,5,4.0,4,4,3,5.0,5,3,2,4,7,3,8,1,3.0,4,1,8,2.0,3,5,2,4,5,4,3,4,3,2.0,4,2.0,4.0,3.0,5.0,1.0,
8,er-est,200,0.5,200.0,1000,3326.4307808876038,189,0,165157,5,5,,6,5,5,7,1,5,1,6,2,3,4,3,5,1,4,5,6.0,2,8,3,,6,4,5,2,6,2,2,2,4.0,2,5,1,4.0,4,4,5,4,4,3,3,6,3,1.0,4,3.0,,2.0,1.0,1.0,4.0
9,er-est,200,0.5,200.0,1000,1787.8317029476166,158,0,169981,2,4,4.0,7,4,3,4,5,1,3,1,3,4,5,4,3,3,3,2,2.0,2,1,7,1.0,4,3,2,4,5,2,3,3,1.0,2,4,1,2.0,3,1,4,2,4,3,2,2,4,2.0,1,8.0,4.0,,4.0,,
