,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-4,count-10,count-8,count-6,count-7,count-5,count-3,count-9
0,er-est,20,0.2,20.0,1000,2.172956943511963,25,0,0,4,8.0,2.0,4.0,3.0,2,2,
1,er-est,20,0.2,20.0,1000,2.923043727874756,19,0,0,3,,3.0,,3.0,5,3,2.0
2,er-est,20,0.2,20.0,1000,1.1395220756530762,25,0,0,3,,4.0,5.0,4.0,5,4,
3,er-est,20,0.2,20.0,1000,1.1647181510925293,25,0,0,3,,3.0,5.0,4.0,5,3,2.0
4,er-est,20,0.2,20.0,1000,0.9295511245727539,30,0,0,4,,4.0,6.0,6.0,5,5,
5,er-est,20,0.2,20.0,1000,0.8053879737854004,22,0,0,5,,,3.0,4.0,6,4,
6,er-est,20,0.2,20.0,1000,1.6970648765563965,20,0,0,3,,4.0,2.0,,1,8,2.0
7,er-est,20,0.2,20.0,1000,1.2414610385894775,19,0,0,2,6.0,4.0,,,2,3,2.0
8,er-est,20,0.2,20.0,1000,1.5504000186920166,13,0,0,1,,,,3.0,4,3,2.0
9,er-est,20,0.2,20.0,1000,1.719351053237915,26,0,0,2,,3.0,3.0,3.0,2,9,4.0
