,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-4,count-11,count-5,count-6,count-10,count-8,count-3,count-9,count-12,count-7
0,er-est,20,0.5,20.0,1000,794.7562320232391,24,0,0,4.0,2,2.0,3.0,4.0,4,1.0,3,1.0,
1,er-est,20,0.5,20.0,1000,5.617714881896973,17,0,0,2.0,3,1.0,2.0,1.0,1,1.0,5,,1.0
2,er-est,20,0.5,20.0,1000,3.72833514213562,19,0,0,4.0,2,,2.0,2.0,3,1.0,4,,1.0
3,er-est,20,0.5,20.0,1000,7.940041780471802,21,0,0,2.0,4,1.0,3.0,3.0,2,,5,,1.0
4,er-est,20,0.5,20.0,1000,7.900958061218262,25,0,0,1.0,4,2.0,2.0,4.0,3,3.0,2,,4.0
5,er-est,20,0.5,20.0,1000,8.411060094833374,22,0,0,1.0,3,,,,6,3.0,5,,4.0
6,er-est,20,0.5,20.0,1000,9.450984954833984,24,0,0,3.0,5,4.0,1.0,2.0,2,2.0,3,,2.0
7,er-est,20,0.5,20.0,1000,21.204334020614624,12,0,0,,1,2.0,2.0,2.0,1,1.0,2,,1.0
8,er-est,20,0.5,20.0,1000,8.55952000617981,15,0,0,2.0,2,1.0,1.0,1.0,1,4.0,1,,2.0
9,er-est,20,0.5,20.0,1000,6.660637140274048,23,0,0,1.0,1,,4.0,4.0,2,3.0,4,2.0,2.0
