,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-46,count-18,count-23,count-14,count-62,count-41,count-29,count-65,count-67,count-7,count-49,count-66,count-36,count-10,count-34,count-38,count-78,count-20,count-58,count-11,count-63,count-68,count-13,count-12,count-42,count-73,count-19,count-31,count-15,count-60,count-32,count-25,count-48,count-64,count-53,count-40,count-16,count-45,count-35,count-59,count-76,count-21,count-79,count-52,count-39,count-61,count-37,count-77,count-72,count-26,count-54,count-22,count-44,count-5,count-74,count-4,count-43,count-50,count-69,count-3,count-27,count-8,count-70,count-30,count-75,count-56,count-24,count-33,count-55,count-51,count-6,count-28,count-17,count-9,count-71,count-47,count-57,count-80,count-81,count-82
0,er-est,500,0.05,500.0,1000,1841.3500759601593,447,0,399940,7,7,8,5,9,7,5,7,9,6,3,8,9,7,7,4,4.0,8,11.0,7,4,7.0,8,7,4,4,6,8,10,8,4,3,6,7,6,4,6,6,9,7,5,3,7.0,6,7,7.0,3,6,4,3,7,6,3,6,2,5,4,5.0,5,6,5,8,5,4,5.0,2,5,8,5,6,8,5,6,3,5,2,3.0,,,
1,er-est,500,0.05,500.0,1000,3883.27201795578,542,0,482554,11,8,3,6,7,10,6,9,8,7,11,7,8,9,7,6,,8,14.0,8,3,7.0,7,5,6,7,4,6,7,8,4,9,5,6,10,7,5,7,4,7,6,6,,10,6,7.0,5,5,5,8,10,5,7,4,6,10,7,6.0,11,10,5,9,12,6,6.0,4,5,7,11,9,9,4,11,7,11,7,8.0,,,
2,er-est,500,0.05,500.0,1000,1666.135635137558,651,0,470104,14,5,11,2,9,3,6,7,7,6,7,12,6,7,1,11,15.0,10,16.0,9,4,15.0,5,6,10,13,9,7,6,13,8,7,10,7,9,10,6,11,6,4,9,15,4.0,7,6,7.0,7,10,4,3,6,12,9,5,14,4,8,6.0,8,6,11,7,11,6,11.0,8,8,6,8,5,12,8,12,8,13,6,12.0,15.0,4.0,
3,er-est,500,0.05,500.0,1000,48734.73640012741,573,0,519281,11,9,3,6,6,11,10,9,7,6,10,8,3,7,7,7,8.0,14,8.0,6,14,6.0,9,8,10,8,4,4,8,7,6,12,8,10,5,6,9,7,2,8,7,4,,7,10,13.0,6,6,13,8,8,6,9,8,9,5,7,7.0,6,4,2,4,10,8,7.0,8,12,7,8,8,7,3,6,8,7,9,4.0,1.0,4.0,
4,er-est,500,0.05,500.0,1000,1639.0976119041443,679,0,500211,7,9,9,7,11,7,5,17,10,3,7,15,10,9,7,16,11.0,7,15.0,8,9,18.0,12,4,8,10,4,9,5,8,4,8,7,10,11,4,14,4,7,10,8,4,8.0,10,5,6.0,6,12,15,4,10,11,5,15,11,10,6,8.0,14,7,7,5,10,6,10.0,8,6,7,13,5,9,10,6,12,9,5,9.0,4.0,7.0,
5,er-est,500,0.05,500.0,1000,1694.6525020599365,587,0,408384,3,6,4,3,3,5,5,5,7,7,6,4,15,2,5,4,16.0,4,7.0,6,1,7.0,5,8,8,5,7,4,7,5,7,5,7,7,3,8,12,8,7,6,2,9,13.0,7,4,7.0,2,21,11,11,7,13,10,9,6,6,5,5.0,11,6,12,9,3,11,10.0,7,6,7,8,9,8,12,5,9,9,7,3.0,17.0,26.0,
6,er-est,500,0.05,500.0,1000,1559.9764468669891,411,0,342893,1,7,2,6,15,4,6,5,1,9,11,5,8,7,5,3,,7,,7,2,,9,9,3,4,3,5,10,4,5,5,4,4,6,4,6,3,6,6,5,6,5.0,4,4,,5,3,6,6,7,8,8,6,3,8,4,5.0,4,10,11,7,2,4,,9,8,6,2,3,5,3,6,7,5,3,,5.0,9.0,2.0
7,er-est,500,0.05,500.0,1000,1626.5412039756775,543,0,449494,12,7,7,9,6,4,5,10,5,5,9,4,10,7,6,4,10.0,5,12.0,9,9,6.0,6,11,2,5,5,9,10,5,8,3,9,6,8,7,6,6,4,9,3,7,3.0,9,4,15.0,5,7,5,4,19,9,7,4,7,4,7,5.0,9,9,6,6,9,9,3.0,7,4,6,4,4,6,8,6,7,8,9,9.0,10.0,,
8,er-est,500,0.05,500.0,1000,1606.1907930374146,479,0,371642,5,5,5,9,4,9,4,8,5,12,3,5,7,5,7,8,10.0,7,4.0,7,12,7.0,6,5,2,2,3,6,5,5,5,4,5,2,11,9,6,6,2,2,11,9,5.0,5,13,5.0,9,2,5,10,9,2,1,16,4,5,4,,2,8,3,9,4,11,2.0,6,3,10,5,10,6,9,5,8,1,4,5.0,9.0,10.0,
9,er-est,500,0.05,500.0,1000,1629.7511749267578,583,0,513479,5,4,5,5,7,3,4,9,9,9,9,10,5,6,4,6,10.0,10,7.0,8,9,10.0,9,6,9,22,4,8,11,9,5,9,7,4,8,5,4,5,5,5,8,7,9.0,8,8,12.0,11,6,12,4,5,4,6,7,14,7,8,4.0,10,9,4,4,8,8,11.0,7,9,6,13,11,4,6,10,6,20,3,5.0,,,
