,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-5,count-13,count-6,count-14,count-12,count-8,count-7,count-4,count-9,count-11,count-3,count-10,count-15,count-17,count-16
0,er-est,50,0.1,50.0,1000,8.61535382270813,61,0,113,3,4,10,3.0,4,10,7,2,3,7,2,4,2,,
1,er-est,50,0.1,50.0,1000,9.466556072235107,49,0,120,2,1,5,3.0,6,3,2,6,2,7,2,3,4,1.0,2.0
2,er-est,50,0.1,50.0,1000,8.569233179092407,70,0,131,8,3,1,4.0,5,3,10,5,3,6,7,3,7,2.0,3.0
3,er-est,50,0.1,50.0,1000,10.415540218353271,46,0,43,4,2,3,,4,2,6,2,2,4,2,6,2,6.0,1.0
4,er-est,50,0.1,50.0,1000,9.14008116722107,50,0,120,3,5,3,5.0,1,5,1,2,4,6,4,3,4,,4.0
5,er-est,50,0.1,50.0,1000,7.811604022979736,58,0,41,2,3,10,2.0,6,2,3,2,6,2,6,4,6,,4.0
6,er-est,50,0.1,50.0,1000,8.544780015945435,55,0,112,3,6,2,8.0,6,3,3,5,1,4,5,2,4,,3.0
7,er-est,50,0.1,50.0,1000,9.389638900756836,50,0,100,4,2,4,1.0,3,2,2,4,1,5,4,6,4,4.0,4.0
8,er-est,50,0.1,50.0,1000,9.356287240982056,56,0,186,2,3,5,3.0,6,4,3,3,7,2,5,1,4,,8.0
9,er-est,50,0.1,50.0,1000,8.82639217376709,51,0,48,3,4,2,6.0,8,5,1,6,3,2,1,2,4,2.0,2.0
