,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-7,count-18,count-4,count-9,count-16,count-12,count-14,count-8,count-5,count-17,count-11,count-3,count-15,count-19,count-13,count-10,count-6,count-20
0,er-est,50,0.2,50.0,1000,21.262090921401978,63,0,214,4.0,3.0,4.0,3,3.0,5,5.0,4.0,2.0,8,4,6,2,6.0,2.0,2.0,,
1,er-est,50,0.2,50.0,1000,20.3646879196167,55,0,241,3.0,1.0,,6,4.0,2,5.0,3.0,3.0,2,4,4,3,4.0,1.0,6.0,4.0,
2,er-est,50,0.2,50.0,1000,17.74268889427185,55,0,287,4.0,6.0,4.0,5,,3,6.0,1.0,1.0,6,3,6,3,,1.0,1.0,5.0,
3,er-est,50,0.2,50.0,1000,21.671772956848145,57,0,223,2.0,6.0,1.0,1,5.0,4,4.0,6.0,1.0,6,2,4,1,4.0,4.0,3.0,3.0,
4,er-est,50,0.2,50.0,1000,16.723739862442017,51,0,514,5.0,,2.0,3,3.0,2,3.0,3.0,1.0,2,2,2,4,9.0,4.0,4.0,2.0,
5,er-est,50,0.2,50.0,1000,140.04988408088684,37,0,239,,2.0,2.0,3,2.0,3,3.0,1.0,2.0,3,2,4,2,3.0,1.0,2.0,2.0,
6,er-est,50,0.2,50.0,1000,18.549466848373413,47,0,467,4.0,6.0,3.0,2,4.0,3,2.0,2.0,4.0,1,3,1,5,2.0,1.0,2.0,2.0,
7,er-est,50,0.2,50.0,1000,16.729984998703003,38,0,211,2.0,1.0,,6,3.0,2,,2.0,3.0,2,6,2,3,2.0,2.0,,1.0,1.0
8,er-est,50,0.2,50.0,1000,17.614630699157715,52,0,316,3.0,3.0,6.0,2,2.0,5,3.0,,,4,4,3,1,3.0,1.0,4.0,6.0,2.0
9,er-est,50,0.2,50.0,1000,15.29671597480774,46,0,127,4.0,,2.0,2,2.0,5,2.0,4.0,1.0,5,7,3,1,2.0,,3.0,3.0,
