,method,n,p,N,samples,runtime,cell_count,undersample,overcorrelate,count-10,count-8,count-12,count-18,count-15,count-11,count-21,count-13,count-19,count-6,count-14,count-7,count-4,count-5,count-17,count-16,count-22,count-20,count-3,count-9,count-23
0,er-est,50,0.5,50.0,1000,44.705621004104614,46,0,806,4.0,4,2.0,2.0,3.0,4,5.0,1,3.0,3.0,1,1.0,2.0,2,3,1.0,3.0,2,,,
1,er-est,50,0.5,50.0,1000,45.34556484222412,64,0,779,2.0,4,4.0,4.0,3.0,5,4.0,6,3.0,1.0,3,4.0,5.0,2,2,2.0,,2,4.0,4.0,
2,er-est,50,0.5,50.0,1000,41.029799938201904,41,0,1002,1.0,1,1.0,,,4,1.0,8,,1.0,1,3.0,1.0,3,3,1.0,1.0,3,4.0,4.0,
3,er-est,50,0.5,50.0,1000,43.98608684539795,41,0,979,4.0,2,,3.0,4.0,1,2.0,2,,4.0,2,3.0,1.0,2,2,,,4,1.0,4.0,
4,er-est,50,0.5,50.0,1000,43.11945199966431,47,0,1003,5.0,3,2.0,2.0,2.0,1,3.0,2,3.0,3.0,6,,3.0,2,1,1.0,3.0,1,2.0,2.0,
5,er-est,50,0.5,50.0,1000,50.7547881603241,39,0,861,1.0,4,,3.0,3.0,1,1.0,4,5.0,2.0,2,1.0,1.0,2,3,1.0,,1,3.0,1.0,
6,er-est,50,0.5,50.0,1000,57.42163896560669,57,0,1113,6.0,1,3.0,6.0,1.0,4,4.0,1,5.0,3.0,5,3.0,4.0,2,2,1.0,,4,2.0,,
7,er-est,50,0.5,50.0,1000,56.07599496841431,45,0,628,,2,5.0,3.0,5.0,3,,3,4.0,,2,3.0,2.0,3,5,,,1,2.0,2.0,
8,er-est,50,0.5,50.0,1000,56.19232797622681,44,0,1501,,2,,3.0,5.0,4,1.0,2,3.0,2.0,2,,1.0,1,6,2.0,,3,4.0,3.0,
9,er-est,50,0.5,50.0,1000,55.0552020072937,46,0,564,1.0,4,4.0,2.0,,2,1.0,1,1.0,4.0,1,3.0,,2,1,1.0,5.0,2,3.0,3.0,5.0
